gene_id,num_sets,min_ER,max_ER,mean_ER,median_ER,min_grp_size,max_grp_size,mean_grp_size,median_grp_size
FBgn0037347,1,4,4,4.0,4.0,3,3,3.0,3.0
FBgn0037351,1,3,3,3.0,3.0,2,2,2.0,2.0
FBgn0037368,1,3,3,3.0,3.0,3,3,3.0,3.0
FBgn0037375,2,5,5,5.0,5.0,2,2,2.0,2.0
FBgn0037384,1,4,4,4.0,4.0,3,3,3.0,3.0
FBgn0037387,2,4,4,4.0,4.0,2,2,2.0,2.0
FBgn0037391,3,4,4,4.0,4.0,1,2,1.6666666666666667,2.0
FBgn0037395,1,2,2,2.0,2.0,2,2,2.0,2.0
FBgn0037402,2,3,3,3.0,3.0,1,1,1.0,1.0
FBgn0037408,3,5,5,5.0,5.0,1,2,1.3333333333333333,1.0
FBgn0037412,1,4,4,4.0,4.0,2,2,2.0,2.0
FBgn0037413,1,2,2,2.0,2.0,2,2,2.0,2.0
FBgn0037429,1,4,4,4.0,4.0,2,2,2.0,2.0
FBgn0037442,3,9,9,9.0,9.0,1,2,1.3333333333333333,1.0
FBgn0037443,4,10,11,10.5,10.5,1,2,1.25,1.0
FBgn0037446,2,4,4,4.0,4.0,1,2,1.5,1.5
FBgn0037448,6,7,11,8.166666666666666,7.5,1,5,2.0,1.5
FBgn0037461,1,3,3,3.0,3.0,2,2,2.0,2.0
FBgn0037464,3,1,1,1.0,1.0,1,1,1.0,1.0
FBgn0037466,2,8,8,8.0,8.0,1,2,1.5,1.5
FBgn0037467,2,5,5,5.0,5.0,1,1,1.0,1.0
FBgn0037468,3,1,2,1.3333333333333333,1.0,1,1,1.0,1.0
FBgn0037470,2,8,9,8.5,8.5,1,2,1.5,1.5
FBgn0037475,1,5,5,5.0,5.0,2,2,2.0,2.0
FBgn0037485,2,6,6,6.0,6.0,1,1,1.0,1.0
FBgn0037486,1,7,7,7.0,7.0,3,3,3.0,3.0
FBgn0037516,2,2,2,2.0,2.0,1,1,1.0,1.0
FBgn0037521,2,4,5,4.5,4.5,1,2,1.5,1.5
FBgn0037525,5,5,15,12.2,14.0,1,4,1.6,1.0
FBgn0037531,2,4,5,4.5,4.5,1,2,1.5,1.5
FBgn0037533,3,4,7,5.333333333333333,5.0,1,2,1.3333333333333333,1.0
FBgn0037536,4,7,9,8.25,8.5,1,3,1.75,1.5
FBgn0037546,2,4,4,4.0,4.0,1,1,1.0,1.0
FBgn0037553,2,1,1,1.0,1.0,1,1,1.0,1.0
FBgn0037554,2,3,3,3.0,3.0,1,2,1.5,1.5
FBgn0037555,1,4,4,4.0,4.0,2,2,2.0,2.0
FBgn0037556,2,4,4,4.0,4.0,1,1,1.0,1.0
FBgn0037560,1,2,2,2.0,2.0,2,2,2.0,2.0
FBgn0037563,2,2,2,2.0,2.0,1,1,1.0,1.0
FBgn0037565,3,13,13,13.0,13.0,1,2,1.3333333333333333,1.0
FBgn0037570,2,1,1,1.0,1.0,1,1,1.0,1.0
FBgn0037577,1,3,3,3.0,3.0,2,2,2.0,2.0
FBgn0037592,2,5,5,5.0,5.0,1,2,1.5,1.5
FBgn0037603,2,3,4,3.5,3.5,1,2,1.5,1.5
FBgn0037614,1,4,4,4.0,4.0,2,2,2.0,2.0
FBgn0037616,1,2,2,2.0,2.0,4,4,4.0,4.0
FBgn0037623,2,3,3,3.0,3.0,1,2,1.5,1.5
FBgn0037624,1,5,5,5.0,5.0,2,2,2.0,2.0
FBgn0037625,2,4,5,4.5,4.5,1,2,1.5,1.5
FBgn0037636,1,2,2,2.0,2.0,3,3,3.0,3.0
FBgn0037638,1,5,5,5.0,5.0,2,2,2.0,2.0
FBgn0037646,2,3,3,3.0,3.0,1,1,1.0,1.0
FBgn0037652,2,2,3,2.5,2.5,1,2,1.5,1.5
FBgn0037655,5,7,7,7.0,7.0,1,2,1.2,1.0
FBgn0037659,2,6,6,6.0,6.0,2,2,2.0,2.0
FBgn0037670,1,5,5,5.0,5.0,2,2,2.0,2.0
FBgn0037676,1,4,4,4.0,4.0,2,2,2.0,2.0
FBgn0037679,2,5,5,5.0,5.0,1,1,1.0,1.0
FBgn0037680,2,6,6,6.0,6.0,1,2,1.5,1.5
FBgn0037686,2,2,2,2.0,2.0,1,1,1.0,1.0
FBgn0037702,4,12,13,12.5,12.5,1,2,1.25,1.0
FBgn0037710,1,5,5,5.0,5.0,2,2,2.0,2.0
FBgn0037712,2,5,5,5.0,5.0,1,1,1.0,1.0
FBgn0037713,1,3,3,3.0,3.0,2,2,2.0,2.0
FBgn0037715,3,3,4,3.6666666666666665,4.0,1,2,1.3333333333333333,1.0
FBgn0037719,2,1,1,1.0,1.0,1,1,1.0,1.0
FBgn0037720,3,2,5,3.6666666666666665,4.0,1,2,1.3333333333333333,1.0
FBgn0037746,1,4,4,4.0,4.0,3,3,3.0,3.0
FBgn0037749,2,2,2,2.0,2.0,1,1,1.0,1.0
FBgn0037750,2,4,5,4.5,4.5,2,3,2.5,2.5
FBgn0037755,1,6,6,6.0,6.0,2,2,2.0,2.0
FBgn0037759,1,3,3,3.0,3.0,2,2,2.0,2.0
FBgn0037773,2,2,3,2.5,2.5,1,2,1.5,1.5
FBgn0037781,1,3,3,3.0,3.0,2,2,2.0,2.0
FBgn0037792,1,4,4,4.0,4.0,2,2,2.0,2.0
FBgn0037796,2,10,11,10.5,10.5,2,2,2.0,2.0
FBgn0037829,1,9,9,9.0,9.0,3,3,3.0,3.0
FBgn0037831,2,8,9,8.5,8.5,1,3,2.0,2.0
FBgn0037837,4,4,9,6.5,6.5,1,2,1.25,1.0
FBgn0037852,2,2,2,2.0,2.0,1,1,1.0,1.0
FBgn0037885,1,2,2,2.0,2.0,2,2,2.0,2.0
FBgn0037890,2,2,2,2.0,2.0,1,2,1.5,1.5
FBgn0037896,2,6,6,6.0,6.0,1,1,1.0,1.0
FBgn0037898,1,4,4,4.0,4.0,2,2,2.0,2.0
FBgn0037906,3,3,3,3.0,3.0,1,4,2.0,1.0
FBgn0037912,3,3,4,3.3333333333333335,3.0,1,2,1.3333333333333333,1.0
FBgn0037923,3,3,4,3.3333333333333335,3.0,1,1,1.0,1.0
FBgn0037926,1,6,6,6.0,6.0,3,3,3.0,3.0
FBgn0037941,1,8,8,8.0,8.0,2,2,2.0,2.0
FBgn0037949,2,10,10,10.0,10.0,1,1,1.0,1.0
FBgn0037950,2,5,7,6.0,6.0,1,3,2.0,2.0
FBgn0037960,1,6,6,6.0,6.0,2,2,2.0,2.0
FBgn0037970,1,3,3,3.0,3.0,2,2,2.0,2.0
FBgn0037976,1,4,4,4.0,4.0,2,2,2.0,2.0
FBgn0037978,3,3,4,3.3333333333333335,3.0,1,1,1.0,1.0
FBgn0037986,3,8,9,8.333333333333334,8.0,1,2,1.3333333333333333,1.0
FBgn0037989,4,19,20,19.5,19.5,1,4,1.75,1.0
FBgn0037992,4,5,6,5.5,5.5,1,1,1.0,1.0
FBgn0037993,1,7,7,7.0,7.0,2,2,2.0,2.0
FBgn0038013,2,5,5,5.0,5.0,1,1,1.0,1.0
FBgn0038020,1,2,2,2.0,2.0,2,2,2.0,2.0
FBgn0038056,2,3,3,3.0,3.0,1,2,1.5,1.5
FBgn0038063,4,6,7,6.75,7.0,1,2,1.25,1.0
FBgn0038072,1,8,8,8.0,8.0,2,2,2.0,2.0
FBgn0038073,4,8,8,8.0,8.0,1,3,2.0,2.0
FBgn0038092,1,7,7,7.0,7.0,2,2,2.0,2.0
FBgn0038098,4,10,11,10.5,10.5,1,2,1.25,1.0
FBgn0038108,2,13,15,14.0,14.0,2,3,2.5,2.5
FBgn0038139,2,8,8,8.0,8.0,1,1,1.0,1.0
FBgn0038143,2,8,9,8.5,8.5,2,5,3.5,3.5
FBgn0038145,5,2,3,2.6,3.0,1,1,1.0,1.0
FBgn0038147,2,4,4,4.0,4.0,1,2,1.5,1.5
FBgn0038156,1,17,17,17.0,17.0,2,2,2.0,2.0
FBgn0038160,2,1,1,1.0,1.0,1,1,1.0,1.0
FBgn0038163,1,9,9,9.0,9.0,2,2,2.0,2.0
FBgn0038165,2,8,9,8.5,8.5,2,2,2.0,2.0
FBgn0038167,2,5,6,5.5,5.5,1,8,4.5,4.5
FBgn0038181,4,13,13,13.0,13.0,1,2,1.25,1.0
FBgn0038197,2,10,11,10.5,10.5,1,4,2.5,2.5
FBgn0038224,1,2,2,2.0,2.0,2,2,2.0,2.0
FBgn0038244,1,6,6,6.0,6.0,2,2,2.0,2.0
FBgn0038246,3,7,7,7.0,7.0,1,1,1.0,1.0
FBgn0038251,1,3,3,3.0,3.0,2,2,2.0,2.0
FBgn0038256,4,5,5,5.0,5.0,1,1,1.0,1.0
FBgn0038268,2,5,6,5.5,5.5,1,2,1.5,1.5
FBgn0038271,2,6,6,6.0,6.0,1,1,1.0,1.0
FBgn0038294,12,5,9,6.833333333333333,6.5,1,3,1.3333333333333333,1.0
FBgn0038295,2,15,16,15.5,15.5,1,2,1.5,1.5
FBgn0038306,2,1,1,1.0,1.0,1,1,1.0,1.0
FBgn0038307,2,2,2,2.0,2.0,1,1,1.0,1.0
FBgn0038315,2,2,2,2.0,2.0,1,1,1.0,1.0
FBgn0038318,1,8,8,8.0,8.0,2,2,2.0,2.0
FBgn0038326,1,3,3,3.0,3.0,2,2,2.0,2.0
FBgn0038332,2,1,1,1.0,1.0,1,1,1.0,1.0
FBgn0038339,2,5,5,5.0,5.0,1,2,1.5,1.5
FBgn0038377,2,1,1,1.0,1.0,1,1,1.0,1.0
FBgn0038387,1,3,3,3.0,3.0,2,2,2.0,2.0
FBgn0038388,1,2,2,2.0,2.0,2,2,2.0,2.0
FBgn0038389,2,2,2,2.0,2.0,1,1,1.0,1.0
FBgn0038391,2,6,6,6.0,6.0,1,2,1.5,1.5
FBgn0038395,1,4,4,4.0,4.0,2,2,2.0,2.0
FBgn0038401,1,4,4,4.0,4.0,2,2,2.0,2.0
FBgn0038402,1,5,5,5.0,5.0,4,4,4.0,4.0
FBgn0038405,2,2,2,2.0,2.0,1,1,1.0,1.0
FBgn0265508,2,4,4,4.0,4.0,1,1,1.0,1.0
FBgn0265510,2,1,1,1.0,1.0,1,1,1.0,1.0
FBgn0265523,3,10,11,10.666666666666666,11.0,1,2,1.3333333333333333,1.0
FBgn0265529,1,2,2,2.0,2.0,2,2,2.0,2.0
FBgn0265533,2,1,1,1.0,1.0,1,1,1.0,1.0
FBgn0265534,2,1,1,1.0,1.0,1,1,1.0,1.0
FBgn0265540,1,3,3,3.0,3.0,2,2,2.0,2.0
FBgn0265575,3,4,6,4.666666666666667,4.0,1,2,1.3333333333333333,1.0
FBgn0265595,6,7,8,7.166666666666667,7.0,1,1,1.0,1.0
FBgn0265597,3,15,19,17.666666666666668,19.0,1,3,2.0,2.0
FBgn0265598,4,4,5,4.25,4.0,1,1,1.0,1.0
FBgn0265607,1,7,7,7.0,7.0,2,2,2.0,2.0
FBgn0265650,1,2,2,2.0,2.0,2,2,2.0,2.0
FBgn0265661,2,1,1,1.0,1.0,1,1,1.0,1.0
FBgn0265708,3,1,2,1.3333333333333333,1.0,1,1,1.0,1.0
FBgn0265718,2,1,1,1.0,1.0,1,1,1.0,1.0
FBgn0265726,8,9,16,11.25,10.0,1,2,1.25,1.0
FBgn0265767,5,7,9,8.0,8.0,1,2,1.4,1.0
FBgn0265778,2,7,8,7.5,7.5,1,3,2.0,2.0
FBgn0265784,8,4,6,5.375,5.5,1,2,1.125,1.0
FBgn0265884,2,1,1,1.0,1.0,1,1,1.0,1.0
FBgn0265885,1,2,2,2.0,2.0,3,3,3.0,3.0
FBgn0265922,2,1,1,1.0,1.0,1,1,1.0,1.0
FBgn0265935,5,7,8,7.2,7.0,1,2,1.4,1.0
FBgn0265957,2,1,1,1.0,1.0,1,1,1.0,1.0
FBgn0265959,3,12,13,12.666666666666666,13.0,1,2,1.3333333333333333,1.0
FBgn0265980,1,2,2,2.0,2.0,2,2,2.0,2.0
FBgn0265987,1,2,2,2.0,2.0,2,2,2.0,2.0
FBgn0265991,15,7,16,12.666666666666666,14.0,1,4,1.4,1.0
FBgn0265998,11,10,14,11.909090909090908,12.0,1,2,1.0909090909090908,1.0
FBgn0266000,7,3,4,3.857142857142857,4.0,1,2,1.1428571428571428,1.0
FBgn0266003,1,2,2,2.0,2.0,2,2,2.0,2.0
FBgn0266019,4,8,8,8.0,8.0,1,1,1.0,1.0
FBgn0266036,1,3,3,3.0,3.0,2,2,2.0,2.0
FBgn0266064,3,5,5,5.0,5.0,1,2,1.3333333333333333,1.0
FBgn0266084,7,15,19,16.714285714285715,17.0,1,2,1.1428571428571428,1.0
FBgn0266101,5,4,8,5.8,5.0,1,2,1.2,1.0
FBgn0266129,3,4,5,4.333333333333333,4.0,1,2,1.3333333333333333,1.0
FBgn0266136,3,18,19,18.333333333333332,18.0,1,2,1.3333333333333333,1.0
FBgn0266170,2,2,2,2.0,2.0,1,1,1.0,1.0
FBgn0266171,2,2,2,2.0,2.0,1,1,1.0,1.0
FBgn0266172,3,2,3,2.3333333333333335,2.0,1,1,1.0,1.0
FBgn0266173,2,3,3,3.0,3.0,1,1,1.0,1.0
FBgn0266174,2,3,3,3.0,3.0,1,1,1.0,1.0
FBgn0266175,2,3,3,3.0,3.0,1,1,1.0,1.0
FBgn0266176,2,3,3,3.0,3.0,1,1,1.0,1.0
FBgn0266177,2,3,3,3.0,3.0,1,1,1.0,1.0
FBgn0266178,3,3,3,3.0,3.0,1,1,1.0,1.0
FBgn0266186,1,5,5,5.0,5.0,2,2,2.0,2.0
FBgn0266253,1,2,2,2.0,2.0,2,2,2.0,2.0
FBgn0266268,3,3,4,3.6666666666666665,4.0,1,1,1.0,1.0
FBgn0266277,1,3,3,3.0,3.0,2,2,2.0,2.0
FBgn0266303,1,3,3,3.0,3.0,2,2,2.0,2.0
FBgn0266305,2,1,1,1.0,1.0,1,1,1.0,1.0
FBgn0266322,2,1,1,1.0,1.0,1,1,1.0,1.0
FBgn0266349,2,1,1,1.0,1.0,1,1,1.0,1.0
FBgn0266354,4,9,10,9.75,10.0,1,2,1.25,1.0
FBgn0266372,2,1,1,1.0,1.0,1,1,1.0,1.0
FBgn0266379,1,2,2,2.0,2.0,2,2,2.0,2.0
FBgn0266384,2,2,2,2.0,2.0,1,1,1.0,1.0
FBgn0266409,2,6,7,6.5,6.5,2,2,2.0,2.0
FBgn0266410,8,4,6,4.875,5.0,1,1,1.0,1.0
FBgn0266413,2,1,1,1.0,1.0,1,1,1.0,1.0
FBgn0266418,5,9,15,11.6,11.0,1,2,1.4,1.0
FBgn0266428,2,1,1,1.0,1.0,1,1,1.0,1.0
FBgn0266486,2,4,4,4.0,4.0,1,1,1.0,1.0
FBgn0266487,1,10,10,10.0,10.0,2,2,2.0,2.0
FBgn0266490,2,1,2,1.5,1.5,1,2,1.5,1.5
FBgn0266492,4,3,5,4.0,4.0,1,1,1.0,1.0
FBgn0266557,6,7,19,15.5,17.0,1,1,1.0,1.0
FBgn0266566,8,6,9,6.5,6.0,1,1,1.0,1.0
FBgn0266568,3,2,4,3.0,3.0,2,3,2.6666666666666665,3.0
FBgn0266570,1,2,2,2.0,2.0,2,2,2.0,2.0
FBgn0266572,1,11,11,11.0,11.0,3,3,3.0,3.0
FBgn0266577,1,2,2,2.0,2.0,2,2,2.0,2.0
FBgn0266579,11,2,9,6.454545454545454,7.0,1,2,1.0909090909090908,1.0
FBgn0266590,2,1,1,1.0,1.0,1,1,1.0,1.0
FBgn0266598,1,4,4,4.0,4.0,2,2,2.0,2.0
FBgn0266599,6,1,2,1.6666666666666667,2.0,1,2,1.1666666666666667,1.0
FBgn0266627,1,2,2,2.0,2.0,2,2,2.0,2.0
FBgn0266631,1,4,4,4.0,4.0,2,2,2.0,2.0
FBgn0266632,4,2,4,3.0,3.0,1,2,1.5,1.5
FBgn0266633,2,3,4,3.5,3.5,1,2,1.5,1.5
FBgn0266642,2,1,1,1.0,1.0,1,1,1.0,1.0
FBgn0266654,2,1,1,1.0,1.0,1,1,1.0,1.0
FBgn0266668,1,6,6,6.0,6.0,2,2,2.0,2.0
FBgn0266692,1,3,3,3.0,3.0,2,2,2.0,2.0
FBgn0266696,30,2,19,8.3,9.5,1,2,1.0333333333333334,1.0
FBgn0266702,1,2,2,2.0,2.0,2,2,2.0,2.0
FBgn0266711,2,2,2,2.0,2.0,1,1,1.0,1.0
FBgn0266717,3,31,33,32.0,32.0,1,3,1.6666666666666667,1.0
FBgn0266744,1,4,4,4.0,4.0,2,2,2.0,2.0
FBgn0266747,2,1,1,1.0,1.0,1,1,1.0,1.0
FBgn0266753,1,2,2,2.0,2.0,2,2,2.0,2.0
FBgn0266756,6,7,14,11.5,13.0,1,2,1.3333333333333333,1.0
FBgn0266757,4,11,13,12.0,12.0,1,3,1.75,1.5
FBgn0266848,2,5,5,5.0,5.0,1,3,2.0,2.0
FBgn0266869,1,2,2,2.0,2.0,2,2,2.0,2.0
FBgn0266916,1,8,8,8.0,8.0,2,2,2.0,2.0
FBgn0038419,3,2,3,2.3333333333333335,2.0,1,2,1.3333333333333333,1.0
FBgn0038421,2,3,3,3.0,3.0,1,1,1.0,1.0
FBgn0038422,1,5,5,5.0,5.0,2,2,2.0,2.0
FBgn0038425,2,3,3,3.0,3.0,1,1,1.0,1.0
FBgn0038448,1,6,6,6.0,6.0,2,2,2.0,2.0
FBgn0038470,1,13,13,13.0,13.0,3,3,3.0,3.0
FBgn0038475,2,6,6,6.0,6.0,1,2,1.5,1.5
FBgn0038488,1,6,6,6.0,6.0,2,2,2.0,2.0
FBgn0038492,1,6,6,6.0,6.0,2,2,2.0,2.0
FBgn0038515,2,4,4,4.0,4.0,1,1,1.0,1.0
FBgn0038516,3,3,4,3.3333333333333335,3.0,1,2,1.3333333333333333,1.0
FBgn0038524,1,5,5,5.0,5.0,2,2,2.0,2.0
FBgn0038532,3,7,8,7.333333333333333,7.0,1,1,1.0,1.0
FBgn0038535,6,6,7,6.333333333333333,6.0,1,3,1.3333333333333333,1.0
FBgn0038545,1,5,5,5.0,5.0,2,2,2.0,2.0
FBgn0038603,5,5,9,7.0,8.0,1,4,1.6,1.0
FBgn0038608,1,7,7,7.0,7.0,3,3,3.0,3.0
FBgn0038610,3,3,4,3.3333333333333335,3.0,1,2,1.6666666666666667,2.0
FBgn0038619,1,3,3,3.0,3.0,2,2,2.0,2.0
FBgn0038630,2,1,2,1.5,1.5,1,2,1.5,1.5
FBgn0038638,1,3,3,3.0,3.0,2,2,2.0,2.0
FBgn0038639,2,3,3,3.0,3.0,1,1,1.0,1.0
FBgn0038642,1,4,4,4.0,4.0,2,2,2.0,2.0
FBgn0038651,1,15,15,15.0,15.0,2,2,2.0,2.0
FBgn0038652,5,10,11,10.4,10.0,1,2,1.2,1.0
FBgn0038653,2,3,3,3.0,3.0,1,1,1.0,1.0
FBgn0038659,3,1,1,1.0,1.0,1,1,1.0,1.0
FBgn0038665,1,2,2,2.0,2.0,2,2,2.0,2.0
FBgn0038666,2,5,6,5.5,5.5,1,2,1.5,1.5
FBgn0038693,5,11,27,23.4,26.0,1,1,1.0,1.0
FBgn0038704,3,3,4,3.6666666666666665,4.0,1,2,1.3333333333333333,1.0
FBgn0038716,1,6,6,6.0,6.0,2,2,2.0,2.0
FBgn0038738,2,1,1,1.0,1.0,1,2,1.5,1.5
FBgn0038740,4,9,9,9.0,9.0,1,1,1.0,1.0
FBgn0038744,1,9,9,9.0,9.0,4,4,4.0,4.0
FBgn0038747,3,3,5,4.0,4.0,1,2,1.3333333333333333,1.0
FBgn0038756,1,2,2,2.0,2.0,2,2,2.0,2.0
FBgn0038763,1,4,4,4.0,4.0,2,2,2.0,2.0
FBgn0038787,1,3,3,3.0,3.0,2,2,2.0,2.0
FBgn0038803,5,3,4,3.4,3.0,1,1,1.0,1.0
FBgn0038805,2,2,2,2.0,2.0,1,1,1.0,1.0
FBgn0038811,1,4,4,4.0,4.0,2,2,2.0,2.0
FBgn0038839,2,1,1,1.0,1.0,1,1,1.0,1.0
FBgn0038840,3,11,11,11.0,11.0,1,1,1.0,1.0
FBgn0038846,1,3,3,3.0,3.0,4,4,4.0,4.0
FBgn0038850,2,3,3,3.0,3.0,1,1,1.0,1.0
FBgn0038860,2,1,1,1.0,1.0,1,1,1.0,1.0
FBgn0038872,1,7,7,7.0,7.0,2,2,2.0,2.0
FBgn0038874,2,5,5,5.0,5.0,1,2,1.5,1.5
FBgn0038880,1,6,6,6.0,6.0,2,2,2.0,2.0
FBgn0038881,1,15,15,15.0,15.0,4,4,4.0,4.0
FBgn0038887,1,4,4,4.0,4.0,2,2,2.0,2.0
FBgn0038890,3,10,12,10.666666666666666,10.0,1,2,1.6666666666666667,2.0
FBgn0038897,1,6,6,6.0,6.0,2,2,2.0,2.0
FBgn0038909,3,3,4,3.6666666666666665,4.0,1,2,1.3333333333333333,1.0
FBgn0038938,2,10,10,10.0,10.0,1,1,1.0,1.0
FBgn0038947,2,5,6,5.5,5.5,1,3,2.0,2.0
FBgn0038957,2,4,4,4.0,4.0,1,2,1.5,1.5
FBgn0038967,1,4,4,4.0,4.0,2,2,2.0,2.0
FBgn0038975,3,13,14,13.333333333333334,13.0,1,4,2.3333333333333335,2.0
