gene_id,transcript_1,transcript_2,num_junction_T1_only,num_junction_T2_only,num_junction_shared,prop_junction_diff,prop_junction_similar,junction_T1_only,junction_T2_only,junction_shared,num_ER_T1_only,num_ER_T2_only,num_ER_shared,prop_ER_diff,prop_ER_similar,ER_T1_only,ER_T2_only,ER_shared,num_fragment_T1_only,num_fragment_T2_only,num_fragment_shared,prop_fragment_diff,prop_fragment_similar,fragment_T1_only,fragment_T2_only,fragment_shared,num_fragment_singletons_T1_only,num_fragment_singletons_T2_only,num_fragment_singletons_shared,num_IR_fragment_T1,num_IR_fragment_T2,IR_fragment_T1,IR_fragment_T2,num_nt_shared,num_nt_T1_only,num_nt_T2_only,num_nt_diff,total_nt,prop_nt_diff,prop_nt_similar,num_nt_T1_only_in_shared_ER,num_nt_T2_only_in_shared_ER,num_nt_shared_in_shared_ER,total_nt_in_shared_ER,prop_nt_diff_in_shared_ER,prop_nt_similar_in_shared_ER,num_nt_T1_only_in_unique_ER,num_nt_T2_only_in_unique_ER,flag_FSM,flag_IR,flag_5_variation,flag_3_variation,flag_alt_donor_acceptor,flag_alt_exon,flag_no_shared_nt
gene:WBGene00001413,tr_gene:WBGene00001413_1,tr_gene:WBGene00001413_2,0,1,4,0.2,0.8,,IV:9105262:9105372:+,IV:9105705:9105770:+|IV:9105829:9106220:+|IV:9106548:9106650:+|IV:9106721:9107121:+,0,1,5,0.16666666666666666,0.8333333333333334,,IV:9104965:9105272:+,IV:9105362:9105715:+|IV:9105760:9105839:+|IV:9106210:9106558:+|IV:9106640:9106731:+|IV:9107111:9107609:+,0,2,5,0.2857142857142857,0.7142857142857143,,IV:9104965:9105272:+|IV:9105362:9105370:+,IV:9105370:9105715:+|IV:9105760:9105839:+|IV:9106210:9106558:+|IV:9106640:9106731:+|IV:9107111:9107609:+,0,1,4,0,0,,,1361,0,315,315,1676,0.18794749403341288,0.8120525059665871,0,8,1361,1369,0.005843681519357195,0.9941563184806428,0,307,0,0,1,0,1,1,0
gene:WBGene00001558,tr_gene:WBGene00001558_1,tr_gene:WBGene00001558_2,1,2,0,1.0,0.0,IV:14791518:14791866:-,IV:14791214:14791291:-|IV:14791525:14791866:-,,0,1,2,0.3333333333333333,0.6666666666666667,,IV:14790819:14791224:-,IV:14791281:14791535:-|IV:14791856:14792887:-,0,2,2,0.5,0.5,,IV:14790819:14791224:-|IV:14791528:14791535:-,IV:14791281:14791528:-|IV:14791856:14792887:-,0,1,1,0,0,,,1278,0,412,412,1690,0.24378698224852072,0.7562130177514793,0,7,1278,1285,0.005447470817120622,0.9945525291828794,0,405,0,0,0,1,1,1,0
gene:WBGene00001999,tr_gene:WBGene00001999_1,tr_gene:WBGene00001999_2,3,0,0,1,0,IV:3337500:3337569:-|IV:3338288:3338388:-|IV:3338534:3338815:-,,,0,0,1,0.0,1.0,,,IV:3336926:3338833:-,3,0,4,0.42857142857142855,0.5714285714285714,IV:3337510:3337559:-|IV:3338298:3338378:-|IV:3338544:3338805:-,,IV:3336926:3337510:-|IV:3337559:3338298:-|IV:3338378:3338544:-|IV:3338805:3338833:-,0,0,0,3,0,IV:3337510:3337559:-|IV:3338298:3338378:-|IV:3338544:3338805:-,,1517,390,0,390,1907,0.2045097011012061,0.795490298898794,390,0,1517,1907,0.2045097011012061,0.795490298898794,0,0,0,1,0,0,0,0,0
gene:WBGene00002005,tr_gene:WBGene00002005_1,tr_gene:WBGene00002005_2,1,1,1,0.6666666666666666,0.33333333333333337,IV:17279997:17280211:+,IV:17279158:17279229:+,IV:17280872:17280946:+,0,1,2,0.3333333333333333,0.6666666666666667,,IV:17278958:17279168:+,IV:17279219:17280882:+|IV:17280936:17281330:+,0,2,3,0.4,0.6,,IV:17278958:17279168:+|IV:17280007:17280201:+,IV:17279219:17280007:+|IV:17280201:17280882:+|IV:17280936:17281330:+,0,1,1,0,1,,IV:17280007:17280201:+,1863,0,404,404,2267,0.17820908689898543,0.8217909131010146,0,194,1863,2057,0.09431210500729217,0.9056878949927079,0,210,0,1,1,0,0,0,0
gene:WBGene00002043,tr_gene:WBGene00002043_1,tr_gene:WBGene00002043_2,1,1,6,0.25,0.75,IV:8540661:8541104:+,IV:8539133:8541104:+,IV:8541206:8541773:+|IV:8541844:8541924:+|IV:8542098:8542831:+|IV:8542961:8543188:+|IV:8543403:8543469:+|IV:8543662:8543972:+,1,1,7,0.2222222222222222,0.7777777777777778,IV:8540601:8540671:+,IV:8539122:8539143:+,IV:8541094:8541216:+|IV:8541763:8541854:+|IV:8541914:8542108:+|IV:8542821:8542971:+|IV:8543178:8543413:+|IV:8543459:8543672:+|IV:8543962:8544379:+,1,1,7,0.2222222222222222,0.7777777777777778,IV:8540601:8540671:+,IV:8539122:8539143:+,IV:8541094:8541216:+|IV:8541763:8541854:+|IV:8541914:8542108:+|IV:8542821:8542971:+|IV:8543178:8543413:+|IV:8543459:8543672:+|IV:8543962:8544379:+,1,1,7,0,0,,,1422,70,21,91,1513,0.06014540647719762,0.9398545935228024,0,0,1422,1422,0.0,1.0,70,21,0,0,1,0,0,1,0
gene:WBGene00002046,tr_gene:WBGene00002046_1,tr_gene:WBGene00002046_2,0,4,0,1,0,,IV:9095025:9095087:-|IV:9095169:9095248:-|IV:9095288:9095352:-|IV:9095475:9095539:-,,0,0,1,0.0,1.0,,,IV:9094540:9095653:-,0,5,5,0.5,0.5,,IV:9094540:9094886:-|IV:9095035:9095077:-|IV:9095179:9095238:-|IV:9095298:9095342:-|IV:9095485:9095529:-,IV:9094886:9095035:-|IV:9095077:9095179:-|IV:9095238:9095298:-|IV:9095342:9095485:-|IV:9095529:9095653:-,0,0,0,0,4,,IV:9095035:9095077:-|IV:9095179:9095238:-|IV:9095298:9095342:-|IV:9095485:9095529:-,578,0,535,535,1113,0.4806828391734052,0.5193171608265947,0,535,578,1113,0.4806828391734052,0.5193171608265947,0,0,0,1,0,1,0,0,0
gene:WBGene00002046,tr_gene:WBGene00002046_1,tr_gene:WBGene00002046_3,1,1,3,0.4,0.6,IV:9095025:9095087:-,IV:9094802:9094896:-,IV:9095169:9095248:-|IV:9095288:9095352:-|IV:9095475:9095539:-,0,1,4,0.2,0.8,,IV:9094540:9094812:-,IV:9094886:9095179:-|IV:9095238:9095298:-|IV:9095342:9095485:-|IV:9095529:9095653:-,0,2,5,0.2857142857142857,0.7142857142857143,,IV:9094540:9094812:-|IV:9095035:9095077:-,IV:9094886:9095035:-|IV:9095077:9095179:-|IV:9095238:9095298:-|IV:9095342:9095485:-|IV:9095529:9095653:-,0,1,3,0,1,,IV:9095035:9095077:-,578,0,314,314,892,0.35201793721973096,0.647982062780269,0,42,578,620,0.06774193548387097,0.932258064516129,0,272,0,1,0,1,0,0,0
gene:WBGene00002046,tr_gene:WBGene00002046_2,tr_gene:WBGene00002046_3,4,0,0,1,0,IV:9094802:9094896:-|IV:9095169:9095248:-|IV:9095288:9095352:-|IV:9095475:9095539:-,,,0,0,1,0.0,1.0,,,IV:9094540:9095653:-,4,0,5,0.4444444444444444,0.5555555555555556,IV:9094812:9094886:-|IV:9095179:9095238:-|IV:9095298:9095342:-|IV:9095485:9095529:-,,IV:9094540:9094812:-|IV:9094886:9095179:-|IV:9095238:9095298:-|IV:9095342:9095485:-|IV:9095529:9095653:-,0,0,0,4,0,IV:9094812:9094886:-|IV:9095179:9095238:-|IV:9095298:9095342:-|IV:9095485:9095529:-,,892,221,0,221,1113,0.1985624438454627,0.8014375561545373,221,0,892,1113,0.1985624438454627,0.8014375561545373,0,0,0,1,0,0,0,0,0
gene:WBGene00002080,tr_gene:WBGene00002080_1,tr_gene:WBGene00002080_2,1,9,2,0.8333333333333334,0.16666666666666663,IV:7923368:7923529:-,IV:7917274:7917821:-|IV:7918250:7918345:-|IV:7919307:7919372:-|IV:7919634:7919790:-|IV:7919942:7922020:-|IV:7922080:7922833:-|IV:7922933:7923002:-|IV:7923213:7923279:-|IV:7923374:7923529:-,IV:7923749:7923850:-|IV:7923913:7923982:-,0,8,4,0.6666666666666666,0.33333333333333337,,IV:7916711:7917284:-|IV:7917811:7918260:-|IV:7918335:7919317:-|IV:7919362:7919644:-|IV:7919780:7919952:-|IV:7922010:7922090:-|IV:7922823:7922943:-|IV:7922992:7923223:-,IV:7923269:7923384:-|IV:7923519:7923759:-|IV:7923840:7923923:-|IV:7923972:7924129:-,0,9,4,0.6923076923076923,0.3076923076923077,,IV:7916711:7917284:-|IV:7917811:7918260:-|IV:7918335:7919317:-|IV:7919362:7919644:-|IV:7919780:7919952:-|IV:7922010:7922090:-|IV:7922823:7922943:-|IV:7922992:7923223:-|IV:7923378:7923384:-,IV:7923269:7923378:-|IV:7923519:7923759:-|IV:7923840:7923923:-|IV:7923972:7924129:-,0,8,3,0,0,,,589,0,2895,2895,3484,0.8309414466130884,0.16905855338691156,0,6,589,595,0.010084033613445379,0.9899159663865547,0,2889,0,0,0,1,1,1,0
gene:WBGene00002175,tr_gene:WBGene00002175_1,tr_gene:WBGene00002175_2,1,3,9,0.3076923076923077,0.6923076923076923,IV:15999298:15999773:-,IV:15998395:15998935:-|IV:15999084:15999159:-|IV:15999304:15999773:-,IV:16000857:16001764:-|IV:16001924:16002476:-|IV:16002888:16004391:-|IV:16004552:16005262:-|IV:16005580:16005934:-|IV:16006040:16011907:-|IV:16012085:16014322:-|IV:16014531:16017346:-|IV:16017480:16018908:-,0,2,11,0.15384615384615385,0.8461538461538461,,IV:15997857:15998405:-|IV:15998925:15999094:-,IV:15999149:15999314:-|IV:15999763:16000867:-|IV:16001754:16001934:-|IV:16002466:16002898:-|IV:16004381:16004562:-|IV:16005252:16005590:-|IV:16005924:16006050:-|IV:16011897:16012095:-|IV:16014312:16014541:-|IV:16017336:16017490:-|IV:16018898:16018968:-,0,3,11,0.21428571428571427,0.7857142857142857,,IV:15997857:15998405:-|IV:15998925:15999094:-|IV:15999308:15999314:-,IV:15999149:15999308:-|IV:15999763:16000867:-|IV:16001754:16001934:-|IV:16002466:16002898:-|IV:16004381:16004562:-|IV:16005252:16005590:-|IV:16005924:16006050:-|IV:16011897:16012095:-|IV:16014312:16014541:-|IV:16017336:16017490:-|IV:16018898:16018968:-,0,2,10,0,0,,,3171,0,723,723,3894,0.1856702619414484,0.8143297380585516,0,6,3171,3177,0.0018885741265344666,0.9981114258734656,0,717,0,0,0,1,1,1,0
