,gene_id,ujc_id,transcript_id,num_transcript_in_consol_transcript,num_transcript_id_in_gene,num_consol_transcript_id_in_gene,flag_gene_consolidated
33,FBgn0001142,tr_FBgn0001142_2,FBtr0078115,1,3,2,1
34,FBgn0001174,tr_FBgn0001174_1,FBtr0114554,1,1,1,0
35,FBgn0001186,tr_FBgn0001186_2,FBtr0333335,1,3,2,1
36,FBgn0001186,tr_FBgn0001186_1,FBtr0071361,2,3,2,1
36,FBgn0001186,tr_FBgn0001186_1,FBtr0071362,2,3,2,1
37,FBgn0001187,tr_FBgn0001187_1,FBtr0087399,1,1,1,0
38,FBgn0001223,tr_FBgn0001223_1,FBtr0100559,1,2,2,0
39,FBgn0001224,tr_FBgn0001224_1,FBtr0076453,2,2,1,1
39,FBgn0001224,tr_FBgn0001224_1,FBtr0309504,2,2,1,1
40,FBgn0001225,tr_FBgn0001225_1,FBtr0076496,2,2,1,1
40,FBgn0001225,tr_FBgn0001225_1,FBtr0346539,2,2,1,1
41,FBgn0001226,tr_FBgn0001226_1,FBtr0076454,1,2,2,0
42,FBgn0001226,tr_FBgn0001226_2,FBtr0346541,1,2,2,0
43,FBgn0001227,tr_FBgn0001227_1,FBtr0076495,1,1,1,0
44,FBgn0001229,tr_FBgn0001229_1,FBtr0076497,1,1,1,0
45,FBgn0001230,tr_FBgn0001230_1,FBtr0084589,1,1,1,0
46,FBgn0001234,tr_FBgn0001234_1,FBtr0084059,1,7,5,1
47,FBgn0001234,tr_FBgn0001234_2,FBtr0346801,1,7,5,1
48,FBgn0001234,tr_FBgn0001234_3,FBtr0084058,1,7,5,1
49,FBgn0001234,tr_FBgn0001234_5,FBtr0332373,1,7,5,1
50,FBgn0001254,tr_FBgn0001254_1,FBtr0073141,1,1,1,0
51,FBgn0001255,tr_FBgn0001255_1,FBtr0310412,1,1,1,0
52,FBgn0001256,tr_FBgn0001256_1,FBtr0075843,1,3,3,0
53,FBgn0001259,tr_FBgn0001259_1,FBtr0078183,1,1,1,0
54,FBgn0001276,tr_FBgn0001276_1,FBtr0088154,1,1,1,0
55,FBgn0001285,tr_FBgn0001285_1,FBtr0088704,1,2,2,0
56,FBgn0001285,tr_FBgn0001285_2,FBtr0345661,1,2,2,0
57,FBgn0001967,tr_FBgn0001967_1,FBtr0290243,1,1,1,0
58,FBgn0001970,tr_FBgn0001970_1,FBtr0080629,1,1,1,0
59,FBgn0001981,tr_FBgn0001981_1,FBtr0080734,1,1,1,0
60,FBgn0001992,tr_FBgn0001992_1,FBtr0080828,1,2,2,0
61,FBgn0001992,tr_FBgn0001992_2,FBtr0343812,1,2,2,0
62,FBgn0002174,tr_FBgn0002174_1,FBtr0344995,1,5,5,0
63,FBgn0002561,tr_FBgn0002561_1,FBtr0070074,1,1,1,0
64,FBgn0002565,tr_FBgn0002565_1,FBtr0089324,1,2,2,0
65,FBgn0002565,tr_FBgn0002565_2,FBtr0345352,1,2,2,0
66,FBgn0002592,tr_FBgn0002592_1,FBtr0084981,1,1,1,0
67,FBgn0002609,tr_FBgn0002609_1,FBtr0084958,1,1,1,0
68,FBgn0002629,tr_FBgn0002629_1,FBtr0084980,1,1,1,0
69,FBgn0002631,tr_FBgn0002631_1,FBtr0084979,1,1,1,0
70,FBgn0002632,tr_FBgn0002632_1,FBtr0084959,1,1,1,0
71,FBgn0002633,tr_FBgn0002633_1,FBtr0084960,1,1,1,0
72,FBgn0002732,tr_FBgn0002732_1,FBtr0084956,1,1,1,0
73,FBgn0002733,tr_FBgn0002733_1,FBtr0084982,1,1,1,0
74,FBgn0002734,tr_FBgn0002734_1,FBtr0084954,1,1,1,0
75,FBgn0002735,tr_FBgn0002735_1,FBtr0084955,1,1,1,0
76,FBgn0002838,tr_FBgn0002838_1,FBtr0085063,1,1,1,0
77,FBgn0002865,tr_FBgn0002865_1,FBtr0085277,1,1,1,0
78,FBgn0002878,tr_FBgn0002878_1,FBtr0073817,1,1,1,0
79,FBgn0002933,tr_FBgn0002933_1,FBtr0070523,1,1,1,0
80,FBgn0003057,tr_FBgn0003057_1,FBtr0346194,2,2,1,1
80,FBgn0003057,tr_FBgn0003057_1,FBtr0074400,2,2,1,1
81,FBgn0003060,tr_FBgn0003060_1,FBtr0334496,2,2,1,1
81,FBgn0003060,tr_FBgn0003060_1,FBtr0082860,2,2,1,1
82,FBgn0003086,tr_FBgn0003086_1,FBtr0070537,1,1,1,0
83,FBgn0003140,tr_FBgn0003140_1,FBtr0086817,2,2,1,1
83,FBgn0003140,tr_FBgn0003140_1,FBtr0344898,2,2,1,1
84,FBgn0003249,tr_FBgn0003249_1,FBtr0083876,1,1,1,0
85,FBgn0003270,tr_FBgn0003270_1,FBtr0081081,1,1,1,0
86,FBgn0003274,tr_FBgn0003274_1,FBtr0087105,1,1,1,0
87,FBgn0003356,tr_FBgn0003356_1,FBtr0085512,1,1,1,0
88,FBgn0003357,tr_FBgn0003357_1,FBtr0085502,2,2,1,1
88,FBgn0003357,tr_FBgn0003357_1,FBtr0346340,2,2,1,1
89,FBgn0003374,tr_FBgn0003374_1,FBtr0346736,1,1,1,0
90,FBgn0003411,tr_FBgn0003411_1,FBtr0073461,1,1,1,0
91,FBgn0003430,tr_FBgn0003430_1,FBtr0077499,1,1,1,0
92,FBgn0003448,tr_FBgn0003448_1,FBtr0080739,1,1,1,0
93,FBgn0003479,tr_FBgn0003479_2,FBtr0085590,1,2,2,0
94,FBgn0003486,tr_FBgn0003486_1,FBtr0077130,2,2,1,1
94,FBgn0003486,tr_FBgn0003486_1,FBtr0346640,2,2,1,1
95,FBgn0003510,tr_FBgn0003510_1,FBtr0085557,1,2,2,0
96,FBgn0003512,tr_FBgn0003512_1,FBtr0085558,1,1,1,0
97,FBgn0003683,tr_FBgn0003683_1,FBtr0075112,1,1,1,0
98,FBgn0003751,tr_FBgn0003751_1,FBtr0080078,1,1,1,0
99,FBgn0003863,tr_FBgn0003863_1,FBtr0088161,1,1,1,0
100,FBgn0003865,tr_FBgn0003865_1,FBtr0073582,1,1,1,0
101,FBgn0003885,tr_FBgn0003885_1,FBtr0081538,1,1,1,0
102,FBgn0003916,tr_FBgn0003916_1,FBtr0078028,1,1,1,0
103,FBgn0003920,tr_FBgn0003920_1,FBtr0074208,1,1,1,0
104,FBgn0003922,tr_FBgn0003922_1,FBtr0081313,1,1,1,0
105,FBgn0003923,tr_FBgn0003923_1,FBtr0081293,1,1,1,0
106,FBgn0003926,tr_FBgn0003926_1,FBtr0077928,1,1,1,0
107,FBgn0003930,tr_FBgn0003930_1,FBtr0081489,1,1,1,0
108,FBgn0003931,tr_FBgn0003931_1,FBtr0081292,1,1,1,0
109,FBgn0003933,tr_FBgn0003933_1,FBtr0074249,1,1,1,0
110,FBgn0003934,tr_FBgn0003934_1,FBtr0077658,1,1,1,0
111,FBgn0003935,tr_FBgn0003935_1,FBtr0080451,1,1,1,0
112,FBgn0003936,tr_FBgn0003936_1,FBtr0080770,1,1,1,0
113,FBgn0003938,tr_FBgn0003938_1,FBtr0073017,1,1,1,0
114,FBgn0003964,tr_FBgn0003964_1,FBtr0070346,1,2,2,0
115,FBgn0003979,tr_FBgn0003979_1,FBtr0333232,2,2,1,1
115,FBgn0003979,tr_FBgn0003979_1,FBtr0079239,2,2,1,1
116,FBgn0003980,tr_FBgn0003980_1,FBtr0079171,1,2,2,0
117,FBgn0003980,tr_FBgn0003980_2,FBtr0345439,1,2,2,0
118,FBgn0003983,tr_FBgn0003983_1,FBtr0080521,1,1,1,0
119,FBgn0004052,tr_FBgn0004052_1,FBtr0075549,1,1,1,0
120,FBgn0004054,tr_FBgn0004054_1,FBtr0290296,1,2,2,0
121,FBgn0004143,tr_FBgn0004143_1,FBtr0299565,1,1,1,0
122,FBgn0004170,tr_FBgn0004170_1,FBtr0070073,1,1,1,0
123,FBgn0004171,tr_FBgn0004171_1,FBtr0085278,1,1,1,0
124,FBgn0004183,tr_FBgn0004183_1,FBtr0078851,1,1,1,0
125,FBgn0004185,tr_FBgn0004185_1,FBtr0084528,1,1,1,0
126,FBgn0004186,tr_FBgn0004186_1,FBtr0084488,1,1,1,0
127,FBgn0004187,tr_FBgn0004187_1,FBtr0084487,1,1,1,0
128,FBgn0004188,tr_FBgn0004188_1,FBtr0084650,1,1,1,0
129,FBgn0004189,tr_FBgn0004189_1,FBtr0084651,1,1,1,0
130,FBgn0004190,tr_FBgn0004190_1,FBtr0084652,1,1,1,0
131,FBgn0004191,tr_FBgn0004191_1,FBtr0080486,1,1,1,0
132,FBgn0004192,tr_FBgn0004192_1,FBtr0080443,1,1,1,0
133,FBgn0004240,tr_FBgn0004240_1,FBtr0086620,1,1,1,0
134,FBgn0004364,tr_FBgn0004364_1,FBtr0086309,1,1,1,0
135,FBgn0004380,tr_FBgn0004380_1,FBtr0077157,1,1,1,0
136,FBgn0004389,tr_FBgn0004389_1,FBtr0085754,1,1,1,0
137,FBgn0004414,tr_FBgn0004414_1,FBtr0334114,2,2,1,1
137,FBgn0004414,tr_FBgn0004414_1,FBtr0078482,2,2,1,1
138,FBgn0004425,tr_FBgn0004425_1,FBtr0072628,2,2,1,1
138,FBgn0004425,tr_FBgn0004425_1,FBtr0336738,2,2,1,1
139,FBgn0004426,tr_FBgn0004426_1,FBtr0347605,1,1,1,0
140,FBgn0004427,tr_FBgn0004427_1,FBtr0072634,1,1,1,0
141,FBgn0004428,tr_FBgn0004428_1,FBtr0072630,1,1,1,0
142,FBgn0004429,tr_FBgn0004429_1,FBtr0072633,1,1,1,0
143,FBgn0004430,tr_FBgn0004430_1,FBtr0072631,1,1,1,0
144,FBgn0004431,tr_FBgn0004431_1,FBtr0072637,1,1,1,0
145,FBgn0004554,tr_FBgn0004554_1,FBtr0300767,1,2,2,0
146,FBgn0004567,tr_FBgn0004567_1,FBtr0077500,1,1,1,0
147,FBgn0004574,tr_FBgn0004574_1,FBtr0310632,2,2,1,1
147,FBgn0004574,tr_FBgn0004574_1,FBtr0073263,2,2,1,1
148,FBgn0004636,tr_FBgn0004636_1,FBtr0332671,1,3,3,0
149,FBgn0004897,tr_FBgn0004897_1,FBtr0339246,2,2,1,1
149,FBgn0004897,tr_FBgn0004897_1,FBtr0084770,2,2,1,1
150,FBgn0004898,tr_FBgn0004898_1,FBtr0084771,1,1,1,0
151,FBgn0004911,tr_FBgn0004911_1,FBtr0073162,1,1,1,0
152,FBgn0004957,tr_FBgn0004957_1,FBtr0074577,2,3,2,1
152,FBgn0004957,tr_FBgn0004957_1,FBtr0310487,2,3,2,1
153,FBgn0005355,tr_FBgn0005355_1,FBtr0082665,1,1,1,0
154,FBgn0005590,tr_FBgn0005590_1,FBtr0343860,2,2,1,1
154,FBgn0005590,tr_FBgn0005590_1,FBtr0081261,2,2,1,1
155,FBgn0005638,tr_FBgn0005638_1,FBtr0339359,2,2,1,1
155,FBgn0005638,tr_FBgn0005638_1,FBtr0072272,2,2,1,1
156,FBgn0005696,tr_FBgn0005696_1,FBtr0114543,1,1,1,0
157,FBgn0005778,tr_FBgn0005778_1,FBtr0071806,1,1,1,0
158,FBgn0005779,tr_FBgn0005779_1,FBtr0077660,1,1,1,0
159,FBgn0010019,tr_FBgn0010019_1,FBtr0070099,1,1,1,0
160,FBgn0010038,tr_FBgn0010038_1,FBtr0082569,1,1,1,0
161,FBgn0010039,tr_FBgn0010039_1,FBtr0082570,1,1,1,0
162,FBgn0010040,tr_FBgn0010040_1,FBtr0082571,1,1,1,0
163,FBgn0010041,tr_FBgn0010041_1,FBtr0082572,1,1,1,0
164,FBgn0010042,tr_FBgn0010042_1,FBtr0082573,1,1,1,0
165,FBgn0010043,tr_FBgn0010043_1,FBtr0082574,1,1,1,0
166,FBgn0010044,tr_FBgn0010044_1,FBtr0082575,1,1,1,0
167,FBgn0010194,tr_FBgn0010194_1,FBtr0343046,2,2,1,1
167,FBgn0010194,tr_FBgn0010194_1,FBtr0074623,2,2,1,1
168,FBgn0010294,tr_FBgn0010294_1,FBtr0070540,1,1,1,0
169,FBgn0010295,tr_FBgn0010295_1,FBtr0070539,1,1,1,0
170,FBgn0010296,tr_FBgn0010296_1,FBtr0070538,1,1,1,0
171,FBgn0010313,tr_FBgn0010313_4,FBtr0308119,1,5,4,1
172,FBgn0010313,tr_FBgn0010313_3,FBtr0308118,1,5,4,1
173,FBgn0010313,tr_FBgn0010313_1,FBtr0345141,1,5,4,1
174,FBgn0010313,tr_FBgn0010313_2,FBtr0308120,2,5,4,1
174,FBgn0010313,tr_FBgn0010313_2,FBtr0078844,2,5,4,1
175,FBgn0010333,tr_FBgn0010333_1,FBtr0331868,2,2,1,1
175,FBgn0010333,tr_FBgn0010333_1,FBtr0072730,2,2,1,1
176,FBgn0010356,tr_FBgn0010356_1,FBtr0088240,1,1,1,0
177,FBgn0010357,tr_FBgn0010357_1,FBtr0088122,1,2,2,0
178,FBgn0010357,tr_FBgn0010357_2,FBtr0345928,1,2,2,0
179,FBgn0010358,tr_FBgn0010358_1,FBtr0088124,1,1,1,0
180,FBgn0010359,tr_FBgn0010359_1,FBtr0088159,1,1,1,0
181,FBgn0010385,tr_FBgn0010385_1,FBtr0088432,1,1,1,0
182,FBgn0010388,tr_FBgn0010388_1,FBtr0087436,2,2,1,1
182,FBgn0010388,tr_FBgn0010388_1,FBtr0309055,2,2,1,1
183,FBgn0010425,tr_FBgn0010425_1,FBtr0088160,1,1,1,0
184,FBgn0010431,tr_FBgn0010431_1,FBtr0076613,1,1,1,0
185,FBgn0010433,tr_FBgn0010433_1,FBtr0081828,1,1,1,0
186,FBgn0010504,tr_FBgn0010504_1,FBtr0339296,1,5,5,0
187,FBgn0010611,tr_FBgn0010611_1,FBtr0087149,1,6,5,1
188,FBgn0010622,tr_FBgn0010622_1,FBtr0071985,1,2,2,0
189,FBgn0011244,tr_FBgn0011244_1,FBtr0078000,1,1,1,0
190,FBgn0011270,tr_FBgn0011270_1,FBtr0082620,1,1,1,0
191,FBgn0011273,tr_FBgn0011273_1,FBtr0301963,2,2,1,1
191,FBgn0011273,tr_FBgn0011273_1,FBtr0084904,2,2,1,1
192,FBgn0011283,tr_FBgn0011283_1,FBtr0079455,1,1,1,0
193,FBgn0011305,tr_FBgn0011305_1,FBtr0333411,2,2,1,1
193,FBgn0011305,tr_FBgn0011305_1,FBtr0080079,2,2,1,1
194,FBgn0011554,tr_FBgn0011554_1,FBtr0088163,1,1,1,0
195,FBgn0011555,tr_FBgn0011555_1,FBtr0088162,1,1,1,0
196,FBgn0011556,tr_FBgn0011556_1,FBtr0088164,1,1,1,0
197,FBgn0011596,tr_FBgn0011596_1,FBtr0084399,1,1,1,0
198,FBgn0011668,tr_FBgn0011668_1,FBtr0084914,1,1,1,0
199,FBgn0011669,tr_FBgn0011669_1,FBtr0084915,1,1,1,0
200,FBgn0011670,tr_FBgn0011670_1,FBtr0339163,1,1,1,0
201,FBgn0011695,tr_FBgn0011695_1,FBtr0343341,1,3,3,0
202,FBgn0011706,tr_FBgn0011706_1,FBtr0075120,1,1,1,0
203,FBgn0011741,tr_FBgn0011741_1,FBtr0074203,1,1,1,0
204,FBgn0011761,tr_FBgn0011761_1,FBtr0345745,2,2,1,1
204,FBgn0011761,tr_FBgn0011761_1,FBtr0070749,2,2,1,1
205,FBgn0011770,tr_FBgn0011770_1,FBtr0071472,1,1,1,0
206,FBgn0011822,tr_FBgn0011822_1,FBtr0070100,1,1,1,0
207,FBgn0011826,tr_FBgn0011826_2,FBtr0309793,1,3,2,1
208,FBgn0011826,tr_FBgn0011826_1,FBtr0305593,2,3,2,1
208,FBgn0011826,tr_FBgn0011826_1,FBtr0074294,2,3,2,1
209,FBgn0011832,tr_FBgn0011832_1,FBtr0077806,1,1,1,0
210,FBgn0011834,tr_FBgn0011834_1,FBtr0077272,1,1,1,0
211,FBgn0011840,tr_FBgn0011840_1,FBtr0083499,1,1,1,0
212,FBgn0011844,tr_FBgn0011844_1,FBtr0075834,1,1,1,0
213,FBgn0011845,tr_FBgn0011845_1,FBtr0084649,1,1,1,0
214,FBgn0011848,tr_FBgn0011848_1,FBtr0086446,1,1,1,0
215,FBgn0011849,tr_FBgn0011849_1,FBtr0086447,1,1,1,0
216,FBgn0011850,tr_FBgn0011850_1,FBtr0086448,1,1,1,0
217,FBgn0011851,tr_FBgn0011851_1,FBtr0072685,1,1,1,0
218,FBgn0011852,tr_FBgn0011852_1,FBtr0072686,1,1,1,0
219,FBgn0011853,tr_FBgn0011853_1,FBtr0072687,1,1,1,0
220,FBgn0011854,tr_FBgn0011854_1,FBtr0072690,1,1,1,0
221,FBgn0011855,tr_FBgn0011855_1,FBtr0072691,1,1,1,0
222,FBgn0011858,tr_FBgn0011858_1,FBtr0083267,1,1,1,0
223,FBgn0011859,tr_FBgn0011859_1,FBtr0077872,1,1,1,0
224,FBgn0011860,tr_FBgn0011860_1,FBtr0077821,1,1,1,0
225,FBgn0011861,tr_FBgn0011861_1,FBtr0079528,1,1,1,0
226,FBgn0011862,tr_FBgn0011862_1,FBtr0089613,1,1,1,0
227,FBgn0011863,tr_FBgn0011863_1,FBtr0080666,1,1,1,0
228,FBgn0011864,tr_FBgn0011864_1,FBtr0080665,1,1,1,0
229,FBgn0011865,tr_FBgn0011865_1,FBtr0080664,1,1,1,0
230,FBgn0011866,tr_FBgn0011866_1,FBtr0080663,1,1,1,0
231,FBgn0011867,tr_FBgn0011867_1,FBtr0087055,1,1,1,0
232,FBgn0011868,tr_FBgn0011868_1,FBtr0086659,1,1,1,0
233,FBgn0011869,tr_FBgn0011869_1,FBtr0086312,1,1,1,0
234,FBgn0011870,tr_FBgn0011870_1,FBtr0086314,1,1,1,0
235,FBgn0011871,tr_FBgn0011871_1,FBtr0071630,1,1,1,0
236,FBgn0011872,tr_FBgn0011872_1,FBtr0071581,1,1,1,0
237,FBgn0011877,tr_FBgn0011877_1,FBtr0087901,1,1,1,0
238,FBgn0011878,tr_FBgn0011878_1,FBtr0087900,1,1,1,0
239,FBgn0011879,tr_FBgn0011879_1,FBtr0086908,1,1,1,0
240,FBgn0011880,tr_FBgn0011880_1,FBtr0085984,1,1,1,0
241,FBgn0011881,tr_FBgn0011881_1,FBtr0087713,1,1,1,0
242,FBgn0011882,tr_FBgn0011882_1,FBtr0087658,1,1,1,0
243,FBgn0011883,tr_FBgn0011883_1,FBtr0087659,1,1,1,0
244,FBgn0011884,tr_FBgn0011884_1,FBtr0087660,1,1,1,0
245,FBgn0011885,tr_FBgn0011885_1,FBtr0087661,1,1,1,0
246,FBgn0011887,tr_FBgn0011887_1,FBtr0085983,1,1,1,0
247,FBgn0011888,tr_FBgn0011888_1,FBtr0086013,1,1,1,0
248,FBgn0011889,tr_FBgn0011889_1,FBtr0086014,1,1,1,0
249,FBgn0011890,tr_FBgn0011890_1,FBtr0086007,1,1,1,0
250,FBgn0011891,tr_FBgn0011891_1,FBtr0086017,1,1,1,0
251,FBgn0011892,tr_FBgn0011892_1,FBtr0086190,1,1,1,0
252,FBgn0011893,tr_FBgn0011893_1,FBtr0086189,1,1,1,0
253,FBgn0011894,tr_FBgn0011894_1,FBtr0086188,1,1,1,0
254,FBgn0011895,tr_FBgn0011895_1,FBtr0086187,1,1,1,0
255,FBgn0011896,tr_FBgn0011896_1,FBtr0087688,1,1,1,0
256,FBgn0011897,tr_FBgn0011897_1,FBtr0086334,1,1,1,0
257,FBgn0011902,tr_FBgn0011902_1,FBtr0079596,1,1,1,0
258,FBgn0011904,tr_FBgn0011904_1,FBtr0081660,1,1,1,0
259,FBgn0011905,tr_FBgn0011905_1,FBtr0082544,1,1,1,0
260,FBgn0011906,tr_FBgn0011906_1,FBtr0088703,1,1,1,0
261,FBgn0011915,tr_FBgn0011915_1,FBtr0088071,1,1,1,0
262,FBgn0011916,tr_FBgn0011916_1,FBtr0088086,1,1,1,0
263,FBgn0011919,tr_FBgn0011919_1,FBtr0081706,1,1,1,0
264,FBgn0011921,tr_FBgn0011921_1,FBtr0088465,1,1,1,0
265,FBgn0011927,tr_FBgn0011927_1,FBtr0075713,1,1,1,0
266,FBgn0011928,tr_FBgn0011928_1,FBtr0075681,1,1,1,0
267,FBgn0011931,tr_FBgn0011931_1,FBtr0085982,1,1,1,0
268,FBgn0011932,tr_FBgn0011932_1,FBtr0085981,1,1,1,0
269,FBgn0011933,tr_FBgn0011933_1,FBtr0086015,1,1,1,0
270,FBgn0011934,tr_FBgn0011934_1,FBtr0085989,1,1,1,0
271,FBgn0011935,tr_FBgn0011935_1,FBtr0086004,1,1,1,0
272,FBgn0011936,tr_FBgn0011936_1,FBtr0100016,1,1,1,0
273,FBgn0011937,tr_FBgn0011937_1,FBtr0100015,1,1,1,0
274,FBgn0011938,tr_FBgn0011938_1,FBtr0086016,1,1,1,0
275,FBgn0011944,tr_FBgn0011944_1,FBtr0083501,1,1,1,0
276,FBgn0011945,tr_FBgn0011945_1,FBtr0083469,1,1,1,0
277,FBgn0011948,tr_FBgn0011948_1,FBtr0073860,1,1,1,0
278,FBgn0011949,tr_FBgn0011949_1,FBtr0073861,1,1,1,0
279,FBgn0011950,tr_FBgn0011950_1,FBtr0073862,1,1,1,0
280,FBgn0011951,tr_FBgn0011951_1,FBtr0073863,1,1,1,0
281,FBgn0011952,tr_FBgn0011952_1,FBtr0073857,1,1,1,0
282,FBgn0011953,tr_FBgn0011953_1,FBtr0073871,1,1,1,0
283,FBgn0011954,tr_FBgn0011954_1,FBtr0077184,1,1,1,0
284,FBgn0011955,tr_FBgn0011955_1,FBtr0086006,1,1,1,0
285,FBgn0011956,tr_FBgn0011956_1,FBtr0085985,1,1,1,0
286,FBgn0011957,tr_FBgn0011957_1,FBtr0085980,1,1,1,0
287,FBgn0011958,tr_FBgn0011958_1,FBtr0085979,1,1,1,0
288,FBgn0011959,tr_FBgn0011959_1,FBtr0081809,1,1,1,0
289,FBgn0011960,tr_FBgn0011960_1,FBtr0081810,1,1,1,0
290,FBgn0011961,tr_FBgn0011961_1,FBtr0081811,1,1,1,0
291,FBgn0011962,tr_FBgn0011962_1,FBtr0081812,1,1,1,0
292,FBgn0011963,tr_FBgn0011963_1,FBtr0081813,1,1,1,0
293,FBgn0011965,tr_FBgn0011965_1,FBtr0078790,1,1,1,0
294,FBgn0011966,tr_FBgn0011966_1,FBtr0081923,1,1,1,0
295,FBgn0011970,tr_FBgn0011970_1,FBtr0082241,1,1,1,0
296,FBgn0011971,tr_FBgn0011971_1,FBtr0082919,1,1,1,0
297,FBgn0011974,tr_FBgn0011974_1,FBtr0073865,1,1,1,0
298,FBgn0011975,tr_FBgn0011975_1,FBtr0073858,1,1,1,0
299,FBgn0011976,tr_FBgn0011976_1,FBtr0073859,1,1,1,0
300,FBgn0011977,tr_FBgn0011977_1,FBtr0073872,1,1,1,0
301,FBgn0011980,tr_FBgn0011980_1,FBtr0073886,1,1,1,0
302,FBgn0011981,tr_FBgn0011981_1,FBtr0073866,1,1,1,0
303,FBgn0011982,tr_FBgn0011982_1,FBtr0073885,1,1,1,0
304,FBgn0011983,tr_FBgn0011983_1,FBtr0073870,1,1,1,0
305,FBgn0011984,tr_FBgn0011984_1,FBtr0077613,1,1,1,0
306,FBgn0011985,tr_FBgn0011985_1,FBtr0077577,1,1,1,0
307,FBgn0011986,tr_FBgn0011986_1,FBtr0077142,1,1,1,0
308,FBgn0011987,tr_FBgn0011987_1,FBtr0088156,1,1,1,0
309,FBgn0011993,tr_FBgn0011993_1,FBtr0083497,1,1,1,0
310,FBgn0011994,tr_FBgn0011994_1,FBtr0083496,1,1,1,0
311,FBgn0011998,tr_FBgn0011998_1,FBtr0081536,1,1,1,0
312,FBgn0011999,tr_FBgn0011999_1,FBtr0081535,1,1,1,0
313,FBgn0012000,tr_FBgn0012000_1,FBtr0081561,1,1,1,0
314,FBgn0012001,tr_FBgn0012001_1,FBtr0081558,1,1,1,0
315,FBgn0012002,tr_FBgn0012002_1,FBtr0083466,1,1,1,0
316,FBgn0012003,tr_FBgn0012003_1,FBtr0083799,1,1,1,0
317,FBgn0012004,tr_FBgn0012004_1,FBtr0083792,1,1,1,0
318,FBgn0012009,tr_FBgn0012009_1,FBtr0075856,1,1,1,0
319,FBgn0012010,tr_FBgn0012010_1,FBtr0075847,1,1,1,0
320,FBgn0012011,tr_FBgn0012011_1,FBtr0083268,1,1,1,0
321,FBgn0013275,tr_FBgn0013275_1,FBtr0082512,1,1,1,0
322,FBgn0013276,tr_FBgn0013276_1,FBtr0082482,1,1,1,0
323,FBgn0013277,tr_FBgn0013277_1,FBtr0082679,1,1,1,0
324,FBgn0013278,tr_FBgn0013278_1,FBtr0082637,1,1,1,0
325,FBgn0013279,tr_FBgn0013279_1,FBtr0082638,1,1,1,0
