gene_id,transcript_id,consolidation_transcript_id
gene:WBGene00000535,FLAIR_gene:WBGene00000535_1,tr_gene:WBGene00000535_1
gene:WBGene00000547,FLAIR_gene:WBGene00000547_1,tr_gene:WBGene00000547_1
gene:WBGene00000585,FLAIR_gene:WBGene00000585_1,tr_gene:WBGene00000585_1
gene:WBGene00000675,FLAIR_gene:WBGene00000675_1,tr_gene:WBGene00000675_1
gene:WBGene00000677,FLAIR_gene:WBGene00000677_1,tr_gene:WBGene00000677_1
gene:WBGene00000680,FLAIR_gene:WBGene00000680_1,tr_gene:WBGene00000680_1
gene:WBGene00000691,FLAIR_gene:WBGene00000691_1,tr_gene:WBGene00000691_1
gene:WBGene00000692,FLAIR_gene:WBGene00000692_1,tr_gene:WBGene00000692_1
gene:WBGene00000695,FLAIR_gene:WBGene00000695_1,tr_gene:WBGene00000695_1
gene:WBGene00000696,FLAIR_gene:WBGene00000696_1,tr_gene:WBGene00000696_1
gene:WBGene00000698,FLAIR_gene:WBGene00000698_1,tr_gene:WBGene00000698_1
gene:WBGene00000703,FLAIR_gene:WBGene00000703_1,tr_gene:WBGene00000703_1
gene:WBGene00000708,FLAIR_gene:WBGene00000708_1,tr_gene:WBGene00000708_1
gene:WBGene00000763,FLAIR_gene:WBGene00000763_1,tr_gene:WBGene00000763_1
gene:WBGene00000775,FLAIR_gene:WBGene00000775_1,tr_gene:WBGene00000775_1
gene:WBGene00000815,FLAIR_gene:WBGene00000815_1,tr_gene:WBGene00000815_1
gene:WBGene00000816,FLAIR_gene:WBGene00000816_1,tr_gene:WBGene00000816_1
gene:WBGene00000817,FLAIR_gene:WBGene00000817_1,tr_gene:WBGene00000817_1
gene:WBGene00000818,FLAIR_gene:WBGene00000818_1,tr_gene:WBGene00000818_1
gene:WBGene00000841,FLAIR_gene:WBGene00000841_1,tr_gene:WBGene00000841_1
gene:WBGene00000865,FLAIR_gene:WBGene00000865_1,tr_gene:WBGene00000865_2
gene:WBGene00000865,FLAIR_gene:WBGene00000865_2,tr_gene:WBGene00000865_1
gene:WBGene00000866,FLAIR_gene:WBGene00000866_1,tr_gene:WBGene00000866_1
gene:WBGene00000866,FLAIR_gene:WBGene00000866_2,tr_gene:WBGene00000866_2
gene:WBGene00000888,FLAIR_gene:WBGene00000888_1,tr_gene:WBGene00000888_1
gene:WBGene00000889,FLAIR_gene:WBGene00000889_1,tr_gene:WBGene00000889_1
gene:WBGene00000897,FLAIR_gene:WBGene00000897_1,tr_gene:WBGene00000897_1
gene:WBGene00000910,FLAIR_gene:WBGene00000910_1,tr_gene:WBGene00000910_1
gene:WBGene00000911,FLAIR_gene:WBGene00000911_1,tr_gene:WBGene00000911_1
gene:WBGene00000913,FLAIR_gene:WBGene00000913_1,tr_gene:WBGene00000913_1
gene:WBGene00000923,FLAIR_gene:WBGene00000923_1,tr_gene:WBGene00000923_1
gene:WBGene00000942,FLAIR_gene:WBGene00000942_1,tr_gene:WBGene00000942_1
gene:WBGene00000975,FLAIR_gene:WBGene00000975_1,tr_gene:WBGene00000975_1
gene:WBGene00000994,FLAIR_gene:WBGene00000994_1,tr_gene:WBGene00000994_1
gene:WBGene00000996,FLAIR_gene:WBGene00000996_1,tr_gene:WBGene00000996_1
gene:WBGene00001001,FLAIR_gene:WBGene00001001_1,tr_gene:WBGene00001001_1
gene:WBGene00001007,FLAIR_gene:WBGene00001007_2,tr_gene:WBGene00001007_2
gene:WBGene00001007,FLAIR_gene:WBGene00001007_1,tr_gene:WBGene00001007_1
gene:WBGene00001017,FLAIR_gene:WBGene00001017_1,tr_gene:WBGene00001017_1
gene:WBGene00001019,FLAIR_gene:WBGene00001019_1,tr_gene:WBGene00001019_1
gene:WBGene00001020,FLAIR_gene:WBGene00001020_1,tr_gene:WBGene00001020_1
gene:WBGene00001029,FLAIR_gene:WBGene00001029_1,tr_gene:WBGene00001029_1
gene:WBGene00001033,FLAIR_gene:WBGene00001033_1,tr_gene:WBGene00001033_1
gene:WBGene00001044,FLAIR_gene:WBGene00001044_1,tr_gene:WBGene00001044_1
gene:WBGene00001051,FLAIR_gene:WBGene00001051_1,tr_gene:WBGene00001051_1
gene:WBGene00001058,FLAIR_gene:WBGene00001058_2,tr_gene:WBGene00001058_2
gene:WBGene00001058,FLAIR_gene:WBGene00001058_1,tr_gene:WBGene00001058_1
gene:WBGene00001060,FLAIR_gene:WBGene00001060_1,tr_gene:WBGene00001060_1
gene:WBGene00001085,FLAIR_gene:WBGene00001085_1,tr_gene:WBGene00001085_2
gene:WBGene00001085,FLAIR_gene:WBGene00001085_2,tr_gene:WBGene00001085_1
gene:WBGene00001090,FLAIR_gene:WBGene00001090_1,tr_gene:WBGene00001090_1
gene:WBGene00001093,FLAIR_gene:WBGene00001093_1,tr_gene:WBGene00001093_1
gene:WBGene00001099,FLAIR_gene:WBGene00001099_1,tr_gene:WBGene00001099_1
gene:WBGene00001104,FLAIR_gene:WBGene00001104_1,tr_gene:WBGene00001104_1
gene:WBGene00001105,FLAIR_gene:WBGene00001105_1,tr_gene:WBGene00001105_1
gene:WBGene00001108,FLAIR_gene:WBGene00001108_1,tr_gene:WBGene00001108_1
gene:WBGene00001132,FLAIR_gene:WBGene00001132_1,tr_gene:WBGene00001132_1
gene:WBGene00001151,FLAIR_gene:WBGene00001151_2,tr_gene:WBGene00001151_2
gene:WBGene00001151,FLAIR_gene:WBGene00001151_1,tr_gene:WBGene00001151_1
gene:WBGene00001154,FLAIR_gene:WBGene00001154_1,tr_gene:WBGene00001154_1
gene:WBGene00001157,FLAIR_gene:WBGene00001157_1,tr_gene:WBGene00001157_1
gene:WBGene00001163,FLAIR_gene:WBGene00001163_1,tr_gene:WBGene00001163_1
gene:WBGene00001165,FLAIR_gene:WBGene00001165_1,tr_gene:WBGene00001165_1
gene:WBGene00001173,FLAIR_gene:WBGene00001173_2,tr_gene:WBGene00001173_2
gene:WBGene00001173,FLAIR_gene:WBGene00001173_1,tr_gene:WBGene00001173_1
gene:WBGene00001186,FLAIR_gene:WBGene00001186_1,tr_gene:WBGene00001186_1
gene:WBGene00001189,FLAIR_gene:WBGene00001189_1,tr_gene:WBGene00001189_1
gene:WBGene00001239,FLAIR_gene:WBGene00001239_1,tr_gene:WBGene00001239_1
gene:WBGene00001239,FLAIR_gene:WBGene00001239_2,tr_gene:WBGene00001239_2
gene:WBGene00001240,FLAIR_gene:WBGene00001240_1,tr_gene:WBGene00001240_1
gene:WBGene00001241,FLAIR_gene:WBGene00001241_1,tr_gene:WBGene00001241_1
gene:WBGene00001243,FLAIR_gene:WBGene00001243_1,tr_gene:WBGene00001243_1
gene:WBGene00001244,FLAIR_gene:WBGene00001244_1,tr_gene:WBGene00001244_1
gene:WBGene00001320,FLAIR_gene:WBGene00001320_1,tr_gene:WBGene00001320_1
gene:WBGene00001324,FLAIR_gene:WBGene00001324_1,tr_gene:WBGene00001324_1
gene:WBGene00001328,FLAIR_gene:WBGene00001328_1,tr_gene:WBGene00001328_1
gene:WBGene00001330,FLAIR_gene:WBGene00001330_2,tr_gene:WBGene00001330_2
gene:WBGene00001330,FLAIR_gene:WBGene00001330_1,tr_gene:WBGene00001330_1
gene:WBGene00001332,FLAIR_gene:WBGene00001332_1,tr_gene:WBGene00001332_1
gene:WBGene00001336,FLAIR_gene:WBGene00001336_1,tr_gene:WBGene00001336_1
gene:WBGene00001338,FLAIR_gene:WBGene00001338_1,tr_gene:WBGene00001338_1
gene:WBGene00001390,FLAIR_gene:WBGene00001390_1,tr_gene:WBGene00001390_1
gene:WBGene00001393,FLAIR_gene:WBGene00001393_1,tr_gene:WBGene00001393_1
gene:WBGene00001394,FLAIR_gene:WBGene00001394_1,tr_gene:WBGene00001394_1
gene:WBGene00001395,FLAIR_gene:WBGene00001395_1,tr_gene:WBGene00001395_1
gene:WBGene00001396,FLAIR_gene:WBGene00001396_1,tr_gene:WBGene00001396_1
gene:WBGene00001398,FLAIR_gene:WBGene00001398_2,tr_gene:WBGene00001398_2
gene:WBGene00001398,FLAIR_gene:WBGene00001398_1,tr_gene:WBGene00001398_1
gene:WBGene00001411,FLAIR_gene:WBGene00001411_2,tr_gene:WBGene00001411_2
gene:WBGene00001411,FLAIR_gene:WBGene00001411_1,tr_gene:WBGene00001411_1
gene:WBGene00001413,FLAIR_gene:WBGene00001413_2,tr_gene:WBGene00001413_2
gene:WBGene00001413,FLAIR_gene:WBGene00001413_1,tr_gene:WBGene00001413_1
gene:WBGene00001426,FLAIR_gene:WBGene00001426_1,tr_gene:WBGene00001426_1
gene:WBGene00001444,FLAIR_gene:WBGene00001444_1,tr_gene:WBGene00001444_1
gene:WBGene00001452,FLAIR_gene:WBGene00001452_1,tr_gene:WBGene00001452_1
gene:WBGene00001453,FLAIR_gene:WBGene00001453_1,tr_gene:WBGene00001453_1
gene:WBGene00001476,FLAIR_gene:WBGene00001476_1,tr_gene:WBGene00001476_1
gene:WBGene00001558,FLAIR_gene:WBGene00001558_2,tr_gene:WBGene00001558_2
gene:WBGene00001558,FLAIR_gene:WBGene00001558_1,tr_gene:WBGene00001558_1
gene:WBGene00001562,FLAIR_gene:WBGene00001562_1,tr_gene:WBGene00001562_1
gene:WBGene00001566,FLAIR_gene:WBGene00001566_1,tr_gene:WBGene00001566_1
gene:WBGene00001577,FLAIR_gene:WBGene00001577_1,tr_gene:WBGene00001577_1
gene:WBGene00001579,FLAIR_gene:WBGene00001579_1,tr_gene:WBGene00001579_1
gene:WBGene00001580,FLAIR_gene:WBGene00001580_1,tr_gene:WBGene00001580_1
gene:WBGene00001584,FLAIR_gene:WBGene00001584_1,tr_gene:WBGene00001584_1
gene:WBGene00001585,FLAIR_gene:WBGene00001585_1,tr_gene:WBGene00001585_1
gene:WBGene00001604,FLAIR_gene:WBGene00001604_1,tr_gene:WBGene00001604_1
gene:WBGene00001606,FLAIR_gene:WBGene00001606_1,tr_gene:WBGene00001606_1
gene:WBGene00001607,FLAIR_gene:WBGene00001607_1,tr_gene:WBGene00001607_1
gene:WBGene00001635,FLAIR_gene:WBGene00001635_1,tr_gene:WBGene00001635_1
gene:WBGene00001653,FLAIR_gene:WBGene00001653_1,tr_gene:WBGene00001653_1
gene:WBGene00001692,FLAIR_gene:WBGene00001692_1,tr_gene:WBGene00001692_1
gene:WBGene00001699,FLAIR_gene:WBGene00001699_1,tr_gene:WBGene00001699_1
gene:WBGene00001702,FLAIR_gene:WBGene00001702_1,tr_gene:WBGene00001702_1
gene:WBGene00001713,FLAIR_gene:WBGene00001713_1,tr_gene:WBGene00001713_1
gene:WBGene00001752,FLAIR_gene:WBGene00001752_1,tr_gene:WBGene00001752_1
gene:WBGene00001794,FLAIR_gene:WBGene00001794_1,tr_gene:WBGene00001794_1
gene:WBGene00001795,FLAIR_gene:WBGene00001795_1,tr_gene:WBGene00001795_1
gene:WBGene00001827,FLAIR_gene:WBGene00001827_1,tr_gene:WBGene00001827_1
gene:WBGene00001853,FLAIR_gene:WBGene00001853_1,tr_gene:WBGene00001853_1
gene:WBGene00001858,FLAIR_gene:WBGene00001858_1,tr_gene:WBGene00001858_1
gene:WBGene00001862,FLAIR_gene:WBGene00001862_1,tr_gene:WBGene00001862_1
gene:WBGene00001865,FLAIR_gene:WBGene00001865_1,tr_gene:WBGene00001865_1
gene:WBGene00001867,FLAIR_gene:WBGene00001867_1,tr_gene:WBGene00001867_1
gene:WBGene00001922,FLAIR_gene:WBGene00001922_1,tr_gene:WBGene00001922_1
gene:WBGene00001933,FLAIR_gene:WBGene00001933_1,tr_gene:WBGene00001933_1
gene:WBGene00001934,FLAIR_gene:WBGene00001934_1,tr_gene:WBGene00001934_1
gene:WBGene00001936,FLAIR_gene:WBGene00001936_1,tr_gene:WBGene00001936_1
gene:WBGene00001937,FLAIR_gene:WBGene00001937_1,tr_gene:WBGene00001937_1
gene:WBGene00001975,FLAIR_gene:WBGene00001975_1,tr_gene:WBGene00001975_1
gene:WBGene00001983,FLAIR_gene:WBGene00001983_1,tr_gene:WBGene00001983_1
gene:WBGene00001999,FLAIR_gene:WBGene00001999_1,tr_gene:WBGene00001999_1
gene:WBGene00001999,FLAIR_gene:WBGene00001999_2,tr_gene:WBGene00001999_2
gene:WBGene00002001,FLAIR_gene:WBGene00002001_1,tr_gene:WBGene00002001_1
gene:WBGene00002005,FLAIR_gene:WBGene00002005_2,tr_gene:WBGene00002005_2
gene:WBGene00002005,FLAIR_gene:WBGene00002005_1,tr_gene:WBGene00002005_1
gene:WBGene00002012,FLAIR_gene:WBGene00002012_1,tr_gene:WBGene00002012_1
gene:WBGene00002028,FLAIR_gene:WBGene00002028_1,tr_gene:WBGene00002028_1
gene:WBGene00002032,FLAIR_gene:WBGene00002032_1,tr_gene:WBGene00002032_1
gene:WBGene00002033,FLAIR_gene:WBGene00002033_1,tr_gene:WBGene00002033_1
gene:WBGene00002041,FLAIR_gene:WBGene00002041_1,tr_gene:WBGene00002041_1
gene:WBGene00002043,FLAIR_gene:WBGene00002043_1,tr_gene:WBGene00002043_2
gene:WBGene00002043,FLAIR_gene:WBGene00002043_2,tr_gene:WBGene00002043_1
gene:WBGene00002046,FLAIR_gene:WBGene00002046_1,tr_gene:WBGene00002046_2
gene:WBGene00002046,FLAIR_gene:WBGene00002046_3,tr_gene:WBGene00002046_3
gene:WBGene00002046,FLAIR_gene:WBGene00002046_2,tr_gene:WBGene00002046_1
gene:WBGene00002074,FLAIR_gene:WBGene00002074_1,tr_gene:WBGene00002074_1
gene:WBGene00002080,FLAIR_gene:WBGene00002080_2,tr_gene:WBGene00002080_2
gene:WBGene00002080,FLAIR_gene:WBGene00002080_1,tr_gene:WBGene00002080_1
gene:WBGene00002117,FLAIR_gene:WBGene00002117_1,tr_gene:WBGene00002117_1
gene:WBGene00002129,FLAIR_gene:WBGene00002129_1,tr_gene:WBGene00002129_1
gene:WBGene00002130,FLAIR_gene:WBGene00002130_1,tr_gene:WBGene00002130_1
gene:WBGene00002131,FLAIR_gene:WBGene00002131_1,tr_gene:WBGene00002131_1
gene:WBGene00002152,FLAIR_gene:WBGene00002152_1,tr_gene:WBGene00002152_1
gene:WBGene00002162,FLAIR_gene:WBGene00002162_1,tr_gene:WBGene00002162_1
gene:WBGene00002173,FLAIR_gene:WBGene00002173_1,tr_gene:WBGene00002173_1
gene:WBGene00002175,FLAIR_gene:WBGene00002175_2,tr_gene:WBGene00002175_2
gene:WBGene00002175,FLAIR_gene:WBGene00002175_1,tr_gene:WBGene00002175_1
gene:WBGene00002180,FLAIR_gene:WBGene00002180_1,tr_gene:WBGene00002180_1
gene:WBGene00002187,FLAIR_gene:WBGene00002187_1,tr_gene:WBGene00002187_1
gene:WBGene00002192,FLAIR_gene:WBGene00002192_1,tr_gene:WBGene00002192_1
gene:WBGene00002214,FLAIR_gene:WBGene00002214_1,tr_gene:WBGene00002214_1
gene:WBGene00002223,FLAIR_gene:WBGene00002223_1,tr_gene:WBGene00002223_1
gene:WBGene00002223,FLAIR_gene:WBGene00002223_2,tr_gene:WBGene00002223_2
gene:WBGene00002228,FLAIR_gene:WBGene00002228_1,tr_gene:WBGene00002228_1
gene:WBGene00002245,FLAIR_gene:WBGene00002245_2,tr_gene:WBGene00002245_2
gene:WBGene00002245,FLAIR_gene:WBGene00002245_1,tr_gene:WBGene00002245_1
gene:WBGene00002247,FLAIR_gene:WBGene00002247_1,tr_gene:WBGene00002247_1
gene:WBGene00002274,FLAIR_gene:WBGene00002274_1,tr_gene:WBGene00002274_1
gene:WBGene00002278,FLAIR_gene:WBGene00002278_1,tr_gene:WBGene00002278_1
gene:WBGene00002335,FLAIR_gene:WBGene00002335_1,tr_gene:WBGene00002335_1
gene:WBGene00002344,FLAIR_gene:WBGene00002344_1,tr_gene:WBGene00002344_1
gene:WBGene00002363,FLAIR_gene:WBGene00002363_1,tr_gene:WBGene00002363_1
gene:WBGene00002368,FLAIR_gene:WBGene00002368_1,tr_gene:WBGene00002368_1
gene:WBGene00002981,FLAIR_gene:WBGene00002981_1,tr_gene:WBGene00002981_1
gene:WBGene00002990,FLAIR_gene:WBGene00002990_1,tr_gene:WBGene00002990_1
gene:WBGene00002992,FLAIR_gene:WBGene00002992_2,tr_gene:WBGene00002992_2
gene:WBGene00002992,FLAIR_gene:WBGene00002992_1,tr_gene:WBGene00002992_1
gene:WBGene00003010,FLAIR_gene:WBGene00003010_2,tr_gene:WBGene00003010_2
gene:WBGene00003010,FLAIR_gene:WBGene00003010_1,tr_gene:WBGene00003010_1
gene:WBGene00003019,FLAIR_gene:WBGene00003019_1,tr_gene:WBGene00003019_1
gene:WBGene00003030,FLAIR_gene:WBGene00003030_1,tr_gene:WBGene00003030_1
gene:WBGene00003034,FLAIR_gene:WBGene00003034_1,tr_gene:WBGene00003034_1
gene:WBGene00003037,FLAIR_gene:WBGene00003037_3,tr_gene:WBGene00003037_3
gene:WBGene00003037,FLAIR_gene:WBGene00003037_2,tr_gene:WBGene00003037_2
gene:WBGene00003037,FLAIR_gene:WBGene00003037_1,tr_gene:WBGene00003037_1
gene:WBGene00003043,FLAIR_gene:WBGene00003043_1,tr_gene:WBGene00003043_1
gene:WBGene00003064,FLAIR_gene:WBGene00003064_1,tr_gene:WBGene00003064_1
gene:WBGene00003066,FLAIR_gene:WBGene00003066_1,tr_gene:WBGene00003066_1
gene:WBGene00003077,FLAIR_gene:WBGene00003077_1,tr_gene:WBGene00003077_1
gene:WBGene00003081,FLAIR_gene:WBGene00003081_1,tr_gene:WBGene00003081_1
gene:WBGene00003082,FLAIR_gene:WBGene00003082_1,tr_gene:WBGene00003082_1
gene:WBGene00003085,FLAIR_gene:WBGene00003085_2,tr_gene:WBGene00003085_2
gene:WBGene00003085,FLAIR_gene:WBGene00003085_1,tr_gene:WBGene00003085_1
gene:WBGene00003086,FLAIR_gene:WBGene00003086_2,tr_gene:WBGene00003086_2
gene:WBGene00003086,FLAIR_gene:WBGene00003086_1,tr_gene:WBGene00003086_1
gene:WBGene00003093,FLAIR_gene:WBGene00003093_1,tr_gene:WBGene00003093_1
gene:WBGene00003129,FLAIR_gene:WBGene00003129_1,tr_gene:WBGene00003129_1
gene:WBGene00003130,FLAIR_gene:WBGene00003130_1,tr_gene:WBGene00003130_1
gene:WBGene00003130,FLAIR_gene:WBGene00003130_2,tr_gene:WBGene00003130_2
gene:WBGene00003142,FLAIR_gene:WBGene00003142_1,tr_gene:WBGene00003142_1
gene:WBGene00003148,FLAIR_gene:WBGene00003148_1,tr_gene:WBGene00003148_1
gene:WBGene00003150,FLAIR_gene:WBGene00003150_3,tr_gene:WBGene00003150_3
gene:WBGene00003150,FLAIR_gene:WBGene00003150_2,tr_gene:WBGene00003150_2
gene:WBGene00003150,FLAIR_gene:WBGene00003150_1,tr_gene:WBGene00003150_1
gene:WBGene00003151,FLAIR_gene:WBGene00003151_1,tr_gene:WBGene00003151_1
gene:WBGene00003153,FLAIR_gene:WBGene00003153_1,tr_gene:WBGene00003153_2
gene:WBGene00003153,FLAIR_gene:WBGene00003153_2,tr_gene:WBGene00003153_1
gene:WBGene00003161,FLAIR_gene:WBGene00003161_2,tr_gene:WBGene00003161_2
gene:WBGene00003161,FLAIR_gene:WBGene00003161_1,tr_gene:WBGene00003161_1
gene:WBGene00003178,FLAIR_gene:WBGene00003178_1,tr_gene:WBGene00003178_1
gene:WBGene00003216,FLAIR_gene:WBGene00003216_1,tr_gene:WBGene00003216_1
gene:WBGene00003218,FLAIR_gene:WBGene00003218_1,tr_gene:WBGene00003218_1
gene:WBGene00003224,FLAIR_gene:WBGene00003224_1,tr_gene:WBGene00003224_1
gene:WBGene00003230,FLAIR_gene:WBGene00003230_1,tr_gene:WBGene00003230_1
gene:WBGene00003415,FLAIR_gene:WBGene00003415_1,tr_gene:WBGene00003415_1
gene:WBGene00003421,FLAIR_gene:WBGene00003421_1,tr_gene:WBGene00003421_1
gene:WBGene00003425,FLAIR_gene:WBGene00003425_1,tr_gene:WBGene00003425_1
gene:WBGene00003444,FLAIR_gene:WBGene00003444_1,tr_gene:WBGene00003444_1
gene:WBGene00003446,FLAIR_gene:WBGene00003446_1,tr_gene:WBGene00003446_1
gene:WBGene00003449,FLAIR_gene:WBGene00003449_1,tr_gene:WBGene00003449_1
gene:WBGene00003450,FLAIR_gene:WBGene00003450_1,tr_gene:WBGene00003450_1
gene:WBGene00003452,FLAIR_gene:WBGene00003452_1,tr_gene:WBGene00003452_1
gene:WBGene00003463,FLAIR_gene:WBGene00003463_1,tr_gene:WBGene00003463_1
gene:WBGene00003464,FLAIR_gene:WBGene00003464_1,tr_gene:WBGene00003464_1
gene:WBGene00003465,FLAIR_gene:WBGene00003465_1,tr_gene:WBGene00003465_1
gene:WBGene00003466,FLAIR_gene:WBGene00003466_1,tr_gene:WBGene00003466_1
gene:WBGene00003468,FLAIR_gene:WBGene00003468_1,tr_gene:WBGene00003468_1
gene:WBGene00003576,FLAIR_gene:WBGene00003576_1,tr_gene:WBGene00003576_1
gene:WBGene00003582,FLAIR_gene:WBGene00003582_1,tr_gene:WBGene00003582_1
gene:WBGene00003586,FLAIR_gene:WBGene00003586_1,tr_gene:WBGene00003586_1
gene:WBGene00003603,FLAIR_gene:WBGene00003603_1,tr_gene:WBGene00003603_1
gene:WBGene00003607,FLAIR_gene:WBGene00003607_1,tr_gene:WBGene00003607_1
gene:WBGene00003625,FLAIR_gene:WBGene00003625_1,tr_gene:WBGene00003625_1
gene:WBGene00003627,FLAIR_gene:WBGene00003627_1,tr_gene:WBGene00003627_1
gene:WBGene00003636,FLAIR_gene:WBGene00003636_1,tr_gene:WBGene00003636_1
gene:WBGene00003656,FLAIR_gene:WBGene00003656_2,tr_gene:WBGene00003656_2
gene:WBGene00003656,FLAIR_gene:WBGene00003656_1,tr_gene:WBGene00003656_1
gene:WBGene00003682,FLAIR_gene:WBGene00003682_1,tr_gene:WBGene00003682_1
gene:WBGene00003687,FLAIR_gene:WBGene00003687_1,tr_gene:WBGene00003687_1
gene:WBGene00003694,FLAIR_gene:WBGene00003694_1,tr_gene:WBGene00003694_1
gene:WBGene00003712,FLAIR_gene:WBGene00003712_1,tr_gene:WBGene00003712_1
gene:WBGene00003728,FLAIR_gene:WBGene00003728_1,tr_gene:WBGene00003728_1
gene:WBGene00003758,FLAIR_gene:WBGene00003758_1,tr_gene:WBGene00003758_1
gene:WBGene00003772,FLAIR_gene:WBGene00003772_1,tr_gene:WBGene00003772_1
gene:WBGene00003787,FLAIR_gene:WBGene00003787_1,tr_gene:WBGene00003787_2
gene:WBGene00003787,FLAIR_gene:WBGene00003787_2,tr_gene:WBGene00003787_1
gene:WBGene00003794,FLAIR_gene:WBGene00003794_1,tr_gene:WBGene00003794_1
gene:WBGene00003806,FLAIR_gene:WBGene00003806_1,tr_gene:WBGene00003806_1
gene:WBGene00003827,FLAIR_gene:WBGene00003827_2,tr_gene:WBGene00003827_2
gene:WBGene00003827,FLAIR_gene:WBGene00003827_1,tr_gene:WBGene00003827_1
gene:WBGene00003837,FLAIR_gene:WBGene00003837_1,tr_gene:WBGene00003837_1
gene:WBGene00003864,FLAIR_gene:WBGene00003864_1,tr_gene:WBGene00003864_1
gene:WBGene00003876,FLAIR_gene:WBGene00003876_1,tr_gene:WBGene00003876_1
gene:WBGene00003893,FLAIR_gene:WBGene00003893_2,tr_gene:WBGene00003893_2
gene:WBGene00003893,FLAIR_gene:WBGene00003893_1,tr_gene:WBGene00003893_1
gene:WBGene00003914,FLAIR_gene:WBGene00003914_2,tr_gene:WBGene00003914_2
gene:WBGene00003914,FLAIR_gene:WBGene00003914_1,tr_gene:WBGene00003914_1
gene:WBGene00003920,FLAIR_gene:WBGene00003920_5,tr_gene:WBGene00003920_4
gene:WBGene00003920,FLAIR_gene:WBGene00003920_6,tr_gene:WBGene00003920_5
gene:WBGene00003920,FLAIR_gene:WBGene00003920_1,tr_gene:WBGene00003920_2
gene:WBGene00003920,FLAIR_gene:WBGene00003920_2,tr_gene:WBGene00003920_2
gene:WBGene00003920,FLAIR_gene:WBGene00003920_3,tr_gene:WBGene00003920_3
gene:WBGene00003920,FLAIR_gene:WBGene00003920_4,tr_gene:WBGene00003920_1
gene:WBGene00003932,FLAIR_gene:WBGene00003932_1,tr_gene:WBGene00003932_1
