gene_id,transcript_id,ujc_id,junction_string
FBgn0000015,FBtr0415464,FBtr0083383,3R:16929580:16929638:-|3R:16929852:16931116:-|3R:16931317:16931402:-|3R:16931613:16935927:-|3R:16936104:16943253:-|3R:16943299:16943782:-
FBgn0000015,FBtr0083384,FBtr0083384,3R:16929580:16929638:-|3R:16929852:16931116:-|3R:16931317:16931402:-|3R:16931613:16932371:-
FBgn0000015,FBtr0415463,FBtr0083384,3R:16929580:16929638:-|3R:16929852:16931116:-|3R:16931317:16931402:-|3R:16931613:16932371:-
FBgn0000015,FBtr0083385,FBtr0083385,3R:16929580:16929638:-|3R:16929852:16931116:-|3R:16931317:16931402:-|3R:16931613:16935927:-|3R:16936104:16943253:-|3R:16943299:16971759:-
FBgn0000015,FBtr0083381,FBtr0083381,3R:16929580:16929638:-|3R:16929852:16931116:-|3R:16931317:16931402:-|3R:16931613:16935927:-|3R:16936104:16943253:-|3R:16943299:16963159:-
FBgn0000015,FBtr0415465,FBtr0083381,3R:16929580:16929638:-|3R:16929852:16931116:-|3R:16931317:16931402:-|3R:16931613:16935927:-|3R:16936104:16943253:-|3R:16943299:16963159:-
FBgn0000015,FBtr0083382,FBtr0083382,3R:16929580:16929638:-|3R:16929852:16931116:-|3R:16931317:16931402:-|3R:16931613:16935927:-|3R:16936104:16943253:-|3R:16943299:16959972:-
FBgn0000017,FBtr0075357,FBtr0075357,3L:16625274:16626528:-|3L:16626616:16626743:-|3L:16626863:16626922:-|3L:16627192:16627502:-|3L:16628088:16628174:-|3L:16628589:16628663:-|3L:16629206:16646810:-
FBgn0000017,FBtr0345369,FBtr0075357,3L:16625274:16626528:-|3L:16626616:16626743:-|3L:16626863:16626922:-|3L:16627192:16627502:-|3L:16628088:16628174:-|3L:16628589:16628663:-|3L:16629206:16646810:-
FBgn0000017,FBtr0112790,FBtr0112790,3L:16625274:16626528:-|3L:16626616:16626743:-|3L:16626863:16626922:-|3L:16627192:16627502:-|3L:16628088:16628174:-|3L:16628589:16628663:-|3L:16629206:16631377:-|3L:16631430:16646810:-
FBgn0000017,FBtr0330136,FBtr0112790,3L:16625274:16626528:-|3L:16626616:16626743:-|3L:16626863:16626922:-|3L:16627192:16627502:-|3L:16628088:16628174:-|3L:16628589:16628663:-|3L:16629206:16631377:-|3L:16631430:16646810:-
FBgn0000017,FBtr0330130,FBtr0330130,3L:16625274:16626273:-|3L:16626616:16626743:-|3L:16626863:16626922:-|3L:16627192:16627502:-|3L:16628088:16628174:-|3L:16628589:16628663:-|3L:16629206:16646810:-
FBgn0000017,FBtr0330131,FBtr0330131,3L:16623288:16623637:-|3L:16625274:16626273:-|3L:16626616:16626743:-|3L:16626863:16626922:-|3L:16627192:16627502:-|3L:16628088:16628174:-|3L:16628589:16628663:-|3L:16629206:16631377:-|3L:16631430:16646810:-
FBgn0000017,FBtr0330132,FBtr0330132,3L:16623288:16623637:-|3L:16625274:16626273:-|3L:16626616:16626743:-|3L:16626863:16626922:-|3L:16627192:16627502:-|3L:16628088:16628174:-|3L:16628589:16628663:-|3L:16629206:16646810:-
FBgn0000017,FBtr0330133,FBtr0330133,3L:16625274:16626273:-|3L:16626616:16626743:-|3L:16626863:16626922:-|3L:16627192:16627502:-|3L:16628088:16628174:-|3L:16628589:16628663:-|3L:16629206:16631377:-|3L:16631430:16646810:-
FBgn0000017,FBtr0330134,FBtr0330134,3L:16623288:16623637:-|3L:16625274:16626528:-|3L:16626616:16626743:-|3L:16626863:16626922:-|3L:16627192:16627502:-|3L:16628088:16628174:-|3L:16628589:16628663:-|3L:16629206:16631377:-|3L:16631430:16646810:-
FBgn0000017,FBtr0330135,FBtr0330135,3L:16623288:16623637:-|3L:16625274:16626528:-|3L:16626616:16626743:-|3L:16626863:16626922:-|3L:16627192:16627502:-|3L:16628088:16628174:-|3L:16628589:16628663:-|3L:16629206:16646810:-
FBgn0000018,FBtr0080168,FBtr0080168,2L:10974210:10974268:-
FBgn0000022,FBtr0070072,FBtr0070072,monoexon_370031_370947
FBgn0000024,FBtr0335223,FBtr0335223,3R:13223378:13232679:-|3R:13232842:13232961:-|3R:13233124:13237129:-|3R:13237278:13238057:-|3R:13238199:13243219:-|3R:13243426:13243586:-|3R:13244131:13244261:-|3R:13244399:13245810:-|3R:13246654:13258303:-
FBgn0000024,FBtr0082780,FBtr0082780,3R:13229770:13232679:-|3R:13232842:13232961:-|3R:13233124:13237129:-|3R:13237278:13238057:-|3R:13238199:13243219:-|3R:13243426:13243586:-|3R:13244131:13244261:-|3R:13244399:13245810:-|3R:13246654:13258303:-
FBgn0000024,FBtr0300486,FBtr0300486,3R:13229770:13232679:-|3R:13232842:13232961:-|3R:13233124:13237129:-|3R:13237278:13238057:-|3R:13238199:13243219:-|3R:13243426:13243586:-|3R:13244131:13244261:-|3R:13244399:13245810:-|3R:13246654:13258303:-|3R:13258425:13259453:-
FBgn0000028,FBtr0305191,FBtr0305191,X:15351958:15352334:-|X:15353167:15353225:-|X:15353388:15354227:-|X:15354458:15354536:-|X:15354676:15354755:-|X:15354953:15371512:-|X:15371688:15378189:-
FBgn0000028,FBtr0100328,FBtr0100328,X:15351958:15352334:-|X:15353167:15353225:-|X:15353382:15354227:-|X:15354458:15354536:-|X:15354676:15354755:-|X:15354953:15371512:-|X:15371688:15372152:-|X:15372208:15377561:-|X:15377593:15378189:-
FBgn0000028,FBtr0074015,FBtr0074015,X:15353167:15353225:-|X:15353388:15354227:-|X:15354458:15354536:-|X:15354676:15354755:-|X:15354953:15371512:-|X:15371688:15372152:-|X:15372208:15377561:-|X:15377593:15378189:-
FBgn0000028,FBtr0100326,FBtr0100326,X:15353167:15353225:-|X:15353382:15354227:-|X:15354458:15354536:-|X:15354676:15354755:-|X:15354932:15371512:-|X:15371688:15377561:-|X:15377593:15378189:-
FBgn0000028,FBtr0290063,FBtr0290063,X:15353167:15353225:-|X:15353382:15354227:-|X:15354458:15354536:-|X:15354676:15354755:-|X:15354953:15371512:-|X:15371688:15377561:-|X:15377593:15378189:-
FBgn0000028,FBtr0290064,FBtr0290064,X:15353167:15353225:-|X:15353382:15354227:-|X:15354458:15354536:-|X:15354676:15354755:-|X:15354953:15371512:-|X:15371688:15378189:-
FBgn0000028,FBtr0305189,FBtr0305189,X:15353167:15353225:-|X:15353382:15354227:-|X:15354458:15354536:-|X:15354676:15354755:-|X:15354932:15371512:-|X:15371688:15372152:-|X:15372208:15377561:-|X:15377593:15378189:-
FBgn0000028,FBtr0305190,FBtr0305190,X:15353167:15353225:-|X:15353382:15354227:-|X:15354458:15354536:-|X:15354676:15354755:-|X:15354932:15371512:-|X:15371688:15378189:-
FBgn0000028,FBtr0305192,FBtr0305192,X:15353167:15353225:-|X:15353388:15354227:-|X:15354458:15354536:-|X:15354676:15354755:-|X:15354932:15371512:-|X:15371688:15378189:-
FBgn0000028,FBtr0305193,FBtr0305193,X:15353167:15353225:-|X:15353388:15354227:-|X:15354458:15354536:-|X:15354676:15354755:-|X:15354932:15371512:-|X:15371688:15377561:-|X:15377593:15378189:-
FBgn0000028,FBtr0305194,FBtr0305194,X:15353167:15353225:-|X:15353382:15354227:-|X:15354458:15354536:-|X:15354676:15354755:-|X:15354932:15371512:-|X:15371688:15372152:-|X:15372208:15378189:-
FBgn0000028,FBtr0305195,FBtr0305195,X:15353167:15353225:-|X:15353382:15354227:-|X:15354458:15354536:-|X:15354676:15354755:-|X:15354953:15371512:-|X:15371688:15372152:-|X:15372208:15378189:-
FBgn0000028,FBtr0305196,FBtr0305196,X:15353167:15353225:-|X:15353388:15354227:-|X:15354458:15354536:-|X:15354676:15354755:-|X:15354932:15371512:-|X:15371688:15372152:-|X:15372208:15378189:-
FBgn0000032,FBtr0085609,FBtr0085609,3R:29991693:29991754:-|3R:29992012:29992083:-|3R:29992772:29992829:-|3R:29992927:29992986:-|3R:29993181:29993262:-
FBgn0000032,FBtr0085610,FBtr0085610,3R:29991693:29991754:-|3R:29992012:29992083:-|3R:29992772:29992829:-|3R:29992927:29992986:-
FBgn0000036,FBtr0084619,FBtr0084619,3R:24401945:24403215:-|3R:24403510:24404682:-|3R:24404893:24404969:-|3R:24405429:24407318:-|3R:24407498:24412508:-|3R:24412617:24414847:-|3R:24414891:24421695:-|3R:24421904:24451895:-|3R:24452633:24456435:-
FBgn0000036,FBtr0330310,FBtr0084619,3R:24401945:24403215:-|3R:24403510:24404682:-|3R:24404893:24404969:-|3R:24405429:24407318:-|3R:24407498:24412508:-|3R:24412617:24414847:-|3R:24414891:24421695:-|3R:24421904:24451895:-|3R:24452633:24456435:-
FBgn0000036,FBtr0334916,FBtr0084619,3R:24401945:24403215:-|3R:24403510:24404682:-|3R:24404893:24404969:-|3R:24405429:24407318:-|3R:24407498:24412508:-|3R:24412617:24414847:-|3R:24414891:24421695:-|3R:24421904:24451895:-|3R:24452633:24456435:-
FBgn0000037,FBtr0072367,FBtr0072367,2R:24381856:24383241:-|2R:24383377:24383436:-|2R:24383619:24383924:-|2R:24385048:24389598:-
FBgn0000037,FBtr0072368,FBtr0072368,2R:24381856:24383190:-|2R:24383377:24383436:-|2R:24383619:24383924:-|2R:24385048:24389594:-
FBgn0000038,FBtr0073299,FBtr0073299,3L:4429502:4429566:+|3L:4429715:4432386:+|3L:4432522:4433305:+|3L:4433459:4433615:+|3L:4434059:4434490:+|3L:4435089:4435175:+
FBgn0000038,FBtr0073300,FBtr0073300,3L:4429502:4429566:+
FBgn0000039,FBtr0084639,FBtr0084639,3R:24486200:24487131:+|3R:24487285:24487423:+|3R:24487603:24488452:+|3R:24488611:24488781:+|3R:24489366:24489599:+|3R:24489800:24490818:+
FBgn0000039,FBtr0084640,FBtr0084640,3R:24485839:24485908:+|3R:24486200:24487131:+|3R:24487285:24487423:+|3R:24487603:24488452:+|3R:24488611:24488781:+|3R:24489366:24489599:+|3R:24489800:24490818:+
FBgn0000052,FBtr0079219,FBtr0079219,2L:6042011:6042075:-|2L:6044351:6044428:-|2L:6045526:6045894:-
FBgn0000052,FBtr0079220,FBtr0079220,2L:6042011:6042075:-|2L:6044351:6044428:-|2L:6045526:6045921:-
FBgn0000052,FBtr0079221,FBtr0079221,2L:6042011:6042075:-|2L:6044351:6044428:-
FBgn0000053,FBtr0079431,FBtr0079431,2L:7016374:7016437:-|2L:7017486:7017545:-|2L:7017966:7018149:-|2L:7018374:7018431:-|2L:7019080:7019135:-|2L:7019382:7023529:-
FBgn0000053,FBtr0339663,FBtr0079431,2L:7016374:7016437:-|2L:7017486:7017545:-|2L:7017966:7018149:-|2L:7018374:7018431:-|2L:7019080:7019135:-|2L:7019382:7023529:-
FBgn0000053,FBtr0100353,FBtr0100353,2L:7018374:7018431:-|2L:7019080:7019135:-|2L:7019382:7023529:-
FBgn0000055,FBtr0006151,FBtr0006151,2L:14615643:14616303:+|2L:14616437:14616503:+|2L:14616907:14616978:+|2L:14617643:14618070:+|2L:14618474:14618526:+
FBgn0000055,FBtr0100591,FBtr0006151,2L:14615643:14616303:+|2L:14616437:14616503:+|2L:14616907:14616978:+|2L:14617643:14618070:+|2L:14618474:14618526:+
FBgn0000055,FBtr0100589,FBtr0100589,2L:14615643:14616303:+|2L:14616437:14616503:+|2L:14616907:14616978:+
FBgn0000055,FBtr0100594,FBtr0100594,2L:14615643:14616129:+|2L:14616437:14616503:+|2L:14616907:14616978:+
FBgn0000055,FBtr0100187,FBtr0100187,2L:14616437:14616503:+|2L:14616907:14616978:+|2L:14617643:14618070:+|2L:14618474:14618526:+
FBgn0000055,FBtr0100593,FBtr0100187,2L:14616437:14616503:+|2L:14616907:14616978:+|2L:14617643:14618070:+|2L:14618474:14618526:+
FBgn0000055,FBtr0100590,FBtr0100590,2L:14616437:14616503:+|2L:14616907:14616978:+
FBgn0000056,FBtr0343699,FBtr0343699,2L:14617643:14618070:+|2L:14618474:14618526:+
FBgn0000057,FBtr0086744,FBtr0086744,2R:18152641:18152708:+
FBgn0000057,FBtr0340288,FBtr0086744,2R:18152641:18152708:+
FBgn0000061,FBtr0078053,FBtr0078053,2L:378481:384511:+|2L:384894:385701:+|2L:385746:386308:+|2L:386576:386703:+
FBgn0000063,FBtr0083478,FBtr0083478,3R:17671567:17671850:+|3R:17672857:17672921:+|3R:17673476:17673577:+
FBgn0000063,FBtr0331348,FBtr0331348,3R:17671567:17671850:+|3R:17672857:17672921:+|3R:17673476:17673549:+
FBgn0000064,FBtr0084994,FBtr0084994,3R:26255431:26256933:-|3R:26257132:26257225:-|3R:26258041:26261336:-
FBgn0000064,FBtr0339614,FBtr0084994,3R:26255431:26256933:-|3R:26257132:26257225:-|3R:26258041:26261336:-
FBgn0000064,FBtr0084995,FBtr0084995,3R:26255431:26256933:-|3R:26257132:26257225:-|3R:26258041:26259802:-
FBgn0000064,FBtr0084999,FBtr0084999,3R:26255431:26256933:-|3R:26257132:26257225:-
FBgn0000064,FBtr0310660,FBtr0310660,3R:26255431:26256933:-|3R:26257132:26257225:-|3R:26258041:26258987:-
FBgn0000064,FBtr0085000,FBtr0085000,3R:26256307:26256474:-|3R:26256623:26256933:-|3R:26257132:26257225:-
FBgn0000064,FBtr0085001,FBtr0085001,3R:26256307:26256933:-|3R:26257132:26257225:-|3R:26258041:26261154:-
FBgn0000064,FBtr0114544,FBtr0114544,3R:26256307:26256474:-|3R:26256623:26256933:-|3R:26257132:26257225:-|3R:26258041:26258987:-
FBgn0000064,FBtr0306657,FBtr0306657,3R:26256307:26256933:-|3R:26257132:26257225:-|3R:26258041:26261158:-
FBgn0000064,FBtr0310661,FBtr0310661,3R:26256307:26256933:-|3R:26257132:26257225:-|3R:26258041:26261336:-
FBgn0001313,FBtr0346722,FBtr0346722,Y:573754:596989:+|Y:598838:637850:+|Y:638531:638586:+|Y:638970:651215:+|Y:651658:654406:+|Y:655994:656118:+|Y:657708:657765:+|Y:661846:661909:+|Y:662013:662067:+|Y:663009:663069:+|Y:663562:663620:+
FBgn0003944,FBtr0083347,FBtr0083347,3R:16659073:16710562:-|3R:16710612:16725256:-|3R:16725306:16732698:-
FBgn0003944,FBtr0083349,FBtr0083349,3R:16659073:16710562:-|3R:16710612:16732698:-
FBgn0003944,FBtr0083352,FBtr0083352,3R:16659073:16732698:-
FBgn0003944,FBtr0083348,FBtr0083348,3R:16659073:16732725:-
FBgn0003944,FBtr0083351,FBtr0083351,3R:16659073:16710562:-|3R:16710612:16725256:-|3R:16725306:16732725:-
FBgn0003944,FBtr0083350,FBtr0083350,3R:16659073:16710562:-|3R:16710612:16732725:-
FBgn0013277,FBtr0082679,FBtr0082679,monoexon_12465453_12467776
