ujc_id,num_xscripts,junction_string
tr3L_16622370_16647882_27981,1,3L:16623288:16623637:-|3L:16625274:16626273:-|3L:16626616:16626743:-|3L:16626863:16626922:-|3L:16627192:16627502:-|3L:16628088:16628174:-|3L:16628589:16628663:-|3L:16629206:16631377:-|3L:16631430:16646810:-
tr3L_16622370_16647882_27982,1,3L:16623288:16623637:-|3L:16625274:16626273:-|3L:16626616:16626743:-|3L:16626863:16626922:-|3L:16627192:16627502:-|3L:16628088:16628174:-|3L:16628589:16628663:-|3L:16629206:16646810:-
tr3L_16622370_16647882_27983,1,3L:16625274:16626273:-|3L:16626616:16626743:-|3L:16626863:16626922:-|3L:16627192:16627502:-|3L:16628088:16628174:-|3L:16628589:16628663:-|3L:16629206:16631377:-|3L:16631430:16646810:-
tr3L_16622370_16647882_27984,1,3L:16623288:16623637:-|3L:16625274:16626528:-|3L:16626616:16626743:-|3L:16626863:16626922:-|3L:16627192:16627502:-|3L:16628088:16628174:-|3L:16628589:16628663:-|3L:16629206:16631377:-|3L:16631430:16646810:-
tr3L_16622370_16647882_27985,1,3L:16623288:16623637:-|3L:16625274:16626528:-|3L:16626616:16626743:-|3L:16626863:16626922:-|3L:16627192:16627502:-|3L:16628088:16628174:-|3L:16628589:16628663:-|3L:16629206:16646810:-
tr3L_16615866_16647882_28675,2,3L:16625274:16626528:-|3L:16626616:16626743:-|3L:16626863:16626922:-|3L:16627192:16627502:-|3L:16628088:16628174:-|3L:16628589:16628663:-|3L:16629206:16646810:-
tr3L_16615866_16647882_28676,2,3L:16625274:16626528:-|3L:16626616:16626743:-|3L:16626863:16626922:-|3L:16627192:16627502:-|3L:16628088:16628174:-|3L:16628589:16628663:-|3L:16629206:16631377:-|3L:16631430:16646810:-
tr2L_10973443_10975293_11148,1,2L:10974210:10974268:-
trX_370031_370947_5418,1,monoexon_370031_370947
tr3R_13228242_13259517_28615,1,3R:13229770:13232679:-|3R:13232842:13232961:-|3R:13233124:13237129:-|3R:13237278:13238057:-|3R:13238199:13243219:-|3R:13243426:13243586:-|3R:13244131:13244261:-|3R:13244399:13245810:-|3R:13246654:13258303:-|3R:13258425:13259453:-
tr3R_13224625_13258777_28844,1,3R:13229770:13232679:-|3R:13232842:13232961:-|3R:13233124:13237129:-|3R:13237278:13238057:-|3R:13238199:13243219:-|3R:13243426:13243586:-|3R:13244131:13244261:-|3R:13244399:13245810:-|3R:13246654:13258303:-
tr3R_13222951_13258777_28969,1,3R:13223378:13232679:-|3R:13232842:13232961:-|3R:13233124:13237129:-|3R:13237278:13238057:-|3R:13238199:13243219:-|3R:13243426:13243586:-|3R:13244131:13244261:-|3R:13244399:13245810:-|3R:13246654:13258303:-
trX_15352357_15379064_28133,1,X:15353167:15353225:-|X:15353388:15354227:-|X:15354458:15354536:-|X:15354676:15354755:-|X:15354953:15371512:-|X:15371688:15372152:-|X:15372208:15377561:-|X:15377593:15378189:-
trX_15352357_15379064_28134,1,X:15353167:15353225:-|X:15353382:15354227:-|X:15354458:15354536:-|X:15354676:15354755:-|X:15354932:15371512:-|X:15371688:15377561:-|X:15377593:15378189:-
trX_15352357_15379064_28135,1,X:15353167:15353225:-|X:15353382:15354227:-|X:15354458:15354536:-|X:15354676:15354755:-|X:15354953:15371512:-|X:15371688:15377561:-|X:15377593:15378189:-
trX_15352357_15379064_28136,1,X:15353167:15353225:-|X:15353382:15354227:-|X:15354458:15354536:-|X:15354676:15354755:-|X:15354953:15371512:-|X:15371688:15378189:-
trX_15352357_15379064_28137,1,X:15353167:15353225:-|X:15353382:15354227:-|X:15354458:15354536:-|X:15354676:15354755:-|X:15354932:15371512:-|X:15371688:15372152:-|X:15372208:15377561:-|X:15377593:15378189:-
trX_15352357_15379064_28138,1,X:15353167:15353225:-|X:15353382:15354227:-|X:15354458:15354536:-|X:15354676:15354755:-|X:15354932:15371512:-|X:15371688:15378189:-
trX_15352357_15379064_28139,1,X:15353167:15353225:-|X:15353388:15354227:-|X:15354458:15354536:-|X:15354676:15354755:-|X:15354932:15371512:-|X:15371688:15378189:-
trX_15352357_15379064_28140,1,X:15353167:15353225:-|X:15353388:15354227:-|X:15354458:15354536:-|X:15354676:15354755:-|X:15354932:15371512:-|X:15371688:15377561:-|X:15377593:15378189:-
trX_15352357_15379064_28141,1,X:15353167:15353225:-|X:15353382:15354227:-|X:15354458:15354536:-|X:15354676:15354755:-|X:15354932:15371512:-|X:15371688:15372152:-|X:15372208:15378189:-
trX_15352357_15379064_28142,1,X:15353167:15353225:-|X:15353382:15354227:-|X:15354458:15354536:-|X:15354676:15354755:-|X:15354953:15371512:-|X:15371688:15372152:-|X:15372208:15378189:-
trX_15352357_15379064_28143,1,X:15353167:15353225:-|X:15353388:15354227:-|X:15354458:15354536:-|X:15354676:15354755:-|X:15354932:15371512:-|X:15371688:15372152:-|X:15372208:15378189:-
trX_15351148_15379064_28288,1,X:15351958:15352334:-|X:15353167:15353225:-|X:15353382:15354227:-|X:15354458:15354536:-|X:15354676:15354755:-|X:15354953:15371512:-|X:15371688:15372152:-|X:15372208:15377561:-|X:15377593:15378189:-
trX_15350239_15379064_28401,1,X:15351958:15352334:-|X:15353167:15353225:-|X:15353388:15354227:-|X:15354458:15354536:-|X:15354676:15354755:-|X:15354953:15371512:-|X:15371688:15378189:-
tr3R_29991144_29993276_12498,1,3R:29991693:29991754:-|3R:29992012:29992083:-|3R:29992772:29992829:-|3R:29992927:29992986:-
tr3R_29991144_29993411_13065,1,3R:29991693:29991754:-|3R:29992012:29992083:-|3R:29992772:29992829:-|3R:29992927:29992986:-|3R:29993181:29993262:-
tr3R_24393896_24457157_30296,3,3R:24401945:24403215:-|3R:24403510:24404682:-|3R:24404893:24404969:-|3R:24405429:24407318:-|3R:24407498:24412508:-|3R:24412617:24414847:-|3R:24414891:24421695:-|3R:24421904:24451895:-|3R:24452633:24456435:-
tr2R_24378630_24390294_24765,1,2R:24381856:24383241:-|2R:24383377:24383436:-|2R:24383619:24383924:-|2R:24385048:24389598:-
tr2R_24378630_24390294_24766,1,2R:24381856:24383190:-|2R:24383377:24383436:-|2R:24383619:24383924:-|2R:24385048:24389594:-
tr3L_4429349_4430229_5149,1,3L:4429502:4429566:+
tr3L_4429349_4435993_21579,1,3L:4429502:4429566:+|3L:4429715:4432386:+|3L:4432522:4433305:+|3L:4433459:4433615:+|3L:4434059:4434490:+|3L:4435089:4435175:+
tr3R_24485428_24491147_20548,1,3R:24486200:24487131:+|3R:24487285:24487423:+|3R:24487603:24488452:+|3R:24488611:24488781:+|3R:24489366:24489599:+|3R:24489800:24490818:+
tr3R_24485428_24491147_20549,1,3R:24485839:24485908:+|3R:24486200:24487131:+|3R:24487285:24487423:+|3R:24487603:24488452:+|3R:24488611:24488781:+|3R:24489366:24489599:+|3R:24489800:24490818:+
trX_5901982_5905227_16234,1,X:5902096:5902690:+
trX_5900861_5905399_18840,4,X:5901013:5902690:+
tr2R_6013910_6015689_10807,1,2R:6015422:6015577:-
tr2R_20944021_20946431_13678,1,2R:20944156:20944844:+
tr3L_21985210_21987190_11847,1,3L:21985248:21985325:+|3L:21986275:21986638:+
tr3L_21985210_21987190_11848,1,3L:21986275:21986638:+
tr3R_13426447_13428089_9999,1,monoexon_13426447_13428089
tr3R_13425983_13428375_13625,2,3R:13426042:13426583:+
tr3R_15439969_15442177_12831,1,3R:15440046:15440600:+|3R:15441540:15441602:+
tr2L_6041181_6045596_18637,1,2L:6042011:6042075:-|2L:6044351:6044428:-
tr2L_6041181_6045967_19266,1,2L:6042011:6042075:-|2L:6044351:6044428:-|2L:6045526:6045894:-
tr2L_6041181_6046050_19392,1,2L:6042011:6042075:-|2L:6044351:6044428:-|2L:6045526:6045921:-
tr2L_7018087_7023898_20663,1,2L:7018374:7018431:-|2L:7019080:7019135:-|2L:7019382:7023529:-
tr2L_7014623_7023898_23601,2,2L:7016374:7016437:-|2L:7017486:7017545:-|2L:7017966:7018149:-|2L:7018374:7018431:-|2L:7019080:7019135:-|2L:7019382:7023529:-
tr2L_14616267_14617402_6878,1,2L:14616437:14616503:+|2L:14616907:14616978:+
tr2L_14615552_14617402_11149,1,2L:14615643:14616303:+|2L:14616437:14616503:+|2L:14616907:14616978:+
tr2L_14615552_14617402_11150,1,2L:14615643:14616129:+|2L:14616437:14616503:+|2L:14616907:14616978:+
tr2L_14616267_14618902_14454,1,2L:14616437:14616503:+|2L:14616907:14616978:+|2L:14617643:14618070:+|2L:14618474:14618526:+
tr2L_14615552_14618902_16489,1,2L:14615643:14616303:+|2L:14616437:14616503:+|2L:14616907:14616978:+|2L:14617643:14618070:+|2L:14618474:14618526:+
tr2L_14617511_14618902_8562,1,2L:14617643:14618070:+|2L:14618474:14618526:+
tr2L_14616267_14618902_14455,1,2L:14616437:14616503:+|2L:14616907:14616978:+|2L:14617643:14618070:+|2L:14618474:14618526:+
tr2L_14615552_14618902_16490,1,2L:14615643:14616303:+|2L:14616437:14616503:+|2L:14616907:14616978:+|2L:14617643:14618070:+|2L:14618474:14618526:+
tr2R_18151704_18154060_13467,2,2R:18152641:18152708:+
tr2L_378112_387439_23615,1,2L:378481:384511:+|2L:384894:385701:+|2L:385746:386308:+|2L:386576:386703:+
tr3R_17671271_17673828_14209,1,3R:17671567:17671850:+|3R:17672857:17672921:+|3R:17673476:17673577:+
tr3R_17671271_17673828_14210,1,3R:17671567:17671850:+|3R:17672857:17672921:+|3R:17673476:17673549:+
tr3R_26255966_26258279_13270,1,3R:26256307:26256474:-|3R:26256623:26256933:-|3R:26257132:26257225:-
tr3R_26255204_26258279_15789,1,3R:26255431:26256933:-|3R:26257132:26257225:-
tr3R_26255966_26259213_16238,1,3R:26256307:26256474:-|3R:26256623:26256933:-|3R:26257132:26257225:-|3R:26258041:26258987:-
tr3R_26255204_26259213_17890,1,3R:26255431:26256933:-|3R:26257132:26257225:-|3R:26258041:26258987:-
tr3R_26255204_26259835_18987,1,3R:26255431:26256933:-|3R:26257132:26257225:-|3R:26258041:26259802:-
tr3R_26255966_26261412_20192,1,3R:26256307:26256933:-|3R:26257132:26257225:-|3R:26258041:26261154:-
tr3R_26255966_26261412_20193,1,3R:26256307:26256933:-|3R:26257132:26257225:-|3R:26258041:26261158:-
tr3R_26255966_26261591_20440,1,3R:26256307:26256933:-|3R:26257132:26257225:-|3R:26258041:26261336:-
tr3R_26254069_26261591_22395,2,3R:26255431:26256933:-|3R:26257132:26257225:-|3R:26258041:26261336:-
tr3R_6763404_6765261_11186,1,3R:6763516:6763833:+
tr3R_6763404_6765261_11187,1,3R:6763500:6763833:+
tr3R_6762593_6765261_14565,1,3R:6762996:6763833:+
tr2L_19111841_19114110_13074,1,2L:19112315:19112794:+
tr2L_19110154_19114110_17817,1,2L:19110350:19110412:+|2L:19110646:19112794:+
trX_9245915_9247336_8736,2,monoexon_9245915_9247336
tr2R_17124764_17126369_9816,1,monoexon_17124764_17126369
tr2R_17118636_17120303_10137,2,monoexon_17118636_17120303
tr3R_21065883_21069754_17661,1,3R:21065951:21067446:+|3R:21067499:21068069:+|3R:21068777:21068838:+|3R:21069019:21069313:+
tr3R_21065241_21069754_18789,1,3R:21065285:21067446:+|3R:21067499:21068069:+|3R:21068777:21068838:+|3R:21069019:21069313:+
tr3R_21065241_21069754_18790,1,3R:21065310:21067446:+|3R:21067499:21068069:+|3R:21068777:21068838:+|3R:21069019:21069313:+
tr3R_21065241_21070539_19979,1,3R:21065285:21067446:+|3R:21067499:21068069:+|3R:21068777:21068838:+|3R:21069019:21070278:+
tr3R_21065241_21070917_20485,1,3R:21065285:21067446:+|3R:21067499:21068069:+|3R:21068777:21068838:+|3R:21069019:21070724:+
tr3R_21065241_21070917_20486,1,3R:21065401:21067446:+|3R:21067499:21068069:+|3R:21068777:21068838:+|3R:21069019:21070724:+
trX_20171445_20173514_12245,1,X:20171648:20172041:-|X:20172222:20172305:-|X:20173016:20173369:-
trX_20171445_20173514_12246,1,X:20171648:20171929:-|X:20171931:20172041:-|X:20172222:20172305:-|X:20173016:20173369:-
trX_2692732_2693886_6997,1,X:2693097:2693156:-|X:2693648:2693733:-
tr3R_30209948_30210382_1681,2,3R:30210080:30210143:+
tr2L_2156792_2161527_19168,1,2L:2158405:2158468:-|2L:2159245:2159312:-|2L:2160582:2161010:-
tr2L_2156484_2161527_19638,1,2L:2158405:2158468:-|2L:2159245:2159312:-|2L:2160582:2161233:-
tr2L_2156484_2178754_27550,2,2L:2158405:2158468:-|2L:2159245:2159312:-|2L:2160582:2177847:-
tr2L_2156484_2178754_27551,1,2L:2158405:2158468:-|2L:2159245:2159312:-|2L:2160582:2171142:-|2L:2171198:2177847:-
tr3L_22076092_22077487_8591,1,3L:22076136:22076248:+|3L:22076341:22076416:+
tr3L_22075867_22077487_9882,1,3L:22075926:22076035:+|3L:22076136:22076248:+|3L:22076341:22076416:+
trX_530501_578130_29705,1,X:530534:531627:+|X:531876:560606:+|X:560776:570862:+|X:571000:571134:+|X:571352:571427:+|X:572070:572149:+|X:572289:573853:+|X:574002:574196:+|X:574878:574942:+|X:575089:575168:+|X:575350:575471:+
trX_530501_578130_29706,1,X:530534:531627:+|X:531876:570862:+|X:571000:571134:+|X:571352:571427:+|X:572070:572149:+|X:572289:573853:+|X:574002:574196:+|X:574878:574942:+|X:575089:575168:+|X:575350:575471:+
trX_530501_578130_29707,1,X:530534:531627:+|X:531876:560606:+|X:560776:570862:+|X:571000:571131:+|X:571352:571427:+|X:572070:572137:+|X:572289:573865:+|X:574002:574196:+|X:574878:574942:+|X:575089:575168:+|X:575350:575471:+
trX_530501_578130_29708,1,X:530534:531627:+|X:531876:560606:+|X:560776:570862:+|X:571000:571131:+|X:571352:571427:+|X:572058:572137:+|X:572289:573853:+|X:574002:574196:+|X:574878:574942:+|X:575089:575168:+|X:575350:575471:+
trX_531170_579044_29724,1,X:531189:531627:+|X:531876:560606:+|X:560776:570862:+|X:571000:571134:+|X:571352:571427:+|X:572070:572149:+|X:572289:573853:+|X:574002:574196:+|X:574878:574945:+|X:575089:575168:+|X:575362:575471:+
trX_530501_579044_29759,1,X:530534:531627:+|X:531876:560606:+|X:560776:570862:+|X:571000:571134:+|X:571352:571427:+|X:572058:572149:+|X:572289:573853:+|X:574002:574196:+|X:574878:574942:+|X:575089:575168:+|X:575350:575471:+
tr3L_1883795_1885019_7519,3,3L:1884248:1884323:-|3L:1884560:1884691:-
tr2L_12287223_12311203_27795,1,2L:12287808:12288905:+|2L:12289344:12298568:+|2L:12298749:12298814:+|2L:12299111:12299188:+|2L:12299394:12304446:+|2L:12304595:12310682:+
tr2L_12270932_12311104_29256,1,2L:12271347:12271591:+|2L:12272084:12278837:+|2L:12278919:12282514:+|2L:12282562:12298568:+|2L:12298749:12298814:+|2L:12299111:12299188:+|2L:12299394:12304446:+|2L:12304595:12310682:+
tr2L_12270932_12312795_29398,1,2L:12271347:12271591:+|2L:12272084:12278837:+|2L:12278919:12282514:+|2L:12282562:12298568:+|2L:12298749:12298814:+|2L:12299111:12299188:+|2L:12299394:12304446:+|2L:12304595:12310682:+|2L:12311093:12312376:+|2L:12312465:12312526:+
tr2L_12270932_12313438_29432,1,2L:12271347:12271591:+|2L:12272084:12278837:+|2L:12278919:12282514:+|2L:12282562:12298568:+|2L:12298749:12298814:+|2L:12299111:12299188:+|2L:12299394:12300361:+|2L:12300396:12300610:+|2L:12300621:12304446:+|2L:12304595:12310682:+|2L:12311093:12312376:+|2L:12312465:12312526:+
tr2L_12222197_12312311_30766,1,2L:12222337:12240868:+|2L:12241780:12271591:+|2L:12272084:12278837:+|2L:12278919:12282514:+|2L:12282562:12298568:+|2L:12298749:12298814:+|2L:12299111:12299188:+|2L:12299394:12304446:+|2L:12304595:12310682:+
tr2L_12222197_12313438_30775,1,2L:12222337:12271591:+|2L:12272084:12278837:+|2L:12278919:12282514:+|2L:12282562:12298568:+|2L:12298749:12298814:+|2L:12299111:12299188:+|2L:12299394:12304446:+|2L:12304595:12310682:+|2L:12311093:12312376:+|2L:12312465:12312526:+
tr2L_12205843_12312311_30905,1,2L:12206130:12271591:+|2L:12272084:12278837:+|2L:12278919:12282514:+|2L:12282562:12298568:+|2L:12298749:12298814:+|2L:12299111:12299188:+|2L:12299394:12304446:+|2L:12304595:12310682:+
tr2L_12205843_12312795_30909,1,2L:12206130:12240868:+|2L:12241780:12271591:+|2L:12272084:12278837:+|2L:12278919:12282514:+|2L:12282562:12298568:+|2L:12298749:12298814:+|2L:12299111:12299188:+|2L:12299394:12304446:+|2L:12304595:12310682:+|2L:12311093:12312376:+|2L:12312465:12312526:+
tr2L_12201326_12311203_30919,1,2L:12201771:12271591:+|2L:12272084:12278837:+|2L:12278919:12282514:+|2L:12282562:12298568:+|2L:12298749:12298814:+|2L:12299111:12299188:+|2L:12299394:12304446:+|2L:12304595:12310682:+
tr2L_12175004_12312311_31069,1,2L:12175420:12271591:+|2L:12272084:12278837:+|2L:12278919:12282514:+|2L:12282562:12298568:+|2L:12298749:12298814:+|2L:12299111:12299188:+|2L:12299394:12304446:+|2L:12304595:12310682:+
tr3L_15983135_15984362_7544,1,3L:15983280:15983378:+|3L:15983594:15983863:+
tr3L_9048781_9050356_9644,1,monoexon_9048781_9050356
tr3L_9048812_9051901_15827,1,3L:9050359:9051130:-
tr3L_9048880_9053561_19091,1,3L:9050359:9051130:-|3L:9051717:9053520:-
tr3L_9048880_9057581_23263,1,3L:9050359:9057543:-
tr3L_9048812_9062948_25711,1,3L:9050359:9061907:-|3L:9062467:9062812:-
tr3L_9048880_9066027_26462,1,3L:9050359:9061907:-|3L:9062467:9064464:-|3L:9064517:9065708:-
tr3L_9048880_9066027_26463,1,3L:9050359:9064464:-|3L:9064517:9065708:-
trX_1891401_1899524_22831,1,X:1892119:1893403:-|X:1893499:1894508:-|X:1894780:1894841:-|X:1895041:1895114:-|X:1896753:1898980:-|X:1899039:1899399:-
trX_1891401_1899524_22832,1,X:1892119:1893403:-|X:1893499:1894508:-|X:1894780:1894841:-|X:1895041:1895114:-|X:1896753:1898980:-|X:1899039:1899304:-
trX_1891401_1899610_22927,1,X:1892119:1893403:-|X:1893499:1894508:-|X:1894780:1894841:-|X:1895041:1895114:-|X:1896753:1898980:-|X:1899039:1899381:-
trX_1891401_1899610_22928,1,X:1892119:1894508:-|X:1894780:1894841:-|X:1895041:1895114:-|X:1896753:1898980:-|X:1899039:1899381:-
trX_1891401_1900173_23301,1,X:1892119:1893403:-|X:1893499:1894508:-|X:1894780:1894841:-|X:1895041:1895114:-|X:1896753:1898980:-|X:1899039:1900044:-
trX_1891401_1900646_23579,1,X:1892119:1893403:-|X:1893499:1894508:-|X:1894780:1894841:-|X:1895041:1895114:-|X:1896753:1898980:-|X:1899039:1900510:-
tr2R_13453640_13483229_28481,1,2R:13455236:13455296:-|2R:13455920:13455983:-|2R:13456252:13456316:-|2R:13456473:13456536:-|2R:13459525:13481776:-|2R:13482084:13483155:-
tr2L_18078649_18080415_10719,1,2L:18078797:18078916:+|2L:18079723:18079957:+|2L:18080086:18080147:+
tr2L_18078269_18081307_15693,2,2L:18078496:18078916:+|2L:18079723:18079957:+|2L:18080086:18080147:+
tr3L_8647261_8648936_10190,1,3L:8647645:8647708:-|3L:8647902:8647970:-
trX_460747_463176_13751,1,monoexon_460747_463176
tr3R_24651417_24653376_11734,1,3R:24651630:24651861:+|3R:24652241:24652310:+|3R:24652590:24652782:+|3R:24653039:24653098:+
tr3R_24651180_24653376_12784,1,3R:24651251:24651861:+|3R:24652241:24652310:+|3R:24652590:24652782:+|3R:24653039:24653098:+
tr3R_24650125_24653376_16251,1,3R:24650344:24650405:+|3R:24650589:24650650:+|3R:24650994:24651861:+|3R:24652241:24652310:+|3R:24652590:24652782:+|3R:24653039:24653098:+
tr3R_24753849_24760513_21598,1,3R:24754055:24754128:+|3R:24754304:24754357:+|3R:24754569:24754649:+|3R:24759530:24759591:+|3R:24759892:24759957:+
tr2L_10997819_11001108_16340,1,2L:10998832:10998897:-|2L:10999007:10999061:-|2L:10999450:10999518:-|2L:10999672:10999727:-|2L:10999854:10999914:-|2L:11000106:11000165:-|2L:11000658:11000786:-
tr2L_10997819_11001476_17213,1,2L:10998832:10998897:-|2L:10999007:10999061:-|2L:10999450:10999518:-|2L:10999672:10999727:-|2L:10999854:10999914:-|2L:11000106:11000165:-|2L:11000658:11000786:-|2L:11000918:11001270:-
tr3R_11963124_11964826_10355,1,3R:11963405:11963470:+|3R:11963770:11963833:+
tr3R_31745172_31746077_5325,3,3R:31745590:31745770:-
trX_16680089_16683895_17531,1,X:16680301:16680364:-|X:16680540:16680601:-|X:16681571:16681910:-|X:16682122:16682201:-|X:16682471:16683027:-|X:16683133:16683209:-|X:16683357:16683422:-
tr2L_13821248_13823979_14750,3,2L:13822148:13822682:+|2L:13823049:13823114:+
tr2R_24814822_24834602_27111,1,2R:24815567:24817594:+|2R:24817769:24819814:+|2R:24820007:24833409:+|2R:24833550:24833626:+|2R:24833730:24833797:+
tr2R_24814822_24834602_27112,1,2R:24815567:24817594:+|2R:24817769:24819814:+|2R:24820007:24833409:+|2R:24833730:24833797:+
tr2R_24814822_24835667_27294,1,2R:24815567:24817594:+|2R:24817769:24819814:+|2R:24820007:24833409:+|2R:24833550:24833626:+|2R:24833730:24833797:+|2R:24834013:24834154:+
tr3R_25243039_25245057_12026,1,3R:25243992:25244054:-|3R:25244424:25244489:-
trX_17160006_17195313_28935,1,X:17161191:17175347:+|X:17178970:17186794:+|X:17187123:17188992:+|X:17190686:17190755:+|X:17191377:17191439:+|X:17191720:17191788:+|X:17192461:17192531:+|X:17193035:17193313:+|X:17193417:17193899:+
trX_17160006_17195313_28936,1,X:17161191:17188992:+|X:17190686:17190755:+|X:17191377:17191439:+|X:17191720:17191788:+|X:17192461:17192531:+|X:17193035:17193313:+|X:17193417:17193899:+
trX_17160006_17195313_28937,1,X:17161191:17175347:+|X:17178970:17186794:+|X:17187123:17188992:+|X:17190686:17190755:+|X:17191377:17191439:+|X:17191720:17191788:+|X:17192461:17192531:+|X:17193035:17193899:+
trX_17160006_17200728_29294,1,X:17161191:17188992:+|X:17190686:17190755:+|X:17191377:17191439:+|X:17191720:17191788:+|X:17192461:17192531:+|X:17193035:17193899:+|X:17195253:17200287:+
tr3R_6755842_6759466_17160,1,3R:6756960:6759107:-
tr3R_6755842_6759466_17161,1,3R:6756960:6757473:-|3R:6758416:6758472:-|3R:6758547:6759107:-
tr3R_6755842_6759466_17162,1,3R:6756960:6757473:-|3R:6758431:6758472:-|3R:6758569:6759107:-
tr3R_6755842_6759466_17163,1,3R:6756960:6757473:-|3R:6758416:6758472:-|3R:6758569:6759107:-
tr3R_6755842_6759466_17164,1,3R:6756960:6757473:-|3R:6758431:6758472:-|3R:6758547:6759107:-
trX_13996657_13999805_15970,1,X:13996797:13998095:+
trX_13996657_13999805_15971,1,X:13996755:13998095:+
trX_13996345_13999805_16782,2,X:13996523:13998095:+
trX_13996345_13999805_16783,1,X:13996523:13996616:+|X:13996728:13998095:+
trX_4427135_4484452_30048,1,X:4427539:4428198:+|X:4429498:4450688:+|X:4450801:4450877:+|X:4451039:4478148:+|X:4478294:4478354:+|X:4478430:4482140:+|X:4482384:4482517:+
trX_4427135_4485647_30094,1,X:4427352:4428198:+|X:4429498:4450688:+|X:4450801:4450877:+|X:4451039:4478148:+|X:4478294:4478354:+|X:4478430:4482131:+|X:4482384:4482520:+
trX_4427135_4485647_30095,1,X:4427352:4428198:+|X:4429498:4450688:+|X:4450801:4450877:+|X:4451030:4478148:+|X:4478294:4478354:+|X:4478430:4482134:+|X:4482384:4482520:+
trX_4413462_4484452_30490,2,X:4413899:4428198:+|X:4429498:4450688:+|X:4450801:4450877:+|X:4451039:4478148:+|X:4478294:4478354:+|X:4478430:4482140:+|X:4482384:4482517:+
trX_4412856_4484452_30502,1,X:4412920:4428198:+|X:4429498:4450688:+|X:4450801:4450877:+|X:4451039:4478148:+|X:4478294:4478354:+|X:4478430:4482140:+|X:4482384:4482517:+
trX_4413462_4485647_30516,1,X:4413899:4428198:+|X:4429498:4450688:+|X:4450801:4450877:+|X:4451030:4478148:+|X:4478294:4478354:+|X:4478430:4482131:+|X:4482384:4482520:+
tr2L_9984645_9995538_24415,2,2L:9985146:9986789:+|2L:9986955:9987601:+|2L:9987727:9992255:+|2L:9992462:9993267:+
tr2R_12870249_12871240_5920,1,monoexon_12870249_12871240
tr2R_12870249_12871794_9483,1,2R:12870330:12870403:+
tr2L_16044552_16048626_18009,1,2L:16044857:16044921:+|2L:16045000:16045066:+|2L:16045392:16045841:+|2L:16045966:16046027:+|2L:16046408:16046602:+|2L:16047729:16047958:+
tr2L_16042917_16048757_20710,1,2L:16043245:16043824:+|2L:16044361:16044423:+|2L:16044472:16044788:+|2L:16044857:16044921:+|2L:16045000:16045066:+|2L:16045392:16045841:+|2L:16045966:16046027:+|2L:16046408:16046602:+|2L:16047729:16047958:+
