gene_id,transcript_id,ujc_id
FBgn0000028,FBtr0305193,tr_FBtr0305193
FBgn0000028,FBtr0305194,tr_FBtr0305194
FBgn0000028,FBtr0305195,tr_FBtr0305195
FBgn0000028,FBtr0305196,tr_FBtr0305196
FBgn0000032,FBtr0085609,tr_FBtr0085609
FBgn0000032,FBtr0085610,tr_FBtr0085610
FBgn0000036,FBtr0084619,tr_FBtr0084619
FBgn0000036,FBtr0330310,tr_FBtr0084619
FBgn0000036,FBtr0334916,tr_FBtr0084619
FBgn0000037,FBtr0072367,tr_FBtr0072367
FBgn0000037,FBtr0072368,tr_FBtr0072368
FBgn0000038,FBtr0073299,tr_FBtr0073299
FBgn0000038,FBtr0073300,tr_FBtr0073300
FBgn0000039,FBtr0084639,tr_FBtr0084639
FBgn0000039,FBtr0084640,tr_FBtr0084640
FBgn0000042,FBtr0070822,tr_FBtr0070822
FBgn0000042,FBtr0100662,tr_FBtr0070822
FBgn0000042,FBtr0100663,tr_FBtr0070822
FBgn0000042,FBtr0345894,tr_FBtr0070822
FBgn0000042,FBtr0070823,tr_FBtr0070823
FBgn0000043,FBtr0086029,tr_FBtr0086029
FBgn0000044,FBtr0071519,tr_FBtr0071519
FBgn0000045,FBtr0078478,tr_FBtr0078478
FBgn0000045,FBtr0334090,tr_FBtr0334090
FBgn0000046,FBtr0082785,tr_FBtr0082785
FBgn0000046,FBtr0346242,tr_FBtr0082785
FBgn0000046,FBtr0082786,tr_FBtr0082786
FBgn0000047,FBtr0083143,tr_FBtr0083143
FBgn0000052,FBtr0079219,tr_FBtr0079219
FBgn0000052,FBtr0079220,tr_FBtr0079220
FBgn0000052,FBtr0079221,tr_FBtr0079221
FBgn0000053,FBtr0079431,tr_FBtr0079431
FBgn0000053,FBtr0339663,tr_FBtr0079431
FBgn0000053,FBtr0100353,tr_FBtr0100353
FBgn0000055,FBtr0100589,tr_FBtr0100589
FBgn0000055,FBtr0100591,tr_FBtr0100591
FBgn0000055,FBtr0100594,tr_FBtr0100594
FBgn0000055,FBtr0100590,tr_FBtr0100590
FBgn0000055,FBtr0100593,tr_FBtr0100593
FBgn0000056,FBtr0006151,tr_FBtr0006151
FBgn0000056,FBtr0100187,tr_FBtr0100187
FBgn0000056,FBtr0343699,tr_FBtr0343699
FBgn0000057,FBtr0086744,tr_FBtr0086744
FBgn0000057,FBtr0340288,tr_FBtr0086744
FBgn0000061,FBtr0078053,tr_FBtr0078053
FBgn0000063,FBtr0083478,tr_FBtr0083478
FBgn0000063,FBtr0331348,tr_FBtr0331348
FBgn0000064,FBtr0084994,tr_FBtr0084994
FBgn0000064,FBtr0339614,tr_FBtr0084994
FBgn0000064,FBtr0084995,tr_FBtr0084995
FBgn0000064,FBtr0084999,tr_FBtr0084999
FBgn0000064,FBtr0310660,tr_FBtr0310660
FBgn0000064,FBtr0085000,tr_FBtr0085000
FBgn0000064,FBtr0085001,tr_FBtr0085001
FBgn0000064,FBtr0114544,tr_FBtr0114544
FBgn0000064,FBtr0306657,tr_FBtr0306657
FBgn0000064,FBtr0310661,tr_FBtr0310661
FBgn0000071,FBtr0081618,tr_FBtr0081618
FBgn0000071,FBtr0081619,tr_FBtr0081619
FBgn0000071,FBtr0081620,tr_FBtr0081620
FBgn0000075,FBtr0081153,tr_FBtr0081153
FBgn0000075,FBtr0081154,tr_FBtr0081154
FBgn0000077,FBtr0307281,tr_FBtr0071331
FBgn0000077,FBtr0071331,tr_FBtr0071331
FBgn0000078,FBtr0086983,tr_FBtr0086983
FBgn0000079,FBtr0345521,tr_FBtr0087004
FBgn0000079,FBtr0087004,tr_FBtr0087004
FBgn0000083,FBtr0089517,tr_FBtr0089517
FBgn0000083,FBtr0089518,tr_FBtr0089518
FBgn0000083,FBtr0089519,tr_FBtr0089519
FBgn0000083,FBtr0089520,tr_FBtr0089520
FBgn0000083,FBtr0336798,tr_FBtr0336798
FBgn0000083,FBtr0336797,tr_FBtr0336797
FBgn0000084,FBtr0070025,tr_FBtr0070025
FBgn0000084,FBtr0301931,tr_FBtr0301931
FBgn0000092,FBtr0070504,tr_FBtr0070504
FBgn0000094,FBtr0085611,tr_FBtr0085611
FBgn0000094,FBtr0346141,tr_FBtr0085611
FBgn0000097,FBtr0077850,tr_FBtr0077850
FBgn0000097,FBtr0330660,tr_FBtr0077850
FBgn0000097,FBtr0077851,tr_FBtr0077851
FBgn0000097,FBtr0330658,tr_FBtr0330658
FBgn0000097,FBtr0330659,tr_FBtr0330659
FBgn0000100,FBtr0334113,tr_FBtr0334113
FBgn0000100,FBtr0078481,tr_FBtr0078481
FBgn0000108,FBtr0070109,tr_FBtr0070109
FBgn0000108,FBtr0307292,tr_FBtr0307292
FBgn0000108,FBtr0307293,tr_FBtr0307293
FBgn0000108,FBtr0307294,tr_FBtr0307294
FBgn0000108,FBtr0307295,tr_FBtr0307295
FBgn0000108,FBtr0307291,tr_FBtr0307291
FBgn0000109,FBtr0089420,tr_FBtr0089420
FBgn0000109,FBtr0346440,tr_FBtr0089420
FBgn0000109,FBtr0346441,tr_FBtr0089420
FBgn0000114,FBtr0331998,tr_FBtr0331998
FBgn0000114,FBtr0331648,tr_FBtr0331648
FBgn0000114,FBtr0080344,tr_FBtr0080344
FBgn0000114,FBtr0331646,tr_FBtr0331646
FBgn0000114,FBtr0331645,tr_FBtr0331645
FBgn0000114,FBtr0331647,tr_FBtr0331647
FBgn0000114,FBtr0080345,tr_FBtr0080345
FBgn0000114,FBtr0300567,tr_FBtr0300567
FBgn0000114,FBtr0331644,tr_FBtr0331644
FBgn0000114,FBtr0080347,tr_FBtr0080347
FBgn0000115,FBtr0075517,tr_FBtr0075517
FBgn0000116,FBtr0345030,tr_FBtr0345030
FBgn0000116,FBtr0076544,tr_FBtr0076544
FBgn0000116,FBtr0076546,tr_FBtr0076546
FBgn0000116,FBtr0076543,tr_FBtr0076543
FBgn0000116,FBtr0076545,tr_FBtr0076545
FBgn0000116,FBtr0112791,tr_FBtr0112791
FBgn0000116,FBtr0331550,tr_FBtr0331550
FBgn0000117,FBtr0089988,tr_FBtr0089988
FBgn0000117,FBtr0089989,tr_FBtr0089989
FBgn0000117,FBtr0089990,tr_FBtr0089990
FBgn0000117,FBtr0089991,tr_FBtr0089991
FBgn0000117,FBtr0089992,tr_FBtr0089992
FBgn0000117,FBtr0332583,tr_FBtr0332583
FBgn0000119,FBtr0087702,tr_FBtr0087702
FBgn0000120,FBtr0081030,tr_FBtr0081030
FBgn0000120,FBtr0307350,tr_FBtr0081030
FBgn0000120,FBtr0340229,tr_FBtr0340229
FBgn0000121,FBtr0076599,tr_FBtr0076599
FBgn0000137,FBtr0070075,tr_FBtr0070075
FBgn0000139,FBtr0084660,tr_FBtr0084660
FBgn0000139,FBtr0306171,tr_FBtr0306171
FBgn0000139,FBtr0084659,tr_FBtr0084659
FBgn0000140,FBtr0084692,tr_FBtr0084692
FBgn0000146,FBtr0080165,tr_FBtr0080165
FBgn0000146,FBtr0112793,tr_FBtr0112793
FBgn0000147,FBtr0082483,tr_FBtr0082483
FBgn0000150,FBtr0339146,tr_FBtr0339146
FBgn0000150,FBtr0346150,tr_FBtr0339146
FBgn0000150,FBtr0346611,tr_FBtr0339146
FBgn0000152,FBtr0074372,tr_FBtr0074372
FBgn0000153,FBtr0080542,tr_FBtr0080542
FBgn0000153,FBtr0309960,tr_FBtr0080542
FBgn0000153,FBtr0342712,tr_FBtr0080542
FBgn0000157,FBtr0072378,tr_FBtr0072378
FBgn0000157,FBtr0072379,tr_FBtr0072379
FBgn0000157,FBtr0300076,tr_FBtr0300076
FBgn0000158,FBtr0084869,tr_FBtr0084869
FBgn0000163,FBtr0074388,tr_FBtr0074388
FBgn0000163,FBtr0111000,tr_FBtr0111000
FBgn0000163,FBtr0343763,tr_FBtr0343763
FBgn0000163,FBtr0343764,tr_FBtr0343764
FBgn0000166,FBtr0081664,tr_FBtr0081664
FBgn0000166,FBtr0081665,tr_FBtr0081665
FBgn0000166,FBtr0081666,tr_FBtr0081666
FBgn0000166,FBtr0081667,tr_FBtr0081667
FBgn0000166,FBtr0081668,tr_FBtr0081668
FBgn0000173,FBtr0073855,tr_FBtr0073855
FBgn0000173,FBtr0300566,tr_FBtr0073855
FBgn0000173,FBtr0307296,tr_FBtr0307296
FBgn0000173,FBtr0332843,tr_FBtr0332843
FBgn0000173,FBtr0332844,tr_FBtr0332844
FBgn0000179,FBtr0070672,tr_FBtr0070672
FBgn0000179,FBtr0300608,tr_FBtr0300608
FBgn0000179,FBtr0331162,tr_FBtr0300608
FBgn0000179,FBtr0343569,tr_FBtr0343569
FBgn0000179,FBtr0300609,tr_FBtr0300609
FBgn0000179,FBtr0308914,tr_FBtr0308914
FBgn0000179,FBtr0308915,tr_FBtr0308915
FBgn0000180,FBtr0079929,tr_FBtr0079929
FBgn0000180,FBtr0329984,tr_FBtr0079929
FBgn0000181,FBtr0087782,tr_FBtr0087782
FBgn0000181,FBtr0087783,tr_FBtr0087783
FBgn0000182,FBtr0080803,tr_FBtr0080803
FBgn0000182,FBtr0080804,tr_FBtr0080804
FBgn0000182,FBtr0080805,tr_FBtr0080805
FBgn0000183,FBtr0081002,tr_FBtr0081002
FBgn0000183,FBtr0330225,tr_FBtr0081002
FBgn0000183,FBtr0330226,tr_FBtr0081002
FBgn0000183,FBtr0305688,tr_FBtr0305688
FBgn0000206,FBtr0084949,tr_FBtr0084949
FBgn0000212,FBtr0075523,tr_FBtr0075523
FBgn0000212,FBtr0075524,tr_FBtr0075524
FBgn0000212,FBtr0075525,tr_FBtr0075525
FBgn0000212,FBtr0330160,tr_FBtr0075525
FBgn0000212,FBtr0075526,tr_FBtr0075526
FBgn0000212,FBtr0333580,tr_FBtr0333580
FBgn0000216,FBtr0075621,tr_FBtr0075621
FBgn0000221,FBtr0070638,tr_FBtr0070638
FBgn0000227,FBtr0077423,tr_FBtr0077423
FBgn0000228,FBtr0079084,tr_FBtr0079084
FBgn0000228,FBtr0079085,tr_FBtr0079085
FBgn0000228,FBtr0302568,tr_FBtr0302568
FBgn0000228,FBtr0310624,tr_FBtr0310624
FBgn0000228,FBtr0310625,tr_FBtr0310625
FBgn0000228,FBtr0302567,tr_FBtr0302567
FBgn0000228,FBtr0342939,tr_FBtr0342939
FBgn0000229,FBtr0080087,tr_FBtr0080087
FBgn0000229,FBtr0300982,tr_FBtr0300982
FBgn0000229,FBtr0302378,tr_FBtr0300982
FBgn0000233,FBtr0071379,tr_FBtr0071379
FBgn0000239,FBtr0301342,tr_FBtr0301342
FBgn0000239,FBtr0343875,tr_FBtr0301342
FBgn0000241,FBtr0072117,tr_FBtr0072117
FBgn0000241,FBtr0346612,tr_FBtr0072117
FBgn0000244,FBtr0082119,tr_FBtr0082119
FBgn0000244,FBtr0301093,tr_FBtr0301093
FBgn0000244,FBtr0302382,tr_FBtr0302382
FBgn0000246,FBtr0083194,tr_FBtr0083194
FBgn0000246,FBtr0083195,tr_FBtr0083194
FBgn0000246,FBtr0083196,tr_FBtr0083196
FBgn0000247,FBtr0085484,tr_FBtr0085484
FBgn0000247,FBtr0346613,tr_FBtr0085484
FBgn0000250,FBtr0080845,tr_FBtr0080845
FBgn0000250,FBtr0080844,tr_FBtr0080844
FBgn0000250,FBtr0337081,tr_FBtr0080844
FBgn0000250,FBtr0080847,tr_FBtr0080847
FBgn0000250,FBtr0080846,tr_FBtr0080846
FBgn0000251,FBtr0081412,tr_FBtr0081412
FBgn0000251,FBtr0081413,tr_FBtr0081412
FBgn0000251,FBtr0335152,tr_FBtr0335152
FBgn0000253,FBtr0088001,tr_FBtr0088001
FBgn0000253,FBtr0304963,tr_FBtr0088001
FBgn0000253,FBtr0345018,tr_FBtr0345018
FBgn0000253,FBtr0088002,tr_FBtr0088002
FBgn0000253,FBtr0304964,tr_FBtr0088002
FBgn0000256,FBtr0290079,tr_FBtr0290079
FBgn0000256,FBtr0077511,tr_FBtr0077511
FBgn0000256,FBtr0077512,tr_FBtr0077512
FBgn0000256,FBtr0077513,tr_FBtr0077513
FBgn0000256,FBtr0290077,tr_FBtr0290077
FBgn0000256,FBtr0290078,tr_FBtr0290078
FBgn0000256,FBtr0290080,tr_FBtr0290080
FBgn0000256,FBtr0290081,tr_FBtr0290081
FBgn0000256,FBtr0290082,tr_FBtr0290082
FBgn0000257,FBtr0074727,tr_FBtr0074727
FBgn0000257,FBtr0331158,tr_FBtr0074727
FBgn0000257,FBtr0074728,tr_FBtr0074728
FBgn0000259,FBtr0073558,tr_FBtr0073558
FBgn0000259,FBtr0073562,tr_FBtr0073562
FBgn0000259,FBtr0308085,tr_FBtr0308085
FBgn0000259,FBtr0307896,tr_FBtr0307896
FBgn0000259,FBtr0073560,tr_FBtr0073560
FBgn0000259,FBtr0073561,tr_FBtr0073561
FBgn0000259,FBtr0100540,tr_FBtr0100540
FBgn0000259,FBtr0299569,tr_FBtr0299569
FBgn0000259,FBtr0308084,tr_FBtr0308084
FBgn0000259,FBtr0333204,tr_FBtr0333204
FBgn0000261,FBtr0075058,tr_FBtr0075058
FBgn0000273,FBtr0079851,tr_FBtr0079851
FBgn0000273,FBtr0079852,tr_FBtr0079852
FBgn0000273,FBtr0335495,tr_FBtr0335495
FBgn0000274,FBtr0085727,tr_FBtr0085727
FBgn0000274,FBtr0335454,tr_FBtr0335454
FBgn0000276,FBtr0085612,tr_FBtr0085612
FBgn0000277,FBtr0085614,tr_FBtr0085614
FBgn0000278,FBtr0085640,tr_FBtr0085640
FBgn0000279,FBtr0085616,tr_FBtr0085616
FBgn0000280,FBtr0085613,tr_FBtr0085613
FBgn0000281,FBtr0089614,tr_FBtr0089614
FBgn0000283,FBtr0083126,tr_FBtr0083126
FBgn0000283,FBtr0083127,tr_FBtr0083127
FBgn0000286,FBtr0304887,tr_FBtr0304887
FBgn0000286,FBtr0089647,tr_FBtr0089647
FBgn0000286,FBtr0472669,tr_FBtr0089647
FBgn0000286,FBtr0089648,tr_FBtr0089648
FBgn0000286,FBtr0089649,tr_FBtr0089649
FBgn0000286,FBtr0336835,tr_FBtr0336835
FBgn0000287,FBtr0307093,tr_FBtr0307093
FBgn0000287,FBtr0080235,tr_FBtr0080235
FBgn0000287,FBtr0080236,tr_FBtr0080236
FBgn0000289,FBtr0087526,tr_FBtr0087526
FBgn0000289,FBtr0087527,tr_FBtr0087527
FBgn0000289,FBtr0087528,tr_FBtr0087528
FBgn0000289,FBtr0087529,tr_FBtr0087529
FBgn0000289,FBtr0112795,tr_FBtr0112795
FBgn0000289,FBtr0290034,tr_FBtr0290034
FBgn0000289,FBtr0290035,tr_FBtr0290035
FBgn0000289,FBtr0339960,tr_FBtr0339960
FBgn0000289,FBtr0339961,tr_FBtr0339961
FBgn0000289,FBtr0339962,tr_FBtr0339962
FBgn0000289,FBtr0346946,tr_FBtr0346946
FBgn0000299,FBtr0079002,tr_FBtr0079002
FBgn0000299,FBtr0079003,tr_FBtr0079003
FBgn0000299,FBtr0079001,tr_FBtr0079001
FBgn0000303,FBtr0089367,tr_FBtr0089367
FBgn0000303,FBtr0089368,tr_FBtr0089368
FBgn0000307,FBtr0080838,tr_FBtr0080838
FBgn0000307,FBtr0080839,tr_FBtr0080839
FBgn0000307,FBtr0321313,tr_FBtr0321313
FBgn0000308,FBtr0079236,tr_FBtr0079236
FBgn0000308,FBtr0079234,tr_FBtr0079234
FBgn0000308,FBtr0079235,tr_FBtr0079235
FBgn0000308,FBtr0309213,tr_FBtr0309213
FBgn0000308,FBtr0079233,tr_FBtr0079233
FBgn0000308,FBtr0309212,tr_FBtr0309212
FBgn0000316,FBtr0070064,tr_FBtr0070064
FBgn0000316,FBtr0070065,tr_FBtr0070064
FBgn0000317,FBtr0080723,tr_FBtr0080723
FBgn0000317,FBtr0343686,tr_FBtr0080723
FBgn0000317,FBtr0080724,tr_FBtr0080724
FBgn0000317,FBtr0343687,tr_FBtr0343687
FBgn0000318,FBtr0329967,tr_FBtr0329967
FBgn0000318,FBtr0329968,tr_FBtr0329968
FBgn0000318,FBtr0079095,tr_FBtr0079095
FBgn0000319,FBtr0074179,tr_FBtr0074179
FBgn0000319,FBtr0074180,tr_FBtr0074180
FBgn0000319,FBtr0074181,tr_FBtr0074181
FBgn0000319,FBtr0074182,tr_FBtr0074182
FBgn0000319,FBtr0112797,tr_FBtr0112797
FBgn0000319,FBtr0112798,tr_FBtr0112798
FBgn0000319,FBtr0339445,tr_FBtr0339445
FBgn0000320,FBtr0079334,tr_FBtr0079334
FBgn0000320,FBtr0079335,tr_FBtr0079335
FBgn0000320,FBtr0306113,tr_FBtr0306113
FBgn0000326,FBtr0071687,tr_FBtr0071687
FBgn0000330,FBtr0071033,tr_FBtr0071033
FBgn0000330,FBtr0332315,tr_FBtr0071033
FBgn0000337,FBtr0344723,tr_FBtr0344723
FBgn0000339,FBtr0337082,tr_FBtr0337082
FBgn0000339,FBtr0080848,tr_FBtr0080848
FBgn0000339,FBtr0080849,tr_FBtr0080849
FBgn0000346,FBtr0073754,tr_FBtr0073754
FBgn0000346,FBtr0333329,tr_FBtr0333329
FBgn0000351,FBtr0079320,tr_FBtr0079320
FBgn0000351,FBtr0333350,tr_FBtr0079320
FBgn0000352,FBtr0089015,tr_FBtr0089015
FBgn0000352,FBtr0336916,tr_FBtr0089015
FBgn0000355,FBtr0076572,tr_FBtr0076572
FBgn0000356,FBtr0076574,tr_FBtr0076574
FBgn0000357,FBtr0076571,tr_FBtr0076571
FBgn0000358,FBtr0076573,tr_FBtr0076573
FBgn0000359,FBtr0071203,tr_FBtr0071203
FBgn0000360,FBtr0071204,tr_FBtr0071204
FBgn0000360,FBtr0300448,tr_FBtr0071204
FBgn0000370,FBtr0081512,tr_FBtr0081512
FBgn0000370,FBtr0332001,tr_FBtr0332001
FBgn0000370,FBtr0332002,tr_FBtr0332002
FBgn0000370,FBtr0081513,tr_FBtr0081513
FBgn0000376,FBtr0070495,tr_FBtr0070495
FBgn0000376,FBtr0070496,tr_FBtr0070496
FBgn0000377,FBtr0070418,tr_FBtr0070418
FBgn0000382,FBtr0070378,tr_FBtr0070378
FBgn0000382,FBtr0333260,tr_FBtr0333260
FBgn0000382,FBtr0070379,tr_FBtr0070379
FBgn0000382,FBtr0070380,tr_FBtr0070380
FBgn0000384,FBtr0111126,tr_FBtr0111126
FBgn0000384,FBtr0334157,tr_FBtr0111126
FBgn0000392,FBtr0290322,tr_FBtr0290322
FBgn0000392,FBtr0346452,tr_FBtr0290322
FBgn0000394,FBtr0070804,tr_FBtr0070804
FBgn0000394,FBtr0340464,tr_FBtr0340464
FBgn0000394,FBtr0340465,tr_FBtr0340464
FBgn0000395,FBtr0071610,tr_FBtr0071610
FBgn0000404,FBtr0304650,tr_FBtr0304650
FBgn0000404,FBtr0076075,tr_FBtr0076075
FBgn0000405,FBtr0071911,tr_FBtr0071911
FBgn0000405,FBtr0071913,tr_FBtr0071913
FBgn0000405,FBtr0071914,tr_FBtr0071914
FBgn0000405,FBtr0309858,tr_FBtr0309858
FBgn0000406,FBtr0080932,tr_FBtr0080932
FBgn0000406,FBtr0331931,tr_FBtr0080932
FBgn0000411,FBtr0075746,tr_FBtr0075746
FBgn0000411,FBtr0333036,tr_FBtr0075746
FBgn0000411,FBtr0333035,tr_FBtr0333034
FBgn0000411,FBtr0333034,tr_FBtr0333034
FBgn0000412,FBtr0081987,tr_FBtr0081987
FBgn0000412,FBtr0081988,tr_FBtr0081988
FBgn0000412,FBtr0301524,tr_FBtr0301524
FBgn0000414,FBtr0305084,tr_FBtr0305084
FBgn0000414,FBtr0305085,tr_FBtr0305085
FBgn0000414,FBtr0330190,tr_FBtr0305085
FBgn0000414,FBtr0075318,tr_FBtr0075318
FBgn0000414,FBtr0330189,tr_FBtr0075318
FBgn0000414,FBtr0305086,tr_FBtr0305086
FBgn0000414,FBtr0333625,tr_FBtr0333625
FBgn0000414,FBtr0333626,tr_FBtr0333626
FBgn0000416,FBtr0085713,tr_FBtr0085713
FBgn0000416,FBtr0085714,tr_FBtr0085714
FBgn0000422,FBtr0081166,tr_FBtr0081166
FBgn0000422,FBtr0081167,tr_FBtr0081167
FBgn0000422,FBtr0290291,tr_FBtr0290291
FBgn0000426,FBtr0088010,tr_FBtr0088010
FBgn0000427,FBtr0310269,tr_FBtr0310269
FBgn0000427,FBtr0071145,tr_FBtr0071145
FBgn0000427,FBtr0071146,tr_FBtr0071146
FBgn0000427,FBtr0071147,tr_FBtr0071147
FBgn0000427,FBtr0309795,tr_FBtr0309795
FBgn0000427,FBtr0309796,tr_FBtr0309796
FBgn0000439,FBtr0081621,tr_FBtr0081621
FBgn0000442,FBtr0078042,tr_FBtr0078042
FBgn0000447,FBtr0081890,tr_FBtr0081890
FBgn0000447,FBtr0300442,tr_FBtr0081890
FBgn0000448,FBtr0088366,tr_FBtr0088366
FBgn0000448,FBtr0452140,tr_FBtr0088366
FBgn0000448,FBtr0306345,tr_FBtr0306345
FBgn0000448,FBtr0088368,tr_FBtr0088368
FBgn0000448,FBtr0330609,tr_FBtr0088368
FBgn0000448,FBtr0112799,tr_FBtr0112799
FBgn0000449,FBtr0073205,tr_FBtr0073205
FBgn0000451,FBtr0076305,tr_FBtr0076305
FBgn0000451,FBtr0076307,tr_FBtr0076307
FBgn0000451,FBtr0331551,tr_FBtr0331551
FBgn0000451,FBtr0339899,tr_FBtr0339899
FBgn0000451,FBtr0301385,tr_FBtr0301385
FBgn0000454,FBtr0082831,tr_FBtr0082831
FBgn0000454,FBtr0082832,tr_FBtr0082832
FBgn0000454,FBtr0082833,tr_FBtr0082833
FBgn0000454,FBtr0345229,tr_FBtr0082833
FBgn0000455,FBtr0082597,tr_FBtr0082597
FBgn0000455,FBtr0344982,tr_FBtr0082597
FBgn0000459,FBtr0074250,tr_FBtr0074250
FBgn0000459,FBtr0100384,tr_FBtr0074250
FBgn0000463,FBtr0083739,tr_FBtr0083739
FBgn0000463,FBtr0083740,tr_FBtr0083739
FBgn0000463,FBtr0304658,tr_FBtr0083739
FBgn0000464,FBtr0331242,tr_FBtr0331242
FBgn0000464,FBtr0331241,tr_FBtr0331241
FBgn0000464,FBtr0112800,tr_FBtr0112800
FBgn0000464,FBtr0331239,tr_FBtr0331239
FBgn0000464,FBtr0331240,tr_FBtr0331240
FBgn0000464,FBtr0081260,tr_FBtr0081260
FBgn0000464,FBtr0305950,tr_FBtr0305950
FBgn0000473,FBtr0086133,tr_FBtr0086133
FBgn0000477,FBtr0083538,tr_FBtr0083538
FBgn0000479,FBtr0070509,tr_FBtr0070509
FBgn0000479,FBtr0333315,tr_FBtr0333315
FBgn0000479,FBtr0333316,tr_FBtr0333316
FBgn0000479,FBtr0333317,tr_FBtr0333317
FBgn0000479,FBtr0070511,tr_FBtr0070511
FBgn0000479,FBtr0070512,tr_FBtr0070512
FBgn0000479,FBtr0070513,tr_FBtr0070513
FBgn0000479,FBtr0070515,tr_FBtr0070515
FBgn0000479,FBtr0070519,tr_FBtr0070519
FBgn0000479,FBtr0333312,tr_FBtr0333312
FBgn0000479,FBtr0333313,tr_FBtr0333313
FBgn0000479,FBtr0333314,tr_FBtr0333314
FBgn0000479,FBtr0070517,tr_FBtr0070517
FBgn0000479,FBtr0070518,tr_FBtr0070518
FBgn0000479,FBtr0070520,tr_FBtr0070520
FBgn0000479,FBtr0070521,tr_FBtr0070521
FBgn0000479,FBtr0070522,tr_FBtr0070522
FBgn0000482,FBtr0070269,tr_FBtr0070269
FBgn0000489,FBtr0075529,tr_FBtr0075529
FBgn0000489,FBtr0075528,tr_FBtr0075528
FBgn0000490,FBtr0077771,tr_FBtr0077771
FBgn0000490,FBtr0077772,tr_FBtr0077772
FBgn0000490,FBtr0077773,tr_FBtr0077773
FBgn0000490,FBtr0077775,tr_FBtr0077775
FBgn0000492,FBtr0085441,tr_FBtr0085441
FBgn0000499,FBtr0073454,tr_FBtr0073454
FBgn0000500,FBtr0078989,tr_FBtr0078989
FBgn0000504,FBtr0081759,tr_FBtr0081759
FBgn0000504,FBtr0330074,tr_FBtr0081759
FBgn0000504,FBtr0330073,tr_FBtr0330073
FBgn0000504,FBtr0081760,tr_FBtr0081760
FBgn0000504,FBtr0339710,tr_FBtr0081760
FBgn0000504,FBtr0081761,tr_FBtr0081761
FBgn0000520,FBtr0070487,tr_FBtr0070487
FBgn0000524,FBtr0070914,tr_FBtr0070914
FBgn0000527,FBtr0084106,tr_FBtr0084106
FBgn0000529,FBtr0089320,tr_FBtr0089320
FBgn0000529,FBtr0343855,tr_FBtr0089320
FBgn0000533,FBtr0083083,tr_FBtr0083083
FBgn0000533,FBtr0334588,tr_FBtr0334588
FBgn0000535,FBtr0073955,tr_FBtr0073955
FBgn0000535,FBtr0111009,tr_FBtr0111009
FBgn0000535,FBtr0303285,tr_FBtr0303285
FBgn0000535,FBtr0303286,tr_FBtr0303286
FBgn0000535,FBtr0310014,tr_FBtr0310014
FBgn0000535,FBtr0310015,tr_FBtr0310015
FBgn0000535,FBtr0310016,tr_FBtr0310016
FBgn0000536,FBtr0308617,tr_FBtr0308617
FBgn0000536,FBtr0343520,tr_FBtr0343520
FBgn0000536,FBtr0074211,tr_FBtr0074211
FBgn0000536,FBtr0074212,tr_FBtr0074212
FBgn0000536,FBtr0308618,tr_FBtr0308618
FBgn0000536,FBtr0308619,tr_FBtr0308619
FBgn0000536,FBtr0343519,tr_FBtr0343519
FBgn0000536,FBtr0074214,tr_FBtr0074214
