gene_id,xscript_model_id,ERS_grp_num,flag_nonolp_pair,nonolp_xscript_id
FBgn0038558,FBtr0308497,33,0,
FBgn0038569,FBtr0083623,34,0,
FBgn0038569,FBtr0344646,34,0,
FBgn0038576,FBtr0083557,35,0,
FBgn0038576,FBtr0336468,35,0,
FBgn0038590,FBtr0083605,36,0,
FBgn0038590,FBtr0347215,36,0,
FBgn0038603,FBtr0083590,37,1,FBtr0083592
FBgn0038603,FBtr0083591,37,0,
FBgn0038603,FBtr0330312,37,0,
FBgn0038603,FBtr0330313,37,1,FBtr0083592
FBgn0038603,FBtr0083592,37,1,FBtr0330313|FBtr0083590
FBgn0038608,FBtr0083586,38,0,
FBgn0038608,FBtr0302307,38,0,
FBgn0038608,FBtr0339976,38,0,
FBgn0038610,FBtr0083581,39,0,
FBgn0038610,FBtr0083583,39,0,
FBgn0038610,FBtr0083582,40,0,
FBgn0038610,FBtr0344550,40,0,
FBgn0038619,FBtr0083630,41,0,
FBgn0038619,FBtr0333830,41,0,
FBgn0038630,FBtr0083634,42,0,
FBgn0038630,FBtr0305956,42,0,
FBgn0038638,FBtr0083664,43,0,
FBgn0038638,FBtr0083665,43,0,
FBgn0038641,FBtr0083668,44,0,
FBgn0038641,FBtr0083669,44,0,
FBgn0038642,FBtr0083687,45,0,
FBgn0038642,FBtr0345269,45,0,
FBgn0038651,FBtr0273382,46,0,
FBgn0038651,FBtr0305051,46,0,
FBgn0038652,FBtr0083678,47,0,
FBgn0038652,FBtr0301199,47,0,
FBgn0038653,FBtr0083677,48,0,
FBgn0038653,FBtr0330029,48,0,
FBgn0038654,FBtr0083695,49,0,
FBgn0038654,FBtr0334521,49,0,
FBgn0038662,FBtr0083723,50,0,
FBgn0038662,FBtr0334525,50,0,
FBgn0038665,FBtr0083722,51,0,
FBgn0038665,FBtr0304691,51,0,
FBgn0038666,FBtr0304689,52,0,
FBgn0038666,FBtr0304690,52,0,
FBgn0038672,FBtr0083719,53,0,
FBgn0038672,FBtr0343992,53,0,
FBgn0038683,FBtr0083750,54,0,
FBgn0038683,FBtr0335020,54,0,
FBgn0038695,FBtr0083738,55,0,
FBgn0038695,FBtr0346143,55,0,
FBgn0038700,FBtr0083755,56,0,
FBgn0038700,FBtr0339152,56,0,
FBgn0038704,FBtr0083759,57,0,
FBgn0038704,FBtr0083760,57,0,
FBgn0038716,FBtr0083777,58,0,
FBgn0038716,FBtr0304745,58,0,
FBgn0038738,FBtr0083860,59,0,
FBgn0038738,FBtr0302327,59,0,
FBgn0038739,FBtr0083816,60,0,
FBgn0038739,FBtr0334307,60,0,
FBgn0038740,FBtr0083859,61,0,
FBgn0038740,FBtr0330036,61,0,
FBgn0038744,FBtr0301117,62,0,
FBgn0038744,FBtr0308828,62,0,
FBgn0038744,FBtr0308829,62,0,
FBgn0038744,FBtr0344260,62,0,
FBgn0038745,FBtr0083855,63,0,
FBgn0038745,FBtr0344262,63,0,
FBgn0038747,FBtr0083821,64,0,
FBgn0038747,FBtr0344351,64,0,
FBgn0038747,FBtr0344354,64,0,
FBgn0038755,FBtr0083846,65,0,
FBgn0038755,FBtr0335240,65,0,
FBgn0038756,FBtr0083823,66,0,
FBgn0038756,FBtr0344285,66,0,
FBgn0038763,FBtr0083843,67,0,
FBgn0038763,FBtr0307345,67,0,
FBgn0038763,FBtr0344139,67,0,
FBgn0038783,FBtr0083901,68,0,
FBgn0038783,FBtr0344245,68,0,
FBgn0038787,FBtr0083899,69,0,
FBgn0038787,FBtr0113252,69,0,
FBgn0038788,FBtr0083882,70,0,
FBgn0038788,FBtr0344243,70,0,
FBgn0038803,FBtr0083907,71,0,
FBgn0038803,FBtr0345213,71,0,
FBgn0038811,FBtr0083944,72,0,
FBgn0038811,FBtr0302323,72,0,
FBgn0038814,FBtr0113254,73,0,
FBgn0038814,FBtr0330028,73,0,
FBgn0038818,FBtr0083936,74,0,
FBgn0038818,FBtr0334642,74,0,
FBgn0038828,FBtr0083994,75,0,
FBgn0038828,FBtr0334723,75,0,
FBgn0038834,FBtr0083969,76,0,
FBgn0038834,FBtr0346148,76,0,
FBgn0038842,FBtr0083979,77,0,
FBgn0038842,FBtr0334919,77,0,
FBgn0038846,FBtr0084001,78,0,
FBgn0038846,FBtr0309206,78,0,
FBgn0038846,FBtr0309207,78,0,
FBgn0038846,FBtr0309208,78,0,
FBgn0038849,FBtr0084043,79,0,
FBgn0038849,FBtr0346111,79,0,
FBgn0038871,FBtr0084107,80,0,
FBgn0038871,FBtr0347217,80,0,
FBgn0038872,FBtr0084051,81,0,
FBgn0038872,FBtr0330376,81,0,
FBgn0038872,FBtr0339192,81,0,
FBgn0038874,FBtr0084054,82,0,
FBgn0038874,FBtr0339194,82,0,
FBgn0038876,FBtr0084055,83,0,
FBgn0038876,FBtr0300616,83,0,
FBgn0038880,FBtr0084098,84,0,
FBgn0038880,FBtr0301815,84,0,
FBgn0038881,FBtr0084095,85,0,
FBgn0038881,FBtr0343805,85,0,
FBgn0038881,FBtr0343806,85,0,
FBgn0038881,FBtr0343807,85,0,
FBgn0038887,FBtr0113261,86,0,
FBgn0038887,FBtr0113262,86,0,
FBgn0038889,FBtr0084109,87,0,
FBgn0038889,FBtr0334662,87,0,
FBgn0038890,FBtr0084112,88,0,
FBgn0038890,FBtr0301211,88,0,
FBgn0038890,FBtr0301212,89,0,
FBgn0038890,FBtr0334663,89,0,
FBgn0038897,FBtr0084125,90,0,
FBgn0038897,FBtr0301164,90,0,
FBgn0038909,FBtr0113263,91,0,
FBgn0038909,FBtr0334880,91,0,
FBgn0038922,FBtr0084190,92,0,
FBgn0038922,FBtr0300788,92,0,
FBgn0038925,FBtr0084185,93,0,
FBgn0038925,FBtr0335198,93,0,
FBgn0038930,FBtr0084182,94,0,
FBgn0038930,FBtr0335197,94,0,
FBgn0038938,FBtr0301190,95,0,
FBgn0038938,FBtr0321268,95,0,
FBgn0038938,FBtr0344797,95,0,
FBgn0038947,FBtr0084206,96,0,
FBgn0038947,FBtr0084208,96,0,
FBgn0038947,FBtr0084209,96,0,
FBgn0038948,FBtr0084239,97,0,
FBgn0038948,FBtr0330378,97,0,
FBgn0038957,FBtr0084219,98,0,
FBgn0038957,FBtr0084221,98,0,
FBgn0038965,FBtr0084229,99,0,
FBgn0038965,FBtr0337044,99,0,
FBgn0038965,FBtr0345205,99,0,
FBgn0038966,FBtr0084297,100,0,
FBgn0038966,FBtr0346142,100,0,
FBgn0038967,FBtr0301711,101,0,
FBgn0038967,FBtr0337045,101,0,
FBgn0038975,FBtr0084256,102,0,
FBgn0038975,FBtr0301485,102,0,
FBgn0038975,FBtr0334607,103,0,
FBgn0038975,FBtr0334608,103,0,
FBgn0038975,FBtr0334609,103,0,
FBgn0038975,FBtr0334610,103,0,
FBgn0038975,FBtr0334612,103,0,
FBgn0038975,FBtr0345228,103,0,
FBgn0038976,FBtr0084257,104,0,
FBgn0038976,FBtr0301486,104,0,
FBgn0038980,FBtr0084260,105,0,
FBgn0038980,FBtr0331930,105,0,
FBgn0038984,FBtr0084282,106,0,
FBgn0038984,FBtr0308848,106,0,
FBgn0039003,FBtr0084334,107,0,
FBgn0039003,FBtr0302856,107,0,
FBgn0039007,FBtr0084333,108,0,
FBgn0039007,FBtr0335007,108,0,
FBgn0039008,FBtr0084305,109,0,
FBgn0039008,FBtr0347565,109,0,
FBgn0039026,FBtr0084312,110,0,
FBgn0039026,FBtr0310037,110,0,
FBgn0039026,FBtr0113270,111,0,
FBgn0039026,FBtr0344297,111,0,
FBgn0039027,FBtr0084313,112,0,
FBgn0039027,FBtr0339137,112,0,
FBgn0039027,FBtr0345272,112,0,
FBgn0039029,FBtr0084314,113,0,
FBgn0039029,FBtr0339138,113,0,
FBgn0039031,FBtr0084340,114,0,
FBgn0039031,FBtr0339164,114,0,
FBgn0039044,FBtr0084360,115,0,
FBgn0039044,FBtr0301765,115,0,
FBgn0039050,FBtr0084350,116,0,
FBgn0039050,FBtr0337026,116,0,
FBgn0039051,FBtr0084351,117,0,
FBgn0039051,FBtr0337027,117,0,
FBgn0039054,FBtr0302022,118,0,
FBgn0039054,FBtr0302023,118,0,
FBgn0039054,FBtr0337028,118,0,
FBgn0039065,FBtr0084388,119,0,
FBgn0039065,FBtr0301088,119,0,
FBgn0039065,FBtr0334499,119,0,
FBgn0039065,FBtr0334500,119,0,
FBgn0039065,FBtr0334501,119,0,
FBgn0039065,FBtr0334502,119,0,
FBgn0039066,FBtr0084374,120,0,
FBgn0039066,FBtr0084375,120,0,
FBgn0039069,FBtr0084378,121,0,
FBgn0039069,FBtr0334497,121,0,
FBgn0039073,FBtr0084431,122,0,
FBgn0039073,FBtr0339619,122,0,
FBgn0039075,FBtr0301085,123,0,
FBgn0039075,FBtr0339617,123,0,
FBgn0039081,FBtr0084425,124,0,
FBgn0039081,FBtr0339622,124,0,
FBgn0039084,FBtr0084421,125,0,
FBgn0039084,FBtr0344701,125,0,
FBgn0039086,FBtr0084419,126,0,
FBgn0039086,FBtr0303507,126,0,
FBgn0039088,FBtr0084417,127,0,
FBgn0039088,FBtr0300585,127,0,
FBgn0039109,FBtr0084446,128,0,
FBgn0039109,FBtr0084449,128,0,
FBgn0039110,FBtr0084468,129,0,
FBgn0039110,FBtr0335003,129,0,
FBgn0039114,FBtr0084456,130,0,
FBgn0039114,FBtr0335002,130,0,
FBgn0039116,FBtr0084458,131,0,
FBgn0039116,FBtr0300681,131,0,
FBgn0039117,FBtr0084462,132,0,
FBgn0039117,FBtr0334895,132,0,
FBgn0039120,FBtr0084460,133,0,
FBgn0039120,FBtr0334894,133,0,
FBgn0039126,FBtr0084522,134,0,
FBgn0039126,FBtr0330369,134,0,
FBgn0039129,FBtr0084519,135,0,
FBgn0039129,FBtr0332444,135,0,
FBgn0039131,FBtr0084513,136,0,
FBgn0039131,FBtr0084514,136,0,
FBgn0039131,FBtr0308071,136,0,
FBgn0039132,FBtr0305039,137,0,
FBgn0039132,FBtr0305040,137,0,
FBgn0039136,FBtr0084501,138,0,
FBgn0039136,FBtr0084502,138,0,
FBgn0039136,FBtr0301165,138,0,
FBgn0039137,FBtr0084509,139,0,
FBgn0039137,FBtr0330370,139,0,
FBgn0039140,FBtr0084596,140,0,
FBgn0039140,FBtr0303849,140,0,
FBgn0039141,FBtr0084533,141,0,
FBgn0039141,FBtr0084534,141,0,
FBgn0039141,FBtr0445310,141,0,
FBgn0039141,FBtr0321260,142,0,
FBgn0039141,FBtr0346099,142,0,
FBgn0039141,FBtr0445311,142,0,
FBgn0039145,FBtr0334920,143,0,
FBgn0039145,FBtr0343101,143,0,
FBgn0039149,FBtr0305314,144,0,
FBgn0039149,FBtr0339243,144,0,
FBgn0039152,FBtr0304161,145,0,
FBgn0039152,FBtr0339244,145,0,
FBgn0039157,FBtr0084579,146,0,
FBgn0039157,FBtr0100518,146,0,
FBgn0039157,FBtr0100517,147,0,
FBgn0039157,FBtr0310445,147,0,
FBgn0039161,FBtr0110794,148,0,
FBgn0039161,FBtr0344266,148,0,
FBgn0039163,FBtr0084574,149,0,
FBgn0039163,FBtr0345215,149,0,
FBgn0039169,FBtr0084565,150,0,
FBgn0039169,FBtr0330382,150,0,
FBgn0039172,FBtr0084564,151,0,
FBgn0039172,FBtr0305044,151,0,
FBgn0039183,FBtr0084605,152,0,
FBgn0039183,FBtr0334599,152,0,
FBgn0039184,FBtr0084606,153,0,
FBgn0039184,FBtr0346110,153,0,
FBgn0039186,FBtr0084630,154,0,
FBgn0039186,FBtr0334601,154,0,
FBgn0039186,FBtr0334603,154,0,
FBgn0039186,FBtr0273282,155,0,
FBgn0039186,FBtr0334602,155,0,
FBgn0039187,FBtr0273323,156,0,
FBgn0039187,FBtr0273324,156,0,
FBgn0039187,FBtr0330373,156,0,
FBgn0039200,FBtr0084618,157,0,
FBgn0039200,FBtr0345301,157,0,
FBgn0039201,FBtr0084641,158,0,
FBgn0039201,FBtr0334333,158,0,
FBgn0039205,FBtr0084679,159,0,
FBgn0039205,FBtr0334337,159,0,
FBgn0039209,FBtr0084675,160,0,
FBgn0039209,FBtr0345204,160,0,
FBgn0039213,FBtr0084657,161,0,
FBgn0039213,FBtr0345218,161,0,
FBgn0039214,FBtr0084668,162,0,
FBgn0039214,FBtr0306172,162,0,
FBgn0039214,FBtr0330309,162,0,
FBgn0039214,FBtr0339135,162,0,
FBgn0039215,FBtr0089915,163,0,
FBgn0039215,FBtr0089916,163,0,
FBgn0039217,FBtr0084686,164,0,
FBgn0039217,FBtr0339251,164,0,
FBgn0039226,FBtr0331698,165,0,
FBgn0039226,FBtr0331699,165,0,
FBgn0039226,FBtr0345210,165,0,
FBgn0039229,FBtr0331696,166,0,
FBgn0039229,FBtr0392912,166,0,
FBgn0039234,FBtr0301865,167,0,
FBgn0039234,FBtr0334570,167,0,
FBgn0039235,FBtr0084732,168,0,
FBgn0039235,FBtr0308616,168,0,
FBgn0039249,FBtr0337009,169,0,
FBgn0039249,FBtr0337010,169,0,
FBgn0039251,FBtr0084718,170,0,
FBgn0039251,FBtr0337011,170,0,
FBgn0039254,FBtr0084749,171,0,
FBgn0039254,FBtr0337012,171,0,
FBgn0039261,FBtr0084794,172,0,
FBgn0039261,FBtr0334507,172,0,
FBgn0039266,FBtr0084762,173,1,FBtr0113283
FBgn0039266,FBtr0334504,173,0,
FBgn0039266,FBtr0113283,173,1,FBtr0084762
FBgn0039272,FBtr0084767,174,0,
FBgn0039272,FBtr0084768,174,0,
FBgn0039272,FBtr0113284,174,0,
FBgn0039272,FBtr0302404,174,0,
FBgn0039272,FBtr0302405,174,0,
FBgn0039272,FBtr0302406,174,0,
FBgn0039272,FBtr0309271,174,0,
FBgn0039282,FBtr0301670,175,0,
FBgn0039282,FBtr0302168,175,0,
FBgn0039282,FBtr0302169,175,0,
FBgn0039282,FBtr0302170,175,0,
FBgn0039282,FBtr0302171,175,0,
FBgn0039282,FBtr0302172,176,0,
FBgn0039282,FBtr0345299,176,0,
FBgn0039286,FBtr0084803,177,0,
FBgn0039286,FBtr0330288,177,0,
FBgn0039286,FBtr0330289,177,0,
FBgn0039294,FBtr0301090,178,0,
FBgn0039294,FBtr0302299,178,0,
FBgn0039294,FBtr0339260,178,0,
FBgn0039298,FBtr0084810,179,0,
FBgn0039298,FBtr0339258,179,0,
FBgn0039300,FBtr0084868,180,0,
FBgn0039300,FBtr0304693,180,0,
FBgn0039303,FBtr0084814,181,0,
FBgn0039303,FBtr0347395,181,0,
FBgn0039321,FBtr0084857,182,0,
FBgn0039321,FBtr0084858,182,0,
FBgn0039321,FBtr0305953,182,0,
FBgn0039329,FBtr0084848,183,0,
FBgn0039329,FBtr0300687,183,0,
FBgn0039338,FBtr0084837,184,0,
FBgn0039338,FBtr0344718,184,0,
FBgn0039338,FBtr0084838,185,0,
FBgn0039338,FBtr0344719,185,0,
FBgn0039347,FBtr0084884,186,0,
FBgn0039347,FBtr0392910,186,0,
FBgn0039347,FBtr0084885,187,0,
FBgn0039347,FBtr0304805,187,0,
FBgn0039348,FBtr0084892,188,0,
FBgn0039348,FBtr0300730,188,0,
FBgn0039349,FBtr0084891,189,0,
FBgn0039349,FBtr0100569,189,0,
FBgn0039349,FBtr0100570,189,0,
FBgn0039349,FBtr0100571,189,0,
FBgn0039349,FBtr0300728,189,0,
FBgn0039350,FBtr0084886,190,0,
FBgn0039350,FBtr0084887,190,0,
FBgn0039350,FBtr0113287,190,0,
FBgn0039350,FBtr0445401,190,0,
FBgn0039355,FBtr0084934,191,0,
FBgn0039355,FBtr0331363,191,0,
FBgn0039355,FBtr0331364,191,0,
FBgn0039359,FBtr0084932,192,0,
FBgn0039359,FBtr0331360,192,0,
FBgn0039359,FBtr0331361,192,0,
FBgn0039359,FBtr0331362,192,0,
FBgn0039360,FBtr0084929,193,0,
FBgn0039360,FBtr0331359,193,0,
FBgn0039360,FBtr0084930,194,0,
FBgn0039360,FBtr0084931,194,0,
FBgn0039368,FBtr0302177,195,0,
FBgn0039368,FBtr0337040,195,0,
FBgn0039371,FBtr0084919,196,0,
FBgn0039371,FBtr0346108,196,0,
FBgn0039373,FBtr0084902,197,0,
FBgn0039373,FBtr0301962,197,0,
FBgn0039381,FBtr0084909,198,0,
FBgn0039381,FBtr0300820,198,0,
FBgn0039381,FBtr0084910,199,0,
FBgn0039381,FBtr0300819,199,0,
FBgn0039386,FBtr0084939,200,0,
FBgn0039386,FBtr0309040,200,0,
FBgn0039406,FBtr0084972,201,0,
FBgn0039406,FBtr0084973,201,0,
FBgn0039406,FBtr0302369,201,0,
FBgn0039407,FBtr0084969,202,0,
FBgn0039407,FBtr0346731,202,0,
FBgn0039408,FBtr0084971,203,0,
FBgn0039408,FBtr0337058,203,0,
FBgn0039417,FBtr0085003,204,0,
FBgn0039417,FBtr0307342,204,0,
FBgn0039419,FBtr0084990,205,0,
FBgn0039419,FBtr0339612,205,0,
FBgn0039427,FBtr0085012,206,0,
FBgn0039427,FBtr0330152,206,0,
FBgn0039431,FBtr0302209,207,0,
FBgn0039431,FBtr0302210,207,0,
FBgn0039431,FBtr0305049,207,0,
FBgn0039431,FBtr0344120,207,0,
FBgn0039450,FBtr0085037,208,0,
FBgn0039450,FBtr0085038,208,0,
FBgn0039450,FBtr0085039,208,0,
FBgn0039451,FBtr0085046,209,0,
FBgn0039451,FBtr0339242,209,0,
FBgn0039452,FBtr0100553,210,0,
FBgn0039452,FBtr0339240,210,0,
FBgn0039453,FBtr0085044,211,0,
FBgn0039453,FBtr0339241,211,0,
FBgn0039465,FBtr0085082,212,0,
FBgn0039465,FBtr0336726,212,0,
FBgn0039465,FBtr0344665,212,0,
FBgn0039465,FBtr0273310,213,0,
FBgn0039465,FBtr0344664,213,0,
FBgn0039467,FBtr0085071,214,0,
FBgn0039467,FBtr0085072,214,0,
FBgn0039467,FBtr0085073,214,0,
FBgn0039467,FBtr0085074,214,0,
FBgn0039478,FBtr0113296,215,0,
FBgn0039478,FBtr0346156,215,0,
FBgn0039478,FBtr0331704,216,0,
FBgn0039478,FBtr0331705,216,0,
FBgn0039479,FBtr0299564,217,0,
FBgn0039479,FBtr0331702,217,0,
FBgn0039487,FBtr0085132,218,0,
FBgn0039487,FBtr0345216,218,0,
FBgn0039487,FBtr0347412,218,0,
FBgn0039492,FBtr0113297,219,0,
FBgn0039492,FBtr0305050,219,0,
FBgn0039492,FBtr0339264,219,0,
FBgn0039504,FBtr0085157,220,0,
FBgn0039504,FBtr0334728,220,0,
FBgn0039507,FBtr0305973,221,0,
FBgn0039507,FBtr0305975,221,0,
FBgn0039519,FBtr0085183,222,0,
FBgn0039519,FBtr0339319,222,0,
FBgn0039528,FBtr0301390,223,0,
FBgn0039528,FBtr0335247,223,0,
FBgn0039530,FBtr0302590,224,0,
FBgn0039530,FBtr0335245,224,0,
FBgn0039530,FBtr0335246,224,0,
FBgn0039531,FBtr0085199,225,0,
FBgn0039531,FBtr0344340,225,0,
FBgn0039532,FBtr0085191,226,0,
FBgn0039532,FBtr0085192,226,0,
FBgn0039536,FBtr0330108,227,0,
FBgn0039536,FBtr0330112,227,0,
FBgn0039536,FBtr0330110,228,0,
FBgn0039536,FBtr0330111,228,0,
FBgn0039543,FBtr0085238,229,0,
FBgn0039543,FBtr0085239,229,0,
FBgn0039543,FBtr0085240,229,0,
FBgn0039543,FBtr0452076,229,0,
FBgn0039559,FBtr0085267,230,0,
FBgn0039559,FBtr0335014,230,0,
FBgn0039560,FBtr0301143,231,0,
FBgn0039560,FBtr0335012,231,0,
FBgn0039560,FBtr0335013,231,0,
FBgn0039581,FBtr0085286,232,0,
FBgn0039581,FBtr0085287,232,0,
FBgn0039584,FBtr0085289,233,0,
FBgn0039584,FBtr0333336,233,0,
FBgn0039594,FBtr0085309,234,0,
FBgn0039594,FBtr0303343,234,0,
FBgn0039594,FBtr0305088,234,0,
FBgn0039595,FBtr0085316,235,0,
FBgn0039595,FBtr0336790,235,0,
FBgn0039600,FBtr0085322,236,0,
FBgn0039600,FBtr0085323,236,0,
FBgn0039600,FBtr0085325,236,0,
FBgn0039602,FBtr0085326,237,0,
FBgn0039602,FBtr0336764,237,0,
FBgn0039622,FBtr0085344,238,0,
FBgn0039622,FBtr0302515,238,0,
FBgn0039622,FBtr0302516,238,0,
FBgn0039630,FBtr0085363,239,0,
FBgn0039630,FBtr0346138,239,0,
FBgn0039633,FBtr0085365,240,0,
FBgn0039633,FBtr0330299,240,0,
FBgn0039637,FBtr0085371,241,0,
FBgn0039637,FBtr0085373,241,0,
FBgn0039642,FBtr0085411,242,0,
FBgn0039642,FBtr0335407,242,0,
FBgn0039647,FBtr0113303,243,0,
FBgn0039647,FBtr0334533,243,0,
FBgn0039647,FBtr0113304,244,0,
FBgn0039647,FBtr0334534,244,0,
FBgn0039664,FBtr0085425,245,0,
FBgn0039664,FBtr0303455,245,0,
FBgn0039665,FBtr0085433,246,0,
FBgn0039665,FBtr0085434,246,0,
FBgn0039668,FBtr0085430,247,0,
FBgn0039668,FBtr0085432,247,0,
FBgn0039668,FBtr0333188,247,0,
FBgn0039671,FBtr0085471,248,0,
FBgn0039671,FBtr0339895,248,0,
FBgn0039673,FBtr0330294,249,0,
FBgn0039673,FBtr0330295,249,0,
FBgn0039675,FBtr0085448,250,0,
FBgn0039675,FBtr0332440,250,0,
FBgn0039676,FBtr0332442,251,0,
FBgn0039676,FBtr0332443,251,0,
FBgn0039678,FBtr0085450,252,0,
FBgn0039678,FBtr0339147,252,0,
FBgn0039688,FBtr0085460,253,0,
FBgn0039688,FBtr0339717,253,0,
FBgn0039690,FBtr0085474,254,0,
FBgn0039690,FBtr0330296,254,0,
FBgn0039690,FBtr0085475,255,0,
FBgn0039690,FBtr0333821,255,0,
FBgn0039704,FBtr0085485,256,0,
FBgn0039704,FBtr0085486,256,0,
FBgn0039705,FBtr0085528,257,0,
FBgn0039705,FBtr0339144,257,0,
FBgn0039707,FBtr0301746,258,0,
FBgn0039707,FBtr0339143,258,0,
FBgn0039711,FBtr0089927,259,0,
FBgn0039711,FBtr0303035,259,0,
FBgn0039712,FBtr0085523,260,0,
FBgn0039712,FBtr0335005,260,0,
FBgn0039713,FBtr0085489,261,0,
FBgn0039713,FBtr0310274,261,0,
FBgn0039713,FBtr0346158,261,0,
FBgn0039714,FBtr0089925,262,0,
FBgn0039714,FBtr0303033,262,0,
FBgn0039714,FBtr0303034,262,0,
FBgn0039723,FBtr0085503,263,0,
FBgn0039723,FBtr0331355,263,0,
FBgn0039730,FBtr0085608,264,0,
FBgn0039730,FBtr0334707,264,0,
FBgn0039733,FBtr0085548,265,0,
FBgn0039733,FBtr0085549,265,0,
FBgn0039735,FBtr0085606,266,0,
FBgn0039735,FBtr0113308,266,0,
FBgn0039737,FBtr0085603,267,0,
FBgn0039737,FBtr0334706,267,0,
FBgn0039741,FBtr0085559,268,0,
FBgn0039741,FBtr0085560,268,0,
FBgn0039743,FBtr0085561,269,0,
FBgn0039743,FBtr0310420,269,0,
FBgn0039747,FBtr0085581,270,0,
FBgn0039747,FBtr0334658,270,0,
FBgn0039748,FBtr0085567,271,0,
FBgn0039748,FBtr0347342,271,0,
FBgn0039751,FBtr0085574,272,0,
FBgn0039751,FBtr0339185,272,0,
FBgn0039752,FBtr0085568,273,0,
FBgn0039752,FBtr0085569,273,0,
FBgn0039752,FBtr0339182,273,0,
FBgn0039754,FBtr0085573,274,0,
FBgn0039754,FBtr0346162,274,0,
FBgn0039757,FBtr0089422,275,0,
FBgn0039757,FBtr0089425,275,0,
FBgn0039757,FBtr0089423,276,0,
FBgn0039757,FBtr0339183,276,0,
FBgn0039759,FBtr0085638,277,0,
FBgn0039759,FBtr0345122,277,0,
FBgn0039760,FBtr0345230,278,0,
FBgn0039760,FBtr0345231,278,0,
FBgn0039764,FBtr0085629,279,0,
FBgn0039764,FBtr0346511,279,0,
FBgn0039767,FBtr0085627,280,0,
FBgn0039767,FBtr0339142,280,0,
FBgn0039770,FBtr0113310,281,0,
FBgn0039770,FBtr0339141,281,0,
FBgn0039773,FBtr0085691,282,0,
FBgn0039773,FBtr0331358,282,0,
FBgn0039774,FBtr0085646,283,0,
FBgn0039774,FBtr0085647,283,0,
FBgn0039774,FBtr0085648,283,0,
FBgn0039782,FBtr0110859,284,0,
FBgn0039782,FBtr0345121,284,0,
FBgn0039787,FBtr0085664,285,0,
FBgn0039787,FBtr0336448,285,0,
FBgn0039787,FBtr0336449,285,0,
FBgn0039790,FBtr0085673,286,0,
FBgn0039790,FBtr0085674,286,0,
FBgn0039790,FBtr0085676,287,0,
FBgn0039790,FBtr0085677,287,0,
FBgn0039790,FBtr0302609,287,0,
FBgn0039790,FBtr0302610,287,0,
FBgn0039790,FBtr0335445,287,0,
FBgn0039790,FBtr0302313,288,0,
FBgn0039790,FBtr0302608,288,0,
FBgn0039790,FBtr0335443,288,0,
