gene_id,xscript_model_id,ERS_grp_num,ERS_grp_size,flag_nonolp_pair,nonolp_xscript_id
FBgn0038763,FBtr0344139,75,3,0,
FBgn0038783,FBtr0083901,76,2,0,
FBgn0038783,FBtr0344245,76,2,0,
FBgn0038787,FBtr0083899,77,2,0,
FBgn0038787,FBtr0113252,77,2,0,
FBgn0038788,FBtr0083882,78,2,0,
FBgn0038788,FBtr0344243,78,2,0,
FBgn0038803,FBtr0083904,79,2,0,
FBgn0038803,FBtr0083906,79,2,0,
FBgn0038803,FBtr0083905,80,3,0,
FBgn0038803,FBtr0083907,80,3,0,
FBgn0038803,FBtr0345213,80,3,0,
FBgn0038805,FBtr0083948,81,2,0,
FBgn0038805,FBtr0083949,81,2,0,
FBgn0038811,FBtr0083944,82,2,0,
FBgn0038811,FBtr0302323,82,2,0,
FBgn0038814,FBtr0113254,83,2,0,
FBgn0038814,FBtr0330028,83,2,0,
FBgn0038818,FBtr0083936,84,2,0,
FBgn0038818,FBtr0334642,84,2,0,
FBgn0038828,FBtr0083994,85,2,0,
FBgn0038828,FBtr0334723,85,2,0,
FBgn0038834,FBtr0083969,86,2,0,
FBgn0038834,FBtr0346148,86,2,0,
FBgn0038839,FBtr0083986,87,2,0,
FBgn0038839,FBtr0347575,87,2,0,
FBgn0038840,FBtr0083978,88,3,0,
FBgn0038840,FBtr0335015,88,3,1,FBtr0335016
FBgn0038840,FBtr0335016,88,3,1,FBtr0335015
FBgn0038842,FBtr0083979,89,2,0,
FBgn0038842,FBtr0334919,89,2,0,
FBgn0038846,FBtr0084001,90,4,0,
FBgn0038846,FBtr0309206,90,4,0,
FBgn0038846,FBtr0309207,90,4,0,
FBgn0038846,FBtr0309208,90,4,0,
FBgn0038849,FBtr0084043,91,2,0,
FBgn0038849,FBtr0346111,91,2,0,
FBgn0038850,FBtr0300816,92,2,0,
FBgn0038850,FBtr0345303,92,2,0,
FBgn0038860,FBtr0084015,93,2,0,
FBgn0038860,FBtr0113258,93,2,0,
FBgn0038871,FBtr0084107,94,2,0,
FBgn0038871,FBtr0347217,94,2,0,
FBgn0038872,FBtr0084051,95,3,0,
FBgn0038872,FBtr0330376,95,3,0,
FBgn0038872,FBtr0339192,95,3,0,
FBgn0038874,FBtr0084054,96,2,0,
FBgn0038874,FBtr0339194,96,2,0,
FBgn0038876,FBtr0084055,97,2,0,
FBgn0038876,FBtr0300616,97,2,0,
FBgn0038880,FBtr0084098,98,2,0,
FBgn0038880,FBtr0301815,98,2,0,
FBgn0038881,FBtr0084095,99,4,0,
FBgn0038881,FBtr0343805,99,4,0,
FBgn0038881,FBtr0343806,99,4,0,
FBgn0038881,FBtr0343807,99,4,0,
FBgn0038887,FBtr0113261,100,2,0,
FBgn0038887,FBtr0113262,100,2,0,
FBgn0038889,FBtr0084109,101,2,0,
FBgn0038889,FBtr0334662,101,2,0,
FBgn0038890,FBtr0084112,102,3,0,
FBgn0038890,FBtr0301211,102,3,0,
FBgn0038890,FBtr0334664,102,3,0,
FBgn0038890,FBtr0301212,103,2,0,
FBgn0038890,FBtr0334663,103,2,0,
FBgn0038897,FBtr0084125,104,2,0,
FBgn0038897,FBtr0301164,104,2,0,
FBgn0038909,FBtr0084155,105,2,0,
FBgn0038909,FBtr0084156,105,2,0,
FBgn0038909,FBtr0113263,106,2,0,
FBgn0038909,FBtr0334880,106,2,0,
FBgn0038922,FBtr0084190,107,2,0,
FBgn0038922,FBtr0300788,107,2,0,
FBgn0038925,FBtr0084185,108,2,0,
FBgn0038925,FBtr0335198,108,2,0,
FBgn0038930,FBtr0084182,109,2,0,
FBgn0038930,FBtr0335197,109,2,0,
FBgn0038938,FBtr0084201,110,4,1,FBtr0301190|FBtr0321268
FBgn0038938,FBtr0344797,110,4,0,
FBgn0038938,FBtr0301190,110,4,1,FBtr0084201
FBgn0038938,FBtr0321268,110,4,1,FBtr0084201
FBgn0038938,FBtr0301190,111,2,0,
FBgn0038938,FBtr0321268,111,2,0,
FBgn0038947,FBtr0084206,112,3,0,
FBgn0038947,FBtr0084208,112,3,0,
FBgn0038947,FBtr0084209,112,3,0,
FBgn0038948,FBtr0084239,113,2,0,
FBgn0038948,FBtr0330378,113,2,0,
FBgn0038957,FBtr0084219,114,2,0,
FBgn0038957,FBtr0084221,114,2,0,
FBgn0038965,FBtr0084229,115,3,0,
FBgn0038965,FBtr0337044,115,3,0,
FBgn0038965,FBtr0345205,115,3,0,
FBgn0038966,FBtr0084297,116,2,0,
FBgn0038966,FBtr0346142,116,2,0,
FBgn0038967,FBtr0301711,117,2,0,
FBgn0038967,FBtr0337045,117,2,0,
FBgn0038975,FBtr0084256,118,2,0,
FBgn0038975,FBtr0301485,118,2,0,
FBgn0038975,FBtr0334607,119,6,0,
FBgn0038975,FBtr0334608,119,6,0,
FBgn0038975,FBtr0334609,119,6,0,
FBgn0038975,FBtr0334610,119,6,0,
FBgn0038975,FBtr0334612,119,6,0,
FBgn0038975,FBtr0345228,119,6,0,
FBgn0038976,FBtr0084257,120,2,0,
FBgn0038976,FBtr0301486,120,2,0,
FBgn0038980,FBtr0084260,121,2,0,
FBgn0038980,FBtr0331930,121,2,0,
FBgn0038984,FBtr0084282,122,2,0,
FBgn0038984,FBtr0308848,122,2,0,
FBgn0039003,FBtr0084334,123,2,0,
FBgn0039003,FBtr0302856,123,2,0,
FBgn0039007,FBtr0084333,124,2,0,
FBgn0039007,FBtr0335007,124,2,0,
FBgn0039008,FBtr0084305,125,2,0,
FBgn0039008,FBtr0347565,125,2,0,
FBgn0039026,FBtr0084312,126,2,0,
FBgn0039026,FBtr0310037,126,2,0,
FBgn0039026,FBtr0113270,127,3,0,
FBgn0039026,FBtr0310038,127,3,0,
FBgn0039026,FBtr0344297,127,3,0,
FBgn0039027,FBtr0084313,128,3,0,
FBgn0039027,FBtr0339137,128,3,0,
FBgn0039027,FBtr0345272,128,3,0,
FBgn0039029,FBtr0084314,129,2,0,
FBgn0039029,FBtr0339138,129,2,0,
FBgn0039031,FBtr0084340,130,2,0,
FBgn0039031,FBtr0339164,130,2,0,
FBgn0039044,FBtr0084360,131,2,0,
FBgn0039044,FBtr0301765,131,2,0,
FBgn0039050,FBtr0084350,132,2,0,
FBgn0039050,FBtr0337026,132,2,0,
FBgn0039051,FBtr0084351,133,2,0,
FBgn0039051,FBtr0337027,133,2,0,
FBgn0039054,FBtr0302022,134,3,0,
FBgn0039054,FBtr0302023,134,3,0,
FBgn0039054,FBtr0337028,134,3,0,
FBgn0039065,FBtr0084388,135,6,0,
FBgn0039065,FBtr0301088,135,6,0,
FBgn0039065,FBtr0334499,135,6,0,
FBgn0039065,FBtr0334500,135,6,0,
FBgn0039065,FBtr0334501,135,6,0,
FBgn0039065,FBtr0334502,135,6,0,
FBgn0039066,FBtr0084374,136,2,0,
FBgn0039066,FBtr0084375,136,2,0,
FBgn0039069,FBtr0084378,137,2,0,
FBgn0039069,FBtr0334497,137,2,0,
FBgn0039073,FBtr0084431,138,2,0,
FBgn0039073,FBtr0339619,138,2,0,
FBgn0039075,FBtr0301085,139,2,0,
FBgn0039075,FBtr0339617,139,2,0,
FBgn0039081,FBtr0084425,140,2,0,
FBgn0039081,FBtr0339622,140,2,0,
FBgn0039084,FBtr0084421,141,3,0,
FBgn0039084,FBtr0084422,141,3,0,
FBgn0039084,FBtr0344701,141,3,0,
FBgn0039086,FBtr0084419,142,2,0,
FBgn0039086,FBtr0303507,142,2,0,
FBgn0039088,FBtr0084417,143,2,0,
FBgn0039088,FBtr0300585,143,2,0,
FBgn0039089,FBtr0084433,144,2,0,
FBgn0039089,FBtr0332427,144,2,0,
FBgn0039109,FBtr0084446,145,2,0,
FBgn0039109,FBtr0084449,145,2,0,
FBgn0039110,FBtr0084468,146,2,0,
FBgn0039110,FBtr0335003,146,2,0,
FBgn0039113,FBtr0084464,147,2,0,
FBgn0039113,FBtr0084465,147,2,0,
FBgn0039114,FBtr0084456,148,3,0,
FBgn0039114,FBtr0084457,148,3,0,
FBgn0039114,FBtr0335002,148,3,0,
FBgn0039116,FBtr0084458,149,2,0,
FBgn0039116,FBtr0300681,149,2,0,
FBgn0039117,FBtr0084462,150,2,0,
FBgn0039117,FBtr0334895,150,2,0,
FBgn0039120,FBtr0084460,151,2,0,
FBgn0039120,FBtr0334894,151,2,0,
FBgn0039126,FBtr0084522,152,2,0,
FBgn0039126,FBtr0330369,152,2,0,
FBgn0039129,FBtr0084519,153,2,0,
FBgn0039129,FBtr0332444,153,2,0,
FBgn0039131,FBtr0084513,154,3,0,
FBgn0039131,FBtr0084514,154,3,0,
FBgn0039131,FBtr0308071,154,3,0,
FBgn0039132,FBtr0305039,155,2,0,
FBgn0039132,FBtr0305040,155,2,0,
FBgn0039136,FBtr0084501,156,3,0,
FBgn0039136,FBtr0084502,156,3,0,
FBgn0039136,FBtr0301165,156,3,0,
FBgn0039137,FBtr0084509,157,2,0,
FBgn0039137,FBtr0330370,157,2,0,
FBgn0039140,FBtr0084596,158,2,0,
FBgn0039140,FBtr0303849,158,2,0,
FBgn0039141,FBtr0084533,159,3,0,
FBgn0039141,FBtr0084534,159,3,0,
FBgn0039141,FBtr0445310,159,3,0,
FBgn0039141,FBtr0321260,160,3,0,
FBgn0039141,FBtr0346099,160,3,0,
FBgn0039141,FBtr0445311,160,3,0,
FBgn0039145,FBtr0334920,161,2,0,
FBgn0039145,FBtr0343101,161,2,0,
FBgn0039149,FBtr0084543,162,3,0,
FBgn0039149,FBtr0305314,162,3,0,
FBgn0039149,FBtr0339243,162,3,0,
FBgn0039152,FBtr0304161,163,2,0,
FBgn0039152,FBtr0339244,163,2,0,
FBgn0039157,FBtr0084579,164,2,0,
FBgn0039157,FBtr0100518,164,2,0,
FBgn0039157,FBtr0100517,165,2,0,
FBgn0039157,FBtr0310445,165,2,0,
FBgn0039161,FBtr0084553,166,2,0,
FBgn0039161,FBtr0335412,166,2,0,
FBgn0039161,FBtr0110794,167,2,0,
FBgn0039161,FBtr0344266,167,2,0,
FBgn0039163,FBtr0084574,168,4,0,
FBgn0039163,FBtr0084575,168,4,0,
FBgn0039163,FBtr0335413,168,4,1,FBtr0345215
FBgn0039163,FBtr0345215,168,4,1,FBtr0335413
FBgn0039169,FBtr0084565,169,2,0,
FBgn0039169,FBtr0330382,169,2,0,
FBgn0039172,FBtr0084564,170,2,0,
FBgn0039172,FBtr0305044,170,2,0,
FBgn0039183,FBtr0084605,171,2,0,
FBgn0039183,FBtr0334599,171,2,0,
FBgn0039184,FBtr0084606,172,2,0,
FBgn0039184,FBtr0346110,172,2,0,
FBgn0039186,FBtr0084630,173,7,0,
FBgn0039186,FBtr0084631,173,7,0,
FBgn0039186,FBtr0273282,173,7,0,
FBgn0039186,FBtr0273283,173,7,0,
FBgn0039186,FBtr0334601,173,7,0,
FBgn0039186,FBtr0334602,173,7,0,
FBgn0039186,FBtr0334603,173,7,0,
FBgn0039187,FBtr0273323,174,3,0,
FBgn0039187,FBtr0273324,174,3,0,
FBgn0039187,FBtr0330373,174,3,0,
FBgn0039200,FBtr0084618,175,2,0,
FBgn0039200,FBtr0345301,175,2,0,
FBgn0039201,FBtr0084641,176,2,0,
FBgn0039201,FBtr0334333,176,2,0,
FBgn0039205,FBtr0084679,177,2,0,
FBgn0039205,FBtr0334337,177,2,0,
FBgn0039209,FBtr0084672,178,2,0,
FBgn0039209,FBtr0110795,178,2,0,
FBgn0039209,FBtr0084674,179,2,0,
FBgn0039209,FBtr0110796,179,2,0,
FBgn0039209,FBtr0084675,180,2,0,
FBgn0039209,FBtr0345204,180,2,0,
FBgn0039213,FBtr0084657,181,2,0,
FBgn0039213,FBtr0345218,181,2,0,
FBgn0039214,FBtr0084668,182,5,0,
FBgn0039214,FBtr0306172,182,5,0,
FBgn0039214,FBtr0330308,182,5,0,
FBgn0039214,FBtr0330309,182,5,0,
FBgn0039214,FBtr0339135,182,5,0,
FBgn0039215,FBtr0089915,183,2,0,
FBgn0039215,FBtr0089916,183,2,0,
FBgn0039217,FBtr0084686,184,2,0,
FBgn0039217,FBtr0339251,184,2,0,
FBgn0039226,FBtr0331698,185,3,0,
FBgn0039226,FBtr0331699,185,3,0,
FBgn0039226,FBtr0345210,185,3,0,
FBgn0039229,FBtr0084700,186,4,1,FBtr0331696
FBgn0039229,FBtr0392911,186,4,0,
FBgn0039229,FBtr0392912,186,4,0,
FBgn0039229,FBtr0331696,186,4,1,FBtr0084700
FBgn0039234,FBtr0084705,187,4,1,FBtr0334570
FBgn0039234,FBtr0301865,187,4,0,
FBgn0039234,FBtr0306087,187,4,0,
FBgn0039234,FBtr0334570,187,4,1,FBtr0084705
FBgn0039235,FBtr0084732,188,2,0,
FBgn0039235,FBtr0308616,188,2,0,
FBgn0039240,FBtr0334574,189,4,0,
FBgn0039240,FBtr0334575,189,4,0,
FBgn0039240,FBtr0334576,189,4,0,
FBgn0039240,FBtr0334577,189,4,0,
FBgn0039249,FBtr0084715,190,2,0,
FBgn0039249,FBtr0306089,190,2,0,
FBgn0039249,FBtr0337009,191,2,0,
FBgn0039249,FBtr0337010,191,2,0,
FBgn0039251,FBtr0084718,192,2,0,
FBgn0039251,FBtr0337011,192,2,0,
FBgn0039254,FBtr0084749,193,2,0,
FBgn0039254,FBtr0337012,193,2,0,
FBgn0039261,FBtr0084794,194,3,0,
FBgn0039261,FBtr0084795,194,3,0,
FBgn0039261,FBtr0334507,194,3,0,
FBgn0039265,FBtr0084760,195,2,0,
FBgn0039265,FBtr0084761,195,2,0,
FBgn0039266,FBtr0084762,196,4,1,FBtr0113283|FBtr0084763
FBgn0039266,FBtr0334504,196,4,0,
FBgn0039266,FBtr0084763,196,4,1,FBtr0084762
FBgn0039266,FBtr0113283,196,4,1,FBtr0084762
FBgn0039266,FBtr0084763,197,2,0,
FBgn0039266,FBtr0113283,197,2,0,
FBgn0039269,FBtr0084787,198,2,0,
FBgn0039269,FBtr0301664,198,2,0,
FBgn0039272,FBtr0084767,199,7,0,
FBgn0039272,FBtr0084768,199,7,0,
FBgn0039272,FBtr0113284,199,7,0,
FBgn0039272,FBtr0302404,199,7,0,
FBgn0039272,FBtr0302405,199,7,0,
FBgn0039272,FBtr0302406,199,7,0,
FBgn0039272,FBtr0309271,199,7,0,
FBgn0039282,FBtr0301670,200,5,0,
FBgn0039282,FBtr0302168,200,5,0,
FBgn0039282,FBtr0302169,200,5,0,
FBgn0039282,FBtr0302170,200,5,0,
FBgn0039282,FBtr0302171,200,5,0,
FBgn0039282,FBtr0302172,201,2,0,
FBgn0039282,FBtr0345299,201,2,0,
FBgn0039286,FBtr0084803,202,3,0,
FBgn0039286,FBtr0330288,202,3,0,
FBgn0039286,FBtr0330289,202,3,0,
FBgn0039294,FBtr0301090,203,3,0,
FBgn0039294,FBtr0302299,203,3,0,
FBgn0039294,FBtr0339260,203,3,0,
FBgn0039298,FBtr0084810,204,2,0,
FBgn0039298,FBtr0339258,204,2,0,
FBgn0039300,FBtr0084868,205,2,0,
FBgn0039300,FBtr0304693,205,2,0,
FBgn0039302,FBtr0084813,206,2,0,
FBgn0039302,FBtr0304692,206,2,0,
FBgn0039303,FBtr0084814,207,2,0,
FBgn0039303,FBtr0347395,207,2,0,
FBgn0039321,FBtr0084857,208,3,0,
FBgn0039321,FBtr0084858,208,3,0,
FBgn0039321,FBtr0305953,208,3,0,
FBgn0039329,FBtr0084848,209,2,0,
FBgn0039329,FBtr0300687,209,2,0,
FBgn0039338,FBtr0084837,210,2,0,
FBgn0039338,FBtr0344718,210,2,0,
FBgn0039338,FBtr0084838,211,2,0,
FBgn0039338,FBtr0344719,211,2,0,
FBgn0039347,FBtr0084884,212,4,0,
FBgn0039347,FBtr0084885,212,4,0,
FBgn0039347,FBtr0304805,212,4,0,
FBgn0039347,FBtr0392910,212,4,0,
FBgn0039348,FBtr0084892,213,2,0,
FBgn0039348,FBtr0300730,213,2,0,
FBgn0039349,FBtr0084891,214,5,0,
FBgn0039349,FBtr0100569,214,5,0,
FBgn0039349,FBtr0100570,214,5,0,
FBgn0039349,FBtr0100571,214,5,0,
FBgn0039349,FBtr0300728,214,5,0,
FBgn0039350,FBtr0084886,215,4,0,
FBgn0039350,FBtr0084887,215,4,0,
FBgn0039350,FBtr0113287,215,4,0,
FBgn0039350,FBtr0445401,215,4,0,
FBgn0039355,FBtr0084934,216,3,0,
FBgn0039355,FBtr0331363,216,3,0,
FBgn0039355,FBtr0331364,216,3,0,
FBgn0039359,FBtr0084932,217,4,0,
FBgn0039359,FBtr0331360,217,4,0,
FBgn0039359,FBtr0331361,217,4,0,
FBgn0039359,FBtr0331362,217,4,0,
FBgn0039360,FBtr0084929,218,2,0,
FBgn0039360,FBtr0331359,218,2,0,
FBgn0039360,FBtr0084930,219,2,0,
FBgn0039360,FBtr0084931,219,2,0,
FBgn0039368,FBtr0084922,220,3,0,
FBgn0039368,FBtr0302177,220,3,0,
FBgn0039368,FBtr0337040,220,3,0,
FBgn0039371,FBtr0084919,221,2,0,
FBgn0039371,FBtr0346108,221,2,0,
FBgn0039373,FBtr0084902,222,2,0,
FBgn0039373,FBtr0301962,222,2,0,
FBgn0039380,FBtr0339158,223,2,0,
FBgn0039380,FBtr0339159,223,2,0,
FBgn0039381,FBtr0084909,224,2,0,
FBgn0039381,FBtr0300820,224,2,0,
FBgn0039381,FBtr0084910,225,2,0,
FBgn0039381,FBtr0300819,225,2,0,
FBgn0039386,FBtr0084939,226,2,0,
FBgn0039386,FBtr0309040,226,2,0,
FBgn0039406,FBtr0084972,227,3,0,
FBgn0039406,FBtr0084973,227,3,0,
FBgn0039406,FBtr0302369,227,3,0,
FBgn0039407,FBtr0084969,228,2,0,
FBgn0039407,FBtr0346731,228,2,0,
FBgn0039408,FBtr0084971,229,2,0,
FBgn0039408,FBtr0337058,229,2,0,
FBgn0039411,FBtr0113294,230,2,0,
FBgn0039411,FBtr0300618,230,2,0,
FBgn0039417,FBtr0085003,231,2,0,
FBgn0039417,FBtr0307342,231,2,0,
FBgn0039419,FBtr0084990,232,2,0,
FBgn0039419,FBtr0339612,232,2,0,
FBgn0039425,FBtr0085006,233,2,0,
FBgn0039425,FBtr0306708,233,2,0,
FBgn0039427,FBtr0085012,234,2,0,
FBgn0039427,FBtr0330152,234,2,0,
FBgn0039431,FBtr0302209,235,4,0,
FBgn0039431,FBtr0302210,235,4,0,
FBgn0039431,FBtr0305049,235,4,0,
FBgn0039431,FBtr0344120,235,4,0,
FBgn0039437,FBtr0085055,236,2,0,
FBgn0039437,FBtr0085056,236,2,0,
FBgn0039450,FBtr0085037,237,3,0,
FBgn0039450,FBtr0085038,237,3,0,
FBgn0039450,FBtr0085039,237,3,0,
FBgn0039451,FBtr0085046,238,2,0,
FBgn0039451,FBtr0339242,238,2,0,
FBgn0039452,FBtr0100553,239,2,0,
FBgn0039452,FBtr0339240,239,2,0,
FBgn0039453,FBtr0085044,240,2,0,
FBgn0039453,FBtr0339241,240,2,0,
FBgn0039465,FBtr0085082,241,3,0,
FBgn0039465,FBtr0336726,241,3,0,
FBgn0039465,FBtr0344665,241,3,0,
FBgn0039465,FBtr0273310,242,2,0,
FBgn0039465,FBtr0344664,242,2,0,
FBgn0039467,FBtr0085071,243,5,1,FBtr0331701
FBgn0039467,FBtr0085072,243,5,1,FBtr0331701
FBgn0039467,FBtr0085073,243,5,0,
FBgn0039467,FBtr0085074,243,5,1,FBtr0331701
FBgn0039467,FBtr0331701,243,5,1,FBtr0085072|FBtr0085074|FBtr0085071
FBgn0039478,FBtr0113296,244,4,0,
FBgn0039478,FBtr0331704,244,4,0,
FBgn0039478,FBtr0331705,244,4,0,
FBgn0039478,FBtr0346156,244,4,0,
FBgn0039479,FBtr0299564,245,2,0,
FBgn0039479,FBtr0331702,245,2,0,
FBgn0039487,FBtr0085132,246,3,0,
