"ERS_grp_num","ERS_grp_size","gene_id","xscripts","flag_nonolp_pair","flag_IR_exclusion"
41,5,"FBgn0038603","FBtr0083592|FBtr0330312|FBtr0083590|FBtr0083591|FBtr0330313",1,0
42,3,"FBgn0038608","FBtr0302307|FBtr0083586|FBtr0339976",0,0
43,2,"FBgn0038610","FBtr0083581|FBtr0083583",0,0
44,2,"FBgn0038610","FBtr0083582|FBtr0344550",0,0
45,2,"FBgn0038619","FBtr0333830|FBtr0083630",0,0
46,3,"FBgn0038630","FBtr0083636|FBtr0083634|FBtr0305956",0,0
47,2,"FBgn0038638","FBtr0083664|FBtr0083665",0,0
48,2,"FBgn0038639","FBtr0083688|FBtr0083689",0,0
49,2,"FBgn0038641","FBtr0083668|FBtr0083669",0,0
50,2,"FBgn0038642","FBtr0083687|FBtr0345269",0,0
51,2,"FBgn0038651","FBtr0273382|FBtr0305051",0,0
52,2,"FBgn0038652","FBtr0301199|FBtr0083678",0,0
53,3,"FBgn0038653","FBtr0330029|FBtr0332809|FBtr0083677",0,0
54,2,"FBgn0038654","FBtr0334521|FBtr0083695",0,0
55,3,"FBgn0038659","FBtr0083698|FBtr0083699|FBtr0334522",0,0
56,2,"FBgn0038662","FBtr0083723|FBtr0334525",0,0
57,2,"FBgn0038665","FBtr0304691|FBtr0083722",0,0
58,2,"FBgn0038666","FBtr0304690|FBtr0304689",0,0
59,2,"FBgn0038672","FBtr0343992|FBtr0083719",0,0
60,2,"FBgn0038683","FBtr0083750|FBtr0335020",0,0
61,2,"FBgn0038693","FBtr0301692|FBtr0301693",0,0
62,2,"FBgn0038695","FBtr0083738|FBtr0346143",0,0
63,2,"FBgn0038700","FBtr0083755|FBtr0339152",0,0
64,4,"FBgn0038704","FBtr0083759|FBtr0083758|FBtr0445726|FBtr0083760",0,0
65,2,"FBgn0038716","FBtr0304745|FBtr0083777",0,0
66,3,"FBgn0038738","FBtr0083861|FBtr0302327|FBtr0083860",0,0
67,2,"FBgn0038739","FBtr0334307|FBtr0083816",0,0
68,3,"FBgn0038740","FBtr0083859|FBtr0113250|FBtr0330036",0,0
69,2,"FBgn0038740","FBtr0330034|FBtr0330035",0,0
70,4,"FBgn0038744","FBtr0308828|FBtr0344260|FBtr0301117|FBtr0308829",0,0
71,2,"FBgn0038745","FBtr0344262|FBtr0083855",0,0
72,3,"FBgn0038747","FBtr0344351|FBtr0344354|FBtr0083821",0,0
73,2,"FBgn0038755","FBtr0335240|FBtr0083846",0,0
74,2,"FBgn0038756","FBtr0083823|FBtr0344285",0,0
75,3,"FBgn0038763","FBtr0307345|FBtr0344139|FBtr0083843",0,0
76,2,"FBgn0038783","FBtr0083901|FBtr0344245",0,0
77,2,"FBgn0038787","FBtr0113252|FBtr0083899",0,0
78,2,"FBgn0038788","FBtr0344243|FBtr0083882",0,0
79,2,"FBgn0038803","FBtr0083906|FBtr0083904",0,0
80,3,"FBgn0038803","FBtr0083905|FBtr0083907|FBtr0345213",0,0
81,2,"FBgn0038805","FBtr0083948|FBtr0083949",0,0
82,2,"FBgn0038811","FBtr0302323|FBtr0083944",0,0
83,2,"FBgn0038814","FBtr0113254|FBtr0330028",0,0
84,2,"FBgn0038818","FBtr0083936|FBtr0334642",0,0
85,2,"FBgn0038828","FBtr0083994|FBtr0334723",0,0
86,2,"FBgn0038834","FBtr0083969|FBtr0346148",0,0
87,2,"FBgn0038839","FBtr0347575|FBtr0083986",0,0
88,3,"FBgn0038840","FBtr0335015|FBtr0335016|FBtr0083978",1,0
89,2,"FBgn0038842","FBtr0083979|FBtr0334919",0,0
90,4,"FBgn0038846","FBtr0309208|FBtr0309206|FBtr0309207|FBtr0084001",0,0
91,2,"FBgn0038849","FBtr0084043|FBtr0346111",0,0
92,2,"FBgn0038850","FBtr0345303|FBtr0300816",0,0
93,2,"FBgn0038860","FBtr0084015|FBtr0113258",0,0
94,2,"FBgn0038871","FBtr0347217|FBtr0084107",0,0
95,3,"FBgn0038872","FBtr0339192|FBtr0084051|FBtr0330376",0,0
96,2,"FBgn0038874","FBtr0339194|FBtr0084054",0,0
97,2,"FBgn0038876","FBtr0300616|FBtr0084055",0,0
98,2,"FBgn0038880","FBtr0301815|FBtr0084098",0,0
99,4,"FBgn0038881","FBtr0343807|FBtr0343805|FBtr0084095|FBtr0343806",0,0
100,2,"FBgn0038887","FBtr0113261|FBtr0113262",0,0
101,2,"FBgn0038889","FBtr0334662|FBtr0084109",0,0
102,3,"FBgn0038890","FBtr0084112|FBtr0334664|FBtr0301211",0,0
103,2,"FBgn0038890","FBtr0301212|FBtr0334663",0,0
104,2,"FBgn0038897","FBtr0084125|FBtr0301164",0,0
105,2,"FBgn0038909","FBtr0084155|FBtr0084156",0,0
106,2,"FBgn0038909","FBtr0113263|FBtr0334880",0,0
107,2,"FBgn0038922","FBtr0084190|FBtr0300788",0,0
108,2,"FBgn0038925","FBtr0084185|FBtr0335198",0,0
109,2,"FBgn0038930","FBtr0084182|FBtr0335197",0,0
110,4,"FBgn0038938","FBtr0321268|FBtr0084201|FBtr0344797|FBtr0301190",1,0
111,2,"FBgn0038938","FBtr0321268|FBtr0301190",0,0
112,3,"FBgn0038947","FBtr0084209|FBtr0084208|FBtr0084206",0,0
113,2,"FBgn0038948","FBtr0330378|FBtr0084239",0,0
114,2,"FBgn0038957","FBtr0084219|FBtr0084221",0,0
115,3,"FBgn0038965","FBtr0345205|FBtr0084229|FBtr0337044",0,0
116,2,"FBgn0038966","FBtr0346142|FBtr0084297",0,0
117,2,"FBgn0038967","FBtr0337045|FBtr0301711",0,0
118,2,"FBgn0038975","FBtr0301485|FBtr0084256",0,0
119,6,"FBgn0038975","FBtr0334607|FBtr0334610|FBtr0334612|FBtr0334608|FBtr0334609|FBtr0345228",0,0
120,2,"FBgn0038976","FBtr0084257|FBtr0301486",0,0
121,2,"FBgn0038980","FBtr0084260|FBtr0331930",0,0
122,2,"FBgn0038984","FBtr0084282|FBtr0308848",0,0
123,2,"FBgn0039003","FBtr0084334|FBtr0302856",0,0
124,2,"FBgn0039007","FBtr0335007|FBtr0084333",0,0
125,2,"FBgn0039008","FBtr0084305|FBtr0347565",0,0
126,2,"FBgn0039026","FBtr0310037|FBtr0084312",0,0
127,3,"FBgn0039026","FBtr0344297|FBtr0113270|FBtr0310038",0,0
128,3,"FBgn0039027","FBtr0339137|FBtr0084313|FBtr0345272",0,0
129,2,"FBgn0039029","FBtr0339138|FBtr0084314",0,0
130,2,"FBgn0039031","FBtr0084340|FBtr0339164",0,0
131,2,"FBgn0039044","FBtr0301765|FBtr0084360",0,0
132,2,"FBgn0039050","FBtr0337026|FBtr0084350",0,0
133,2,"FBgn0039051","FBtr0337027|FBtr0084351",0,0
134,3,"FBgn0039054","FBtr0337028|FBtr0302023|FBtr0302022",0,0
135,6,"FBgn0039065","FBtr0334499|FBtr0301088|FBtr0334502|FBtr0334501|FBtr0084388|FBtr0334500",0,0
136,2,"FBgn0039066","FBtr0084374|FBtr0084375",0,0
137,2,"FBgn0039069","FBtr0084378|FBtr0334497",0,0
138,2,"FBgn0039073","FBtr0084431|FBtr0339619",0,0
139,2,"FBgn0039075","FBtr0301085|FBtr0339617",0,0
140,2,"FBgn0039081","FBtr0084425|FBtr0339622",0,0
141,3,"FBgn0039084","FBtr0084422|FBtr0084421|FBtr0344701",0,0
142,2,"FBgn0039086","FBtr0303507|FBtr0084419",0,0
143,2,"FBgn0039088","FBtr0300585|FBtr0084417",0,0
144,2,"FBgn0039089","FBtr0332427|FBtr0084433",0,0
145,2,"FBgn0039109","FBtr0084446|FBtr0084449",0,0
146,2,"FBgn0039110","FBtr0084468|FBtr0335003",0,0
147,2,"FBgn0039113","FBtr0084464|FBtr0084465",0,0
148,3,"FBgn0039114","FBtr0084456|FBtr0335002|FBtr0084457",0,0
149,2,"FBgn0039116","FBtr0300681|FBtr0084458",0,0
150,2,"FBgn0039117","FBtr0334895|FBtr0084462",0,0
151,2,"FBgn0039120","FBtr0084460|FBtr0334894",0,0
152,2,"FBgn0039126","FBtr0330369|FBtr0084522",0,0
153,2,"FBgn0039129","FBtr0084519|FBtr0332444",0,0
154,3,"FBgn0039131","FBtr0308071|FBtr0084513|FBtr0084514",0,0
155,2,"FBgn0039132","FBtr0305039|FBtr0305040",0,0
156,3,"FBgn0039136","FBtr0084501|FBtr0084502|FBtr0301165",0,0
157,2,"FBgn0039137","FBtr0330370|FBtr0084509",0,0
158,2,"FBgn0039140","FBtr0084596|FBtr0303849",0,0
159,3,"FBgn0039141","FBtr0084533|FBtr0084534|FBtr0445310",0,0
160,3,"FBgn0039141","FBtr0445311|FBtr0346099|FBtr0321260",0,0
161,2,"FBgn0039145","FBtr0334920|FBtr0343101",0,0
162,3,"FBgn0039149","FBtr0084543|FBtr0339243|FBtr0305314",0,0
163,2,"FBgn0039152","FBtr0304161|FBtr0339244",0,0
164,2,"FBgn0039157","FBtr0084579|FBtr0100518",0,0
165,2,"FBgn0039157","FBtr0310445|FBtr0100517",0,0
166,2,"FBgn0039161","FBtr0084553|FBtr0335412",0,0
167,2,"FBgn0039161","FBtr0344266|FBtr0110794",0,0
168,4,"FBgn0039163","FBtr0345215|FBtr0335413|FBtr0084574|FBtr0084575",1,0
169,2,"FBgn0039169","FBtr0330382|FBtr0084565",0,0
170,2,"FBgn0039172","FBtr0084564|FBtr0305044",0,0
171,2,"FBgn0039183","FBtr0084605|FBtr0334599",0,0
172,2,"FBgn0039184","FBtr0084606|FBtr0346110",0,0
173,7,"FBgn0039186","FBtr0334603|FBtr0334601|FBtr0273283|FBtr0084631|FBtr0273282|FBtr0084630|FBtr0334602",0,0
174,3,"FBgn0039187","FBtr0273324|FBtr0330373|FBtr0273323",0,0
175,2,"FBgn0039200","FBtr0084618|FBtr0345301",0,0
176,2,"FBgn0039201","FBtr0334333|FBtr0084641",0,0
177,2,"FBgn0039205","FBtr0334337|FBtr0084679",0,0
178,2,"FBgn0039209","FBtr0084672|FBtr0110795",0,0
179,2,"FBgn0039209","FBtr0084674|FBtr0110796",0,0
180,2,"FBgn0039209","FBtr0345204|FBtr0084675",0,0
181,2,"FBgn0039213","FBtr0345218|FBtr0084657",0,0
182,5,"FBgn0039214","FBtr0330309|FBtr0330308|FBtr0084668|FBtr0306172|FBtr0339135",0,0
183,2,"FBgn0039215","FBtr0089915|FBtr0089916",0,0
184,2,"FBgn0039217","FBtr0084686|FBtr0339251",0,0
185,3,"FBgn0039226","FBtr0345210|FBtr0331699|FBtr0331698",0,0
186,4,"FBgn0039229","FBtr0392911|FBtr0084700|FBtr0331696|FBtr0392912",1,0
187,4,"FBgn0039234","FBtr0334570|FBtr0306087|FBtr0301865|FBtr0084705",1,0
188,2,"FBgn0039235","FBtr0084732|FBtr0308616",0,0
189,4,"FBgn0039240","FBtr0334574|FBtr0334576|FBtr0334575|FBtr0334577",0,0
190,2,"FBgn0039249","FBtr0306089|FBtr0084715",0,0
191,2,"FBgn0039249","FBtr0337010|FBtr0337009",0,0
192,2,"FBgn0039251","FBtr0084718|FBtr0337011",0,0
193,2,"FBgn0039254","FBtr0337012|FBtr0084749",0,0
194,3,"FBgn0039261","FBtr0084794|FBtr0334507|FBtr0084795",0,0
195,2,"FBgn0039265","FBtr0084761|FBtr0084760",0,0
196,4,"FBgn0039266","FBtr0084763|FBtr0113283|FBtr0334504|FBtr0084762",1,0
197,2,"FBgn0039266","FBtr0084763|FBtr0113283",0,0
198,2,"FBgn0039269","FBtr0301664|FBtr0084787",0,0
199,7,"FBgn0039272","FBtr0302406|FBtr0309271|FBtr0302405|FBtr0084767|FBtr0084768|FBtr0113284|FBtr0302404",0,0
200,5,"FBgn0039282","FBtr0302171|FBtr0302169|FBtr0302170|FBtr0301670|FBtr0302168",0,0
201,2,"FBgn0039282","FBtr0302172|FBtr0345299",0,0
202,3,"FBgn0039286","FBtr0084803|FBtr0330289|FBtr0330288",0,0
203,3,"FBgn0039294","FBtr0302299|FBtr0301090|FBtr0339260",0,0
204,2,"FBgn0039298","FBtr0084810|FBtr0339258",0,0
205,2,"FBgn0039300","FBtr0084868|FBtr0304693",0,0
206,2,"FBgn0039302","FBtr0304692|FBtr0084813",0,0
207,2,"FBgn0039303","FBtr0347395|FBtr0084814",0,0
208,3,"FBgn0039321","FBtr0084857|FBtr0084858|FBtr0305953",0,0
209,2,"FBgn0039329","FBtr0300687|FBtr0084848",0,0
210,2,"FBgn0039338","FBtr0344718|FBtr0084837",0,0
211,2,"FBgn0039338","FBtr0344719|FBtr0084838",0,0
212,4,"FBgn0039347","FBtr0084885|FBtr0304805|FBtr0084884|FBtr0392910",0,0
213,2,"FBgn0039348","FBtr0300730|FBtr0084892",0,0
214,5,"FBgn0039349","FBtr0300728|FBtr0100571|FBtr0084891|FBtr0100570|FBtr0100569",0,0
215,4,"FBgn0039350","FBtr0084886|FBtr0445401|FBtr0084887|FBtr0113287",0,0
216,3,"FBgn0039355","FBtr0331364|FBtr0084934|FBtr0331363",0,0
217,4,"FBgn0039359","FBtr0331361|FBtr0331362|FBtr0331360|FBtr0084932",0,0
218,2,"FBgn0039360","FBtr0331359|FBtr0084929",0,0
219,2,"FBgn0039360","FBtr0084931|FBtr0084930",0,0
220,3,"FBgn0039368","FBtr0084922|FBtr0337040|FBtr0302177",0,0
221,2,"FBgn0039371","FBtr0084919|FBtr0346108",0,0
222,2,"FBgn0039373","FBtr0084902|FBtr0301962",0,0
223,2,"FBgn0039380","FBtr0339158|FBtr0339159",0,0
224,2,"FBgn0039381","FBtr0084909|FBtr0300820",0,0
225,2,"FBgn0039381","FBtr0084910|FBtr0300819",0,0
226,2,"FBgn0039386","FBtr0309040|FBtr0084939",0,0
227,3,"FBgn0039406","FBtr0302369|FBtr0084973|FBtr0084972",0,0
228,2,"FBgn0039407","FBtr0084969|FBtr0346731",0,0
229,2,"FBgn0039408","FBtr0084971|FBtr0337058",0,0
230,2,"FBgn0039411","FBtr0300618|FBtr0113294",0,0
231,2,"FBgn0039417","FBtr0085003|FBtr0307342",0,0
232,2,"FBgn0039419","FBtr0339612|FBtr0084990",0,0
233,2,"FBgn0039425","FBtr0306708|FBtr0085006",0,0
234,2,"FBgn0039427","FBtr0085012|FBtr0330152",0,0
235,4,"FBgn0039431","FBtr0344120|FBtr0302209|FBtr0305049|FBtr0302210",0,0
236,2,"FBgn0039437","FBtr0085056|FBtr0085055",0,0
237,3,"FBgn0039450","FBtr0085037|FBtr0085038|FBtr0085039",0,0
238,2,"FBgn0039451","FBtr0085046|FBtr0339242",0,0
239,2,"FBgn0039452","FBtr0100553|FBtr0339240",0,0
240,2,"FBgn0039453","FBtr0085044|FBtr0339241",0,0
241,3,"FBgn0039465","FBtr0085082|FBtr0344665|FBtr0336726",0,0
242,2,"FBgn0039465","FBtr0273310|FBtr0344664",0,0
243,5,"FBgn0039467","FBtr0331701|FBtr0085071|FBtr0085073|FBtr0085072|FBtr0085074",1,0
244,4,"FBgn0039478","FBtr0331705|FBtr0113296|FBtr0346156|FBtr0331704",0,0
245,2,"FBgn0039479","FBtr0299564|FBtr0331702",0,0
246,3,"FBgn0039487","FBtr0347412|FBtr0085132|FBtr0345216",0,0
247,3,"FBgn0039492","FBtr0113297|FBtr0305050|FBtr0339264",0,0
248,2,"FBgn0039494","FBtr0085111|FBtr0085112",0,0
249,2,"FBgn0039504","FBtr0085157|FBtr0334728",0,0
250,2,"FBgn0039507","FBtr0305973|FBtr0305975",0,0
251,2,"FBgn0039519","FBtr0339319|FBtr0085183",0,0
252,2,"FBgn0039528","FBtr0301390|FBtr0335247",0,0
253,3,"FBgn0039530","FBtr0335246|FBtr0335245|FBtr0302590",0,0
254,2,"FBgn0039531","FBtr0085199|FBtr0344340",0,0
255,2,"FBgn0039532","FBtr0085192|FBtr0085191",0,0
256,3,"FBgn0039536","FBtr0330112|FBtr0330109|FBtr0330108",0,0
257,2,"FBgn0039536","FBtr0330111|FBtr0330110",0,0
258,4,"FBgn0039543","FBtr0452076|FBtr0085239|FBtr0085238|FBtr0085240",0,0
259,2,"FBgn0039559","FBtr0335014|FBtr0085267",0,0
260,4,"FBgn0039560","FBtr0335012|FBtr0335013|FBtr0085252|FBtr0301143",1,0
261,3,"FBgn0039581","FBtr0300346|FBtr0085286|FBtr0085287",0,0
262,2,"FBgn0039584","FBtr0333336|FBtr0085289",0,0
263,3,"FBgn0039594","FBtr0305088|FBtr0303343|FBtr0085309",0,0
264,2,"FBgn0039595","FBtr0336790|FBtr0085316",0,0
265,4,"FBgn0039600","FBtr0085325|FBtr0085322|FBtr0113301|FBtr0085323",0,0
266,2,"FBgn0039602","FBtr0085326|FBtr0336764",0,0
267,3,"FBgn0039622","FBtr0085344|FBtr0302516|FBtr0302515",0,0
268,2,"FBgn0039630","FBtr0085363|FBtr0346138",0,0
269,2,"FBgn0039633","FBtr0330299|FBtr0085365",0,0
270,2,"FBgn0039635","FBtr0085367|FBtr0085368",0,0
271,3,"FBgn0039637","FBtr0085373|FBtr0085372|FBtr0085371",0,0
272,2,"FBgn0039642","FBtr0085411|FBtr0335407",0,0
273,2,"FBgn0039644","FBtr0085386|FBtr0085387",0,0
274,2,"FBgn0039647","FBtr0334533|FBtr0113303",0,0
275,2,"FBgn0039647","FBtr0113304|FBtr0334534",0,0
276,2,"FBgn0039664","FBtr0303455|FBtr0085425",0,0
277,2,"FBgn0039665","FBtr0085433|FBtr0085434",0,0
278,2,"FBgn0039667","FBtr0085427|FBtr0333187",0,0
279,4,"FBgn0039668","FBtr0333188|FBtr0085430|FBtr0085429|FBtr0085432",0,0
280,2,"FBgn0039671","FBtr0339895|FBtr0085471",0,0
281,2,"FBgn0039673","FBtr0330295|FBtr0330294",0,0
282,2,"FBgn0039675","FBtr0085448|FBtr0332440",0,0
283,3,"FBgn0039676","FBtr0332443|FBtr0085466|FBtr0332442",0,0
284,2,"FBgn0039678","FBtr0339147|FBtr0085450",0,0
285,2,"FBgn0039688","FBtr0339717|FBtr0085460",0,0
286,3,"FBgn0039690","FBtr0310267|FBtr0330296|FBtr0085474",0,0
287,3,"FBgn0039690","FBtr0333821|FBtr0085475|FBtr0306104",0,0
288,2,"FBgn0039704","FBtr0085485|FBtr0085486",0,0
289,2,"FBgn0039705","FBtr0085528|FBtr0339144",0,0
290,2,"FBgn0039707","FBtr0301746|FBtr0339143",0,0
291,2,"FBgn0039711","FBtr0089927|FBtr0303035",0,0
292,2,"FBgn0039712","FBtr0085523|FBtr0335005",0,0
293,3,"FBgn0039713","FBtr0346158|FBtr0310274|FBtr0085489",0,0
294,3,"FBgn0039714","FBtr0303034|FBtr0089925|FBtr0303033",0,0
295,2,"FBgn0039723","FBtr0085503|FBtr0331355",0,0
296,2,"FBgn0039730","FBtr0085608|FBtr0334707",0,0
297,3,"FBgn0039733","FBtr0085548|FBtr0085549|FBtr0085547",0,0
298,2,"FBgn0039735","FBtr0085606|FBtr0113308",0,0
299,2,"FBgn0039737","FBtr0085603|FBtr0334706",0,0
300,2,"FBgn0039741","FBtr0085559|FBtr0085560",0,0
301,2,"FBgn0039743","FBtr0085561|FBtr0310420",0,0
302,2,"FBgn0039747","FBtr0085581|FBtr0334658",0,0
303,2,"FBgn0039748","FBtr0347342|FBtr0085567",0,0
304,2,"FBgn0039749","FBtr0452163|FBtr0302562",0,0
305,2,"FBgn0039751","FBtr0339185|FBtr0085574",0,0
306,3,"FBgn0039752","FBtr0339182|FBtr0085568|FBtr0085569",0,0
307,2,"FBgn0039754","FBtr0346162|FBtr0085573",0,0
308,4,"FBgn0039757","FBtr0339183|FBtr0089422|FBtr0089425|FBtr0089423",1,0
309,2,"FBgn0039759","FBtr0345122|FBtr0085638",0,0
310,2,"FBgn0039760","FBtr0345230|FBtr0345231",0,0
311,2,"FBgn0039764","FBtr0085629|FBtr0346511",0,0
312,2,"FBgn0039767","FBtr0085627|FBtr0339142",0,0
313,2,"FBgn0039770","FBtr0113310|FBtr0339141",0,0
314,2,"FBgn0039773","FBtr0085691|FBtr0331358",0,0
315,3,"FBgn0039774","FBtr0085648|FBtr0085647|FBtr0085646",0,0
316,3,"FBgn0039782","FBtr0345121|FBtr0110859|FBtr0085655",0,0
317,3,"FBgn0039787","FBtr0336448|FBtr0336449|FBtr0085664",0,0
318,3,"FBgn0039790","FBtr0302605|FBtr0085673|FBtr0085674",1,0
319,5,"FBgn0039790","FBtr0302313|FBtr0085675|FBtr0335443|FBtr0335444|FBtr0302608",1,0
320,5,"FBgn0039790","FBtr0085676|FBtr0302609|FBtr0085677|FBtr0302610|FBtr0335445",0,0
321,2,"FBgn0039792","FBtr0085672|FBtr0335441",0,0
322,2,"FBgn0039796","FBtr0085728|FBtr0335455",0,0
323,2,"FBgn0039797","FBtr0339513|FBtr0085699",0,0
324,2,"FBgn0039798","FBtr0335451|FBtr0335452",0,0
325,2,"FBgn0039799","FBtr0346147|FBtr0085700",0,0
326,2,"FBgn0039800","FBtr0306293|FBtr0085723",0,0
327,3,"FBgn0039801","FBtr0306292|FBtr0085721|FBtr0085722",0,0
328,2,"FBgn0039804","FBtr0085708|FBtr0335414",0,0
329,4,"FBgn0039808","FBtr0346757|FBtr0346758|FBtr0344716|FBtr0344715",0,0
330,2,"FBgn0039816","FBtr0085741|FBtr0334547",0,0
331,3,"FBgn0039821","FBtr0085737|FBtr0309195|FBtr0309194",0,0
332,3,"FBgn0039830","FBtr0305121|FBtr0085772|FBtr0085773",0,0
333,2,"FBgn0039830","FBtr0306237|FBtr0085774",0,0
334,2,"FBgn0039831","FBtr0335409|FBtr0335408",0,0
335,2,"FBgn0039840","FBtr0347502|FBtr0085766",0,0
336,2,"FBgn0039846","FBtr0085812|FBtr0334553",0,0
337,2,"FBgn0039851","FBtr0085790|FBtr0346230",0,0
338,2,"FBgn0039852","FBtr0300875|FBtr0300876",0,0
339,2,"FBgn0039856","FBtr0085798|FBtr0344003",0,0
340,2,"FBgn0039857","FBtr0085805|FBtr0085804",0,0
341,3,"FBgn0039858","FBtr0085802|FBtr0333328|FBtr0085800",0,0
342,2,"FBgn0039862","FBtr0085821|FBtr0330107",0,0
343,2,"FBgn0039863","FBtr0085824|FBtr0085823",0,0
344,2,"FBgn0039872","FBtr0300915|FBtr0339190",0,0
345,2,"FBgn0039875","FBtr0330113|FBtr0085842",0,0
346,2,"FBgn0039876","FBtr0085857|FBtr0330114",0,0
347,3,"FBgn0039877","FBtr0307551|FBtr0085855|FBtr0085856",1,0
348,3,"FBgn0039881","FBtr0085848|FBtr0344004|FBtr0305131",0,0
349,3,"FBgn0039883","FBtr0343539|FBtr0302181|FBtr0343538",0,0
350,2,"FBgn0039883","FBtr0309829|FBtr0304595",0,0
351,2,"FBgn0039886","FBtr0085871|FBtr0344271",0,0
352,2,"FBgn0039887","FBtr0085873|FBtr0344005",0,0
353,3,"FBgn0039889","FBtr0089153|FBtr0308248|FBtr0333677",0,0
354,2,"FBgn0039890","FBtr0089147|FBtr0089148",0,0
355,3,"FBgn0039897","FBtr0300798|FBtr0333671|FBtr0300796",0,0
356,2,"FBgn0039900","FBtr0343990|FBtr0089137",0,0
357,4,"FBgn0039902","FBtr0333681|FBtr0089133|FBtr0340652|FBtr0340653",1,0
358,5,"FBgn0039904","FBtr0089125|FBtr0334479|FBtr0307379|FBtr0089126|FBtr0345284",0,0
359,2,"FBgn0039911","FBtr0089080|FBtr0089079",0,0
360,2,"FBgn0039915","FBtr0089972|FBtr0089971",0,0
361,3,"FBgn0039916","FBtr0110906|FBtr0344874|FBtr0089102",0,0
362,2,"FBgn0039920","FBtr0310539|FBtr0310541",0,0
363,2,"FBgn0039924","FBtr0100544|FBtr0100543",0,0
364,2,"FBgn0039927","FBtr0089195|FBtr0333701",0,0
365,2,"FBgn0039928","FBtr0333700|FBtr0089207",0,0
366,2,"FBgn0039928","FBtr0345193|FBtr0089208",0,0
367,2,"FBgn0039929","FBtr0344705|FBtr0344706",0,0
368,3,"FBgn0039936","FBtr0300884|FBtr0300885|FBtr0300882",0,0
369,2,"FBgn0039941","FBtr0300807|FBtr0300806",0,0
370,2,"FBgn0039942","FBtr0113727|FBtr0309316",0,0
371,2,"FBgn0039944","FBtr0344446|FBtr0113723",0,0
372,5,"FBgn0039944","FBtr0113724|FBtr0300041|FBtr0113725|FBtr0343932|FBtr0113726",0,0
373,2,"FBgn0039945","FBtr0113717|FBtr0302542",0,0
374,3,"FBgn0039955","FBtr0113989|FBtr0344573|FBtr0113990",0,0
375,4,"FBgn0039958","FBtr0113704|FBtr0300703|FBtr0113705|FBtr0344847",0,0
376,2,"FBgn0039965","FBtr0344110|FBtr0111192",0,0
377,2,"FBgn0039966","FBtr0299903|FBtr0111134",0,0
378,3,"FBgn0039969","FBtr0273211|FBtr0273209|FBtr0273210",1,0
379,2,"FBgn0039993","FBtr0302409|FBtr0113761",0,0
380,2,"FBgn0039994","FBtr0302385|FBtr0111287",0,0
381,4,"FBgn0040005","FBtr0334995|FBtr0334996|FBtr0111291|FBtr0111292",0,0
