transcript_id,input_gene_id,output_gene_id
FBtr0290017,FBtr0290017,XLOC_013902
FBtr0344739,FBtr0344739,XLOC_013902
FBtr0344738,FBtr0344738,XLOC_013902
FBtr0307173,FBtr0307173,XLOC_015121
FBtr0070088,FBtr0070088,XLOC_013903
FBtr0100254,FBtr0100254,XLOC_015121
FBtr0070091,FBtr0070091,XLOC_015121
FBtr0114366,FBtr0114366,XLOC_015121
FBtr0070089,FBtr0070089,XLOC_015122
FBtr0070090,FBtr0070090,XLOC_015122
FBtr0100475,FBtr0100475,XLOC_015122
FBtr0334033,FBtr0334033,XLOC_015122
FBtr0100476,FBtr0100476,XLOC_015122
FBtr0070109,FBtr0070109,XLOC_013904
FBtr0307292,FBtr0307292,XLOC_013904
FBtr0307293,FBtr0307293,XLOC_013904
FBtr0307295,FBtr0307295,XLOC_013904
FBtr0307294,FBtr0307294,XLOC_013904
FBtr0307291,FBtr0307291,XLOC_013904
FBtr0309626,FBtr0309626,XLOC_013905
FBtr0110929,FBtr0110929,XLOC_013906
FBtr0339434,FBtr0339434,XLOC_015123
FBtr0070110,FBtr0070110,XLOC_013906
FBtr0110791,FBtr0110791,XLOC_015123
FBtr0339430,FBtr0339430,XLOC_015123
FBtr0339433,FBtr0339433,XLOC_015123
FBtr0339432,FBtr0339432,XLOC_015123
FBtr0070161,FBtr0070161,XLOC_015123
FBtr0339431,FBtr0339431,XLOC_015123
FBtr0345998,FBtr0345998,XLOC_013907
FBtr0070160,FBtr0070160,XLOC_015124
FBtr0089724,FBtr0089724,XLOC_013908
FBtr0089725,FBtr0089725,XLOC_013908
FBtr0089726,FBtr0089726,XLOC_013908
FBtr0335122,FBtr0335122,XLOC_013908
FBtr0335123,FBtr0335123,XLOC_013908
FBtr0089723,FBtr0089723,XLOC_013908
FBtr0070115,FBtr0070115,XLOC_013909
FBtr0070159,FBtr0070159,XLOC_015125
FBtr0345999,FBtr0345999,XLOC_013910
FBtr0070116,FBtr0070116,XLOC_013910
FBtr0070117,FBtr0070117,XLOC_013910
FBtr0070118,FBtr0070118,XLOC_013910
FBtr0345321,FBtr0345321,XLOC_015126
FBtr0070156,FBtr0070156,XLOC_015126
FBtr0070157,FBtr0070157,XLOC_015126
FBtr0070158,FBtr0070158,XLOC_015126
FBtr0070155,FBtr0070155,XLOC_015126
FBtr0070119,FBtr0070119,XLOC_013911
FBtr0114559,FBtr0114559,XLOC_015127
FBtr0114560,FBtr0114560,XLOC_015127
FBtr0114561,FBtr0114561,XLOC_015127
FBtr0340083,FBtr0340083,XLOC_015127
FBtr0070120,FBtr0070120,XLOC_013912
FBtr0340081,FBtr0340081,XLOC_013912
FBtr0340082,FBtr0340082,XLOC_013912
FBtr0343565,FBtr0343565,XLOC_013913
FBtr0070121,FBtr0070121,XLOC_013914
FBtr0070122,FBtr0070122,XLOC_013915
FBtr0308651,FBtr0308651,XLOC_013915
FBtr0343564,FBtr0343564,XLOC_013915
FBtr0070151,FBtr0070151,XLOC_015128
FBtr0308652,FBtr0308652,XLOC_015128
FBtr0070123,FBtr0070123,XLOC_013916
FBtr0070124,FBtr0070124,XLOC_013916
FBtr0070125,FBtr0070125,XLOC_013916
FBtr0070126,FBtr0070126,XLOC_013916
FBtr0070127,FBtr0070127,XLOC_013916
FBtr0100530,FBtr0100530,XLOC_013916
FBtr0070128,FBtr0070128,XLOC_013916
FBtr0070129,FBtr0070129,XLOC_013916
FBtr0345314,FBtr0345314,XLOC_013916
FBtr0070130,FBtr0070130,XLOC_013917
FBtr0070131,FBtr0070131,XLOC_013917
FBtr0070132,FBtr0070132,XLOC_013917
FBtr0070133,FBtr0070133,XLOC_013917
FBtr0302259,FBtr0302259,XLOC_013917
FBtr0302260,FBtr0302260,XLOC_013917
FBtr0340195,FBtr0340195,XLOC_013917
FBtr0340196,FBtr0340196,XLOC_013917
FBtr0340197,FBtr0340197,XLOC_013917
FBtr0070150,FBtr0070150,XLOC_015129
FBtr0343759,FBtr0343759,XLOC_013918
FBtr0070149,FBtr0070149,XLOC_015130
FBtr0070134,FBtr0070134,XLOC_013918
FBtr0070135,FBtr0070135,XLOC_013919
FBtr0070136,FBtr0070136,XLOC_013919
FBtr0070137,FBtr0070137,XLOC_013919
FBtr0343979,FBtr0343979,XLOC_013920
FBtr0070148,FBtr0070148,XLOC_015131
FBtr0300446,FBtr0300446,XLOC_015131
FBtr0113559,FBtr0113559,XLOC_015132
FBtr0091922,FBtr0091922,XLOC_015133
FBtr0343980,FBtr0343980,XLOC_013921
FBtr0345511,FBtr0345511,XLOC_013922
FBtr0070138,FBtr0070138,XLOC_013922
FBtr0112928,FBtr0112928,XLOC_013922
FBtr0070139,FBtr0070139,XLOC_013923
FBtr0335403,FBtr0335403,XLOC_013923
FBtr0070147,FBtr0070147,XLOC_015134
FBtr0340531,FBtr0340531,XLOC_015135
FBtr0070140,FBtr0070140,XLOC_013924
FBtr0343325,FBtr0343325,XLOC_013924
FBtr0070146,FBtr0070146,XLOC_015136
FBtr0070145,FBtr0070145,XLOC_015137
FBtr0290198,FBtr0290198,XLOC_015137
FBtr0070141,FBtr0070141,XLOC_013925
FBtr0310162,FBtr0310162,XLOC_013925
FBtr0332610,FBtr0332610,XLOC_015138
FBtr0332605,FBtr0332605,XLOC_015138
FBtr0343360,FBtr0343360,XLOC_015138
FBtr0332606,FBtr0332606,XLOC_015138
FBtr0332609,FBtr0332609,XLOC_015138
FBtr0332611,FBtr0332611,XLOC_015138
FBtr0332604,FBtr0332604,XLOC_015138
FBtr0343358,FBtr0343358,XLOC_015138
FBtr0343359,FBtr0343359,XLOC_015138
FBtr0332612,FBtr0332612,XLOC_015138
FBtr0070142,FBtr0070142,XLOC_013926
FBtr0070195,FBtr0070195,XLOC_015139
FBtr0310459,FBtr0310459,XLOC_015139
FBtr0110804,FBtr0110804,XLOC_013927
FBtr0070163,FBtr0070163,XLOC_013928
FBtr0070164,FBtr0070164,XLOC_013929
FBtr0310165,FBtr0310165,XLOC_013929
FBtr0343361,FBtr0343361,XLOC_015140
FBtr0331303,FBtr0331303,XLOC_015140
FBtr0070165,FBtr0070165,XLOC_013930
FBtr0331301,FBtr0331301,XLOC_015141
FBtr0070189,FBtr0070189,XLOC_015142
FBtr0345512,FBtr0345512,XLOC_013931
FBtr0307181,FBtr0307181,XLOC_013931
FBtr0070167,FBtr0070167,XLOC_013932
FBtr0070168,FBtr0070168,XLOC_013932
FBtr0332589,FBtr0332589,XLOC_013932
FBtr0307182,FBtr0307182,XLOC_013932
FBtr0070169,FBtr0070169,XLOC_013932
FBtr0070188,FBtr0070188,XLOC_015143
FBtr0070170,FBtr0070170,XLOC_013933
FBtr0070187,FBtr0070187,XLOC_015144
FBtr0070186,FBtr0070186,XLOC_015145
FBtr0342734,FBtr0342734,XLOC_015146
FBtr0070185,FBtr0070185,XLOC_015146
FBtr0346000,FBtr0346000,XLOC_015147
FBtr0070171,FBtr0070171,XLOC_013934
FBtr0070184,FBtr0070184,XLOC_015148
FBtr0070172,FBtr0070172,XLOC_013935
FBtr0302884,FBtr0302884,XLOC_013936
FBtr0070183,FBtr0070183,XLOC_015149
FBtr0336688,FBtr0336688,XLOC_015149
FBtr0070173,FBtr0070173,XLOC_013937
FBtr0070182,FBtr0070182,XLOC_015150
FBtr0070174,FBtr0070174,XLOC_013938
FBtr0346795,FBtr0346795,XLOC_013938
FBtr0070175,FBtr0070175,XLOC_013938
FBtr0070176,FBtr0070176,XLOC_013936
FBtr0070177,FBtr0070177,XLOC_013936
FBtr0070178,FBtr0070178,XLOC_013936
FBtr0305651,FBtr0305651,XLOC_013936
FBtr0305652,FBtr0305652,XLOC_013936
FBtr0336687,FBtr0336687,XLOC_013936
FBtr0299571,FBtr0299571,XLOC_013939
FBtr0305650,FBtr0305650,XLOC_013939
FBtr0343175,FBtr0343175,XLOC_013940
FBtr0343176,FBtr0343176,XLOC_013940
FBtr0343177,FBtr0343177,XLOC_013940
FBtr0070179,FBtr0070179,XLOC_013941
FBtr0113327,FBtr0113327,XLOC_015151
FBtr0070181,FBtr0070181,XLOC_015151
FBtr0331339,FBtr0331339,XLOC_015151
FBtr0331340,FBtr0331340,XLOC_015151
FBtr0070180,FBtr0070180,XLOC_013942
FBtr0070252,FBtr0070252,XLOC_015152
FBtr0445214,FBtr0445214,XLOC_015153
FBtr0310611,FBtr0310611,XLOC_013943
FBtr0070197,FBtr0070197,XLOC_013943
FBtr0345513,FBtr0345513,XLOC_013943
FBtr0070251,FBtr0070251,XLOC_015154
FBtr0070198,FBtr0070198,XLOC_013944
FBtr0342727,FBtr0342727,XLOC_013944
FBtr0070199,FBtr0070199,XLOC_013945
FBtr0310612,FBtr0310612,XLOC_013945
FBtr0070200,FBtr0070200,XLOC_013946
FBtr0345506,FBtr0345506,XLOC_013947
FBtr0070201,FBtr0070201,XLOC_013947
FBtr0070202,FBtr0070202,XLOC_013948
FBtr0070203,FBtr0070203,XLOC_013949
FBtr0070204,FBtr0070204,XLOC_013950
FBtr0342728,FBtr0342728,XLOC_013951
FBtr0070205,FBtr0070205,XLOC_013951
FBtr0345522,FBtr0345522,XLOC_015155
FBtr0070250,FBtr0070250,XLOC_015155
FBtr0336978,FBtr0336978,XLOC_015156
FBtr0070249,FBtr0070249,XLOC_015156
FBtr0330206,FBtr0330206,XLOC_015156
FBtr0330207,FBtr0330207,XLOC_015156
FBtr0346960,FBtr0346960,XLOC_015156
FBtr0330205,FBtr0330205,XLOC_015156
FBtr0347011,FBtr0347011,XLOC_015156
FBtr0308707,FBtr0308707,XLOC_015156
FBtr0070245,FBtr0070245,XLOC_015157
FBtr0070244,FBtr0070244,XLOC_015158
FBtr0330391,FBtr0330391,XLOC_015158
FBtr0345507,FBtr0345507,XLOC_015158
FBtr0070206,FBtr0070206,XLOC_013952
FBtr0342729,FBtr0342729,XLOC_013952
FBtr0070241,FBtr0070241,XLOC_015159
FBtr0310282,FBtr0310282,XLOC_015159
FBtr0310283,FBtr0310283,XLOC_015159
FBtr0303264,FBtr0303264,XLOC_015159
FBtr0070239,FBtr0070239,XLOC_015159
FBtr0342731,FBtr0342731,XLOC_015159
FBtr0302877,FBtr0302877,XLOC_015160
FBtr0347551,FBtr0347551,XLOC_013953
FBtr0070207,FBtr0070207,XLOC_013954
FBtr0070238,FBtr0070238,XLOC_015161
FBtr0342730,FBtr0342730,XLOC_015161
FBtr0070209,FBtr0070209,XLOC_013955
FBtr0310619,FBtr0310619,XLOC_013955
FBtr0070237,FBtr0070237,XLOC_015162
FBtr0070236,FBtr0070236,XLOC_015162
FBtr0332288,FBtr0332288,XLOC_015162
FBtr0070211,FBtr0070211,XLOC_013956
FBtr0303284,FBtr0303284,XLOC_013956
FBtr0342738,FBtr0342738,XLOC_015163
FBtr0070235,FBtr0070235,XLOC_015163
FBtr0332287,FBtr0332287,XLOC_015163
FBtr0070212,FBtr0070212,XLOC_013957
FBtr0070234,FBtr0070234,XLOC_015164
FBtr0070213,FBtr0070213,XLOC_013958
FBtr0070215,FBtr0070215,XLOC_013959
FBtr0339772,FBtr0339772,XLOC_013959
FBtr0339773,FBtr0339773,XLOC_013959
FBtr0339774,FBtr0339774,XLOC_013959
FBtr0309676,FBtr0309676,XLOC_013959
FBtr0070216,FBtr0070216,XLOC_013960
FBtr0070217,FBtr0070217,XLOC_013960
FBtr0070218,FBtr0070218,XLOC_013960
FBtr0070233,FBtr0070233,XLOC_015165
FBtr0330318,FBtr0330318,XLOC_013961
FBtr0070219,FBtr0070219,XLOC_013961
FBtr0342737,FBtr0342737,XLOC_013961
FBtr0330317,FBtr0330317,XLOC_013961
FBtr0342735,FBtr0342735,XLOC_013961
FBtr0342736,FBtr0342736,XLOC_013961
FBtr0070222,FBtr0070222,XLOC_013961
FBtr0330319,FBtr0330319,XLOC_013961
FBtr0330320,FBtr0330320,XLOC_013961
FBtr0070225,FBtr0070225,XLOC_013962
FBtr0332291,FBtr0332291,XLOC_013962
FBtr0332292,FBtr0332292,XLOC_013962
FBtr0307598,FBtr0307598,XLOC_013963
FBtr0307597,FBtr0307597,XLOC_013963
FBtr0112628,FBtr0112628,XLOC_013963
FBtr0114515,FBtr0114515,XLOC_013963
FBtr0300224,FBtr0300224,XLOC_013963
FBtr0070231,FBtr0070231,XLOC_015166
FBtr0070230,FBtr0070230,XLOC_015167
FBtr0070298,FBtr0070298,XLOC_015168
FBtr0339578,FBtr0339578,XLOC_015169
FBtr0070297,FBtr0070297,XLOC_015169
FBtr0070296,FBtr0070296,XLOC_015170
FBtr0345508,FBtr0345508,XLOC_013964
FBtr0070253,FBtr0070253,XLOC_013964
FBtr0339577,FBtr0339577,XLOC_013964
FBtr0300352,FBtr0300352,XLOC_013964
FBtr0339576,FBtr0339576,XLOC_013964
FBtr0070254,FBtr0070254,XLOC_013964
FBtr0070295,FBtr0070295,XLOC_015171
FBtr0070255,FBtr0070255,XLOC_013965
FBtr0100198,FBtr0100198,XLOC_013965
FBtr0070256,FBtr0070256,XLOC_013965
FBtr0070257,FBtr0070257,XLOC_013966
FBtr0070293,FBtr0070293,XLOC_015172
FBtr0070294,FBtr0070294,XLOC_015172
FBtr0070258,FBtr0070258,XLOC_013967
FBtr0339588,FBtr0339588,XLOC_013967
FBtr0452078,FBtr0452078,XLOC_013967
FBtr0070259,FBtr0070259,XLOC_013967
FBtr0339589,FBtr0339589,XLOC_013967
FBtr0339593,FBtr0339593,XLOC_015173
FBtr0070289,FBtr0070289,XLOC_015173
FBtr0339594,FBtr0339594,XLOC_015173
FBtr0070290,FBtr0070290,XLOC_015173
FBtr0070292,FBtr0070292,XLOC_015174
FBtr0339591,FBtr0339591,XLOC_013968
FBtr0339592,FBtr0339592,XLOC_015175
FBtr0301843,FBtr0301843,XLOC_015175
FBtr0091453,FBtr0091453,XLOC_015175
FBtr0301842,FBtr0301842,XLOC_015175
FBtr0070288,FBtr0070288,XLOC_015175
FBtr0091454,FBtr0091454,XLOC_015175
FBtr0301844,FBtr0301844,XLOC_015175
FBtr0070285,FBtr0070285,XLOC_015176
FBtr0339590,FBtr0339590,XLOC_013968
FBtr0070260,FBtr0070260,XLOC_013968
FBtr0303587,FBtr0303587,XLOC_015177
FBtr0070284,FBtr0070284,XLOC_015177
FBtr0343517,FBtr0343517,XLOC_015177
FBtr0303564,FBtr0303564,XLOC_013969
FBtr0308319,FBtr0308319,XLOC_013969
FBtr0300427,FBtr0300427,XLOC_013969
FBtr0070261,FBtr0070261,XLOC_013969
FBtr0330406,FBtr0330406,XLOC_013969
FBtr0070262,FBtr0070262,XLOC_013969
FBtr0070266,FBtr0070266,XLOC_013969
FBtr0332293,FBtr0332293,XLOC_013969
FBtr0070263,FBtr0070263,XLOC_013969
FBtr0300429,FBtr0300429,XLOC_013969
FBtr0070265,FBtr0070265,XLOC_013969
FBtr0303562,FBtr0303562,XLOC_013969
FBtr0300428,FBtr0300428,XLOC_013969
FBtr0303563,FBtr0303563,XLOC_013969
FBtr0070269,FBtr0070269,XLOC_013970
FBtr0070283,FBtr0070283,XLOC_015177
FBtr0070270,FBtr0070270,XLOC_013971
FBtr0333115,FBtr0333115,XLOC_013971
FBtr0333117,FBtr0333117,XLOC_015178
FBtr0308321,FBtr0308321,XLOC_015178
FBtr0308323,FBtr0308323,XLOC_015178
FBtr0308324,FBtr0308324,XLOC_015178
FBtr0333118,FBtr0333118,XLOC_015178
FBtr0333119,FBtr0333119,XLOC_015178
FBtr0333120,FBtr0333120,XLOC_015178
FBtr0089815,FBtr0089815,XLOC_015178
FBtr0330408,FBtr0330408,XLOC_015178
FBtr0308322,FBtr0308322,XLOC_015178
FBtr0089814,FBtr0089814,XLOC_015178
FBtr0308320,FBtr0308320,XLOC_013972
FBtr0273400,FBtr0273400,XLOC_013972
FBtr0070272,FBtr0070272,XLOC_013973
FBtr0089694,FBtr0089694,XLOC_013974
FBtr0070279,FBtr0070279,XLOC_015179
FBtr0330407,FBtr0330407,XLOC_015179
FBtr0333116,FBtr0333116,XLOC_015179
FBtr0344154,FBtr0344154,XLOC_015180
FBtr0070278,FBtr0070278,XLOC_015180
FBtr0302174,FBtr0302174,XLOC_015181
FBtr0345509,FBtr0345509,XLOC_015181
FBtr0302175,FBtr0302175,XLOC_015181
FBtr0070277,FBtr0070277,XLOC_015181
FBtr0309966,FBtr0309966,XLOC_013975
FBtr0309962,FBtr0309962,XLOC_013975
FBtr0339273,FBtr0339273,XLOC_013975
FBtr0339274,FBtr0339274,XLOC_013975
FBtr0309963,FBtr0309963,XLOC_013975
FBtr0309965,FBtr0309965,XLOC_013975
FBtr0305497,FBtr0305497,XLOC_013975
FBtr0070299,FBtr0070299,XLOC_013975
FBtr0100557,FBtr0100557,XLOC_013975
FBtr0305498,FBtr0305498,XLOC_013975
FBtr0307895,FBtr0307895,XLOC_013975
FBtr0070300,FBtr0070300,XLOC_013975
FBtr0305499,FBtr0305499,XLOC_013975
FBtr0339272,FBtr0339272,XLOC_013975
FBtr0309961,FBtr0309961,XLOC_013975
FBtr0304184,FBtr0304184,XLOC_015182
FBtr0070301,FBtr0070301,XLOC_013976
FBtr0070374,FBtr0070374,XLOC_015183
FBtr0309971,FBtr0309971,XLOC_015183
FBtr0309970,FBtr0309970,XLOC_015184
FBtr0309968,FBtr0309968,XLOC_013975
FBtr0309969,FBtr0309969,XLOC_013975
FBtr0302658,FBtr0302658,XLOC_013975
FBtr0309967,FBtr0309967,XLOC_013975
FBtr0302654,FBtr0302654,XLOC_013975
FBtr0302655,FBtr0302655,XLOC_013975
FBtr0302656,FBtr0302656,XLOC_013975
FBtr0302659,FBtr0302659,XLOC_013975
FBtr0332901,FBtr0332901,XLOC_013975
FBtr0302657,FBtr0302657,XLOC_013975
FBtr0333511,FBtr0333511,XLOC_015185
FBtr0070372,FBtr0070372,XLOC_015185
FBtr0070371,FBtr0070371,XLOC_015186
FBtr0301926,FBtr0301926,XLOC_015186
FBtr0339494,FBtr0339494,XLOC_015187
FBtr0070369,FBtr0070369,XLOC_015187
FBtr0070370,FBtr0070370,XLOC_015187
FBtr0070308,FBtr0070308,XLOC_013977
FBtr0114454,FBtr0114454,XLOC_013977
FBtr0070368,FBtr0070368,XLOC_015188
FBtr0070367,FBtr0070367,XLOC_015188
FBtr0070310,FBtr0070310,XLOC_013978
FBtr0339600,FBtr0339600,XLOC_013978
FBtr0070366,FBtr0070366,XLOC_015189
FBtr0339601,FBtr0339601,XLOC_015189
FBtr0070311,FBtr0070311,XLOC_013979
FBtr0345510,FBtr0345510,XLOC_015190
FBtr0070365,FBtr0070365,XLOC_015190
FBtr0070312,FBtr0070312,XLOC_013980
FBtr0070364,FBtr0070364,XLOC_015191
FBtr0331385,FBtr0331385,XLOC_015191
FBtr0070313,FBtr0070313,XLOC_013981
FBtr0331384,FBtr0331384,XLOC_013981
FBtr0070362,FBtr0070362,XLOC_015192
FBtr0070363,FBtr0070363,XLOC_015192
FBtr0070314,FBtr0070314,XLOC_013982
FBtr0332579,FBtr0332579,XLOC_013982
FBtr0089988,FBtr0089988,XLOC_015193
FBtr0332583,FBtr0332583,XLOC_015193
FBtr0089989,FBtr0089989,XLOC_015193
FBtr0089990,FBtr0089990,XLOC_015193
FBtr0089991,FBtr0089991,XLOC_015193
FBtr0089992,FBtr0089992,XLOC_015193
FBtr0070356,FBtr0070356,XLOC_015194
FBtr0332581,FBtr0332581,XLOC_015194
FBtr0332582,FBtr0332582,XLOC_015194
FBtr0347023,FBtr0347023,XLOC_013983
FBtr0332584,FBtr0332584,XLOC_013984
FBtr0344829,FBtr0344829,XLOC_013984
FBtr0070355,FBtr0070355,XLOC_015195
FBtr0305583,FBtr0305583,XLOC_015196
FBtr0332580,FBtr0332580,XLOC_015196
FBtr0070352,FBtr0070352,XLOC_015196
FBtr0070354,FBtr0070354,XLOC_015196
FBtr0070353,FBtr0070353,XLOC_015196
FBtr0070315,FBtr0070315,XLOC_013985
FBtr0070316,FBtr0070316,XLOC_013986
FBtr0344155,FBtr0344155,XLOC_013986
FBtr0070351,FBtr0070351,XLOC_015197
FBtr0070350,FBtr0070350,XLOC_015197
FBtr0070317,FBtr0070317,XLOC_013987
FBtr0332586,FBtr0332586,XLOC_013987
FBtr0070318,FBtr0070318,XLOC_013988
FBtr0332588,FBtr0332588,XLOC_013988
FBtr0070319,FBtr0070319,XLOC_013988
FBtr0070320,FBtr0070320,XLOC_013988
FBtr0332587,FBtr0332587,XLOC_013988
FBtr0070349,FBtr0070349,XLOC_015198
FBtr0070321,FBtr0070321,XLOC_013989
FBtr0333337,FBtr0333337,XLOC_013990
FBtr0333340,FBtr0333340,XLOC_013990
FBtr0333341,FBtr0333341,XLOC_013990
FBtr0333342,FBtr0333342,XLOC_013990
FBtr0333343,FBtr0333343,XLOC_013990
FBtr0333344,FBtr0333344,XLOC_013990
FBtr0333345,FBtr0333345,XLOC_013990
FBtr0333338,FBtr0333338,XLOC_013990
FBtr0333339,FBtr0333339,XLOC_013990
FBtr0070347,FBtr0070347,XLOC_015199
FBtr0346008,FBtr0346008,XLOC_013991
FBtr0304438,FBtr0304438,XLOC_013992
FBtr0307289,FBtr0307289,XLOC_013993
FBtr0070326,FBtr0070326,XLOC_013993
FBtr0303046,FBtr0303046,XLOC_013993
FBtr0307290,FBtr0307290,XLOC_013993
FBtr0343522,FBtr0343522,XLOC_013993
FBtr0303047,FBtr0303047,XLOC_013993
FBtr0070345,FBtr0070345,XLOC_015200
FBtr0310657,FBtr0310657,XLOC_015200
FBtr0303048,FBtr0303048,XLOC_015200
FBtr0310658,FBtr0310658,XLOC_015200
FBtr0333801,FBtr0333801,XLOC_015200
FBtr0333802,FBtr0333802,XLOC_015200
FBtr0310659,FBtr0310659,XLOC_015200
FBtr0070343,FBtr0070343,XLOC_015200
FBtr0070344,FBtr0070344,XLOC_015200
FBtr0309648,FBtr0309648,XLOC_015201
FBtr0070346,FBtr0070346,XLOC_015200
